total_points,now_cost,indexes
764,329,"[561, 78, 6, 382, 77]"
726,327,"[561, 78, 6, 382, 570]"
715,326,"[561, 78, 6, 382, 3]"
651,325,"[561, 78, 6, 382, 222]"
646,323,"[561, 78, 6, 382, 244]"
643,322,"[561, 6, 382, 77, 222]"
617,321,"[561, 78, 6, 382, 76]"
594,320,"[561, 78, 6, 382, 80]"
583,319,"[561, 78, 6, 222, 244]"
554,317,"[561, 78, 6, 222, 76]"
525,316,"[561, 6, 382, 222, 244]"
496,314,"[561, 6, 382, 222, 76]"
473,313,"[561, 6, 382, 222, 80]"
468,311,"[561, 6, 382, 244, 80]"
439,309,"[561, 6, 382, 76, 80]"
428,308,"[561, 6, 222, 244, 76]"
405,307,"[561, 6, 222, 244, 80]"
376,305,"[561, 6, 222, 76, 80]"
353,303,"[561, 6, 222, 80, 225]"
348,302,"[6, 382, 222, 244, 80]"
319,300,"[6, 382, 222, 76, 80]"
296,298,"[6, 382, 222, 80, 225]"
286,296,"[561, 222, 244, 80, 225]"
251,294,"[6, 222, 244, 76, 80]"
228,292,"[6, 222, 244, 80, 225]"
199,290,"[6, 222, 76, 80, 225]"
194,288,"[6, 244, 76, 80, 225]"
191,287,"[6, 222, 80, 225, 79]"
186,285,"[6, 244, 80, 225, 79]"
178,284,"[6, 222, 80, 225, 652]"
132,283,"[222, 244, 76, 80, 225]"
124,280,"[222, 244, 80, 225, 79]"
95,278,"[222, 76, 80, 225, 79]"
90,276,"[244, 76, 80, 225, 79]"
82,275,"[222, 76, 80, 225, 652]"
77,273,"[244, 76, 80, 225, 652]"
74,272,"[222, 80, 225, 79, 652]"
59,270,"[76, 80, 225, 79, 75]"
40,268,"[76, 80, 225, 79, 652]"
38,266,"[76, 80, 225, 79, 195]"
25,263,"[76, 80, 225, 652, 195]"
24,261,"[76, 80, 225, 195, 4]"
17,260,"[80, 225, 79, 652, 195]"
16,258,"[80, 225, 79, 195, 4]"
3,255,"[80, 225, 652, 195, 4]"
2,252,"[80, 225, 652, 195, 568]"
1,250,"[80, 225, 195, 4, 568]"
0,247,"[80, 225, 195, 568, 607]"
