,total_points,now_cost,indexes
0,7,73,"[392, 434]"
1,18,75,"[392, 443]"
3,48,76,"[392, 108]"
30,52,79,"[443, 108]"
5,72,84,"[392, 134]"
54,82,85,"[108, 480]"
7,101,86,"[392, 244]"
55,106,88,"[108, 134]"
57,135,90,"[108, 244]"
76,159,98,"[134, 244]"
60,169,100,"[108, 80]"
93,188,104,"[244, 394]"
79,193,108,"[134, 80]"
94,222,110,"[244, 80]"
96,247,122,"[244, 416]"
111,281,132,"[80, 416]"
113,282,146,"[80, 246]"
117,288,150,"[416, 321]"
118,307,158,"[416, 246]"
