total_points,now_cost,indexes
167,213,"[395, 396, 417, 29, 463]"
173,215,"[34, 395, 396, 417, 29]"
278,217,"[395, 417, 29, 463, 113]"
300,218,"[395, 396, 417, 29, 113]"
344,222,"[395, 368, 29, 463, 113]"
379,223,"[395, 368, 417, 29, 113]"
396,224,"[395, 269, 417, 29, 113]"
408,226,"[395, 417, 29, 113, 219]"
462,229,"[395, 269, 368, 29, 113]"
474,231,"[395, 368, 29, 113, 219]"
491,232,"[395, 269, 29, 113, 219]"
529,237,"[269, 368, 29, 113, 219]"
555,238,"[395, 269, 368, 113, 219]"
582,247,"[269, 368, 113, 219, 215]"
589,250,"[395, 269, 113, 219, 192]"
604,252,"[328, 269, 368, 113, 219]"
627,255,"[269, 368, 113, 219, 192]"
638,264,"[328, 269, 113, 219, 192]"
650,268,"[269, 113, 219, 239, 192]"
653,281,"[265, 113, 219, 239, 192]"
662,287,"[271, 395, 269, 113, 219]"
700,292,"[271, 269, 368, 113, 219]"
711,301,"[328, 271, 269, 113, 219]"
717,303,"[271, 368, 113, 219, 192]"
734,304,"[271, 269, 113, 219, 192]"
740,316,"[271, 113, 219, 239, 192]"
752,337,"[271, 302, 269, 113, 219]"
757,346,"[271, 302, 269, 113, 192]"
769,348,"[271, 302, 113, 219, 192]"
