total_points,now_cost,indexes
82,155,"[549, 583, 546, 408]"
113,156,"[549, 583, 546, 359]"
109,156,"[549, 583, 408, 359]"
101,156,"[549, 546, 408, 359]"
100,156,"[549, 583, 546, 277]"
96,156,"[549, 583, 408, 277]"
88,156,"[549, 546, 408, 277]"
154,157,"[549, 583, 546, 358]"
150,157,"[549, 583, 408, 358]"
142,157,"[549, 546, 408, 358]"
141,157,"[549, 583, 546, 128]"
137,157,"[549, 583, 408, 128]"
129,157,"[549, 546, 408, 128]"
127,157,"[549, 583, 359, 277]"
119,157,"[549, 546, 359, 277]"
116,157,"[549, 583, 546, 22]"
115,157,"[549, 408, 359, 277]"
112,157,"[549, 583, 408, 22]"
104,157,"[549, 546, 408, 22]"
67,157,"[583, 546, 408, 359]"
54,157,"[583, 546, 408, 277]"
181,158,"[549, 583, 359, 358]"
173,158,"[549, 546, 359, 358]"
169,158,"[549, 408, 359, 358]"
168,158,"[549, 583, 359, 128]"
168,158,"[549, 583, 277, 358]"
161,158,"[549, 583, 546, 65]"
160,158,"[549, 546, 359, 128]"
160,158,"[549, 546, 277, 358]"
157,158,"[549, 583, 408, 65]"
156,158,"[549, 408, 359, 128]"
156,158,"[549, 408, 277, 358]"
155,158,"[549, 583, 277, 128]"
150,158,"[549, 583, 546, 258]"
149,158,"[549, 546, 408, 65]"
148,158,"[549, 583, 546, 478]"
147,158,"[549, 546, 277, 128]"
146,158,"[549, 583, 408, 258]"
144,158,"[549, 583, 408, 478]"
143,158,"[549, 583, 359, 22]"
143,158,"[549, 408, 277, 128]"
138,158,"[549, 546, 408, 258]"
136,158,"[549, 546, 408, 478]"
135,158,"[549, 546, 359, 22]"
131,158,"[549, 408, 359, 22]"
130,158,"[549, 583, 277, 22]"
122,158,"[549, 546, 277, 22]"
118,158,"[549, 408, 277, 22]"
108,158,"[583, 546, 408, 358]"
95,158,"[583, 546, 408, 128]"
85,158,"[583, 546, 359, 277]"
81,158,"[583, 408, 359, 277]"
73,158,"[546, 408, 359, 277]"
70,158,"[583, 546, 408, 22]"
209,159,"[549, 583, 358, 128]"
201,159,"[549, 546, 358, 128]"
197,159,"[549, 408, 358, 128]"
188,159,"[549, 583, 359, 65]"
187,159,"[549, 359, 277, 358]"
184,159,"[549, 583, 358, 22]"
180,159,"[549, 546, 359, 65]"
177,159,"[549, 583, 359, 258]"
176,159,"[549, 546, 358, 22]"
176,159,"[549, 408, 359, 65]"
175,159,"[549, 583, 359, 478]"
175,159,"[549, 583, 277, 65]"
174,159,"[549, 359, 277, 128]"
172,159,"[549, 408, 358, 22]"
171,159,"[549, 583, 128, 22]"
169,159,"[549, 546, 359, 258]"
