Budget,Best total cost,Best total points,Individual costs,Sorted individual costs,Id
500,500,1148,"[44, 46, 43, 44, 45, 46, 44, 46, 49, 50, 43]","[43, 43, 44, 44, 44, 45, 46, 46, 46, 49, 50]","[336, 70, 290, 439, 416, 42, 56, 34, 278, 436, 574]"
550,550,1373,"[44, 63, 44, 45, 46, 62, 44, 49, 50, 52, 51]","[44, 44, 44, 45, 46, 49, 50, 51, 52, 62, 63]","[336, 500, 439, 416, 42, 48, 56, 278, 436, 33, 54]"
600,600,1548,"[44, 63, 44, 45, 58, 62, 50, 52, 64, 67, 51]","[44, 44, 45, 50, 51, 52, 58, 62, 63, 64, 67]","[336, 500, 439, 416, 111, 48, 436, 33, 77, 78, 54]"
650,649,1682,"[63, 74, 45, 46, 58, 62, 50, 64, 67, 69, 51]","[45, 46, 50, 51, 58, 62, 63, 64, 67, 69, 74]","[500, 355, 416, 42, 111, 48, 436, 77, 78, 561, 54]"
700,696,1803,"[63, 74, 45, 58, 62, 91, 52, 64, 67, 69, 51]","[45, 51, 52, 58, 62, 63, 64, 67, 69, 74, 91]","[500, 355, 416, 111, 48, 398, 33, 77, 78, 561, 54]"
750,750,1910,"[74, 101, 45, 62, 74, 91, 52, 64, 67, 69, 51]","[45, 51, 52, 62, 64, 67, 69, 74, 74, 91, 101]","[355, 143, 416, 48, 368, 398, 33, 77, 78, 561, 54]"
800,799,2005,"[63, 74, 62, 89, 91, 117, 52, 64, 67, 69, 51]","[51, 52, 62, 63, 64, 67, 69, 74, 89, 91, 117]","[500, 355, 48, 394, 398, 12, 33, 77, 78, 561, 54]"
850,847,2088,"[74, 101, 62, 89, 91, 117, 62, 64, 67, 69, 51]","[51, 62, 62, 64, 67, 69, 74, 89, 91, 101, 117]","[355, 143, 48, 394, 398, 12, 384, 77, 78, 561, 54]"
900,892,2146,"[101, 119, 62, 89, 91, 117, 62, 64, 67, 69, 51]","[51, 62, 62, 64, 67, 69, 89, 91, 101, 117, 119]","[143, 403, 48, 394, 398, 12, 384, 77, 78, 561, 54]"
950,935,2192,"[101, 119, 89, 91, 105, 117, 62, 64, 67, 69, 51]","[51, 62, 64, 67, 69, 89, 91, 101, 105, 117, 119]","[143, 403, 394, 398, 82, 12, 384, 77, 78, 561, 54]"
1000,935,2192,"[101, 119, 89, 91, 105, 117, 62, 64, 67, 69, 51]","[51, 62, 64, 67, 69, 89, 91, 101, 105, 117, 119]","[143, 403, 394, 398, 82, 12, 384, 77, 78, 561, 54]"
