,formation,Linear mean cost,Linear mean points,n linear,Non linear cost,Non linear points,Non linear n,Div mean cost,Div mean points,n div,Non div cost,Non div points,Non div n,Both mean cost,Both mean points,n both,Non both cost,Non both points,Non both n
0,"[3, 4, 3]","{0.8: 656.0, 0.85: 664.0, 0.9: 676.0}","{0.8: 1492.0, 0.85: 1515.0, 0.9: 1545.0}","[920062, 679228, 403229]","{0.8: 602.0, 0.85: 612.0, 0.9: 621.0}","{0.8: 1309.0, 0.85: 1347.0, 0.9: 1379.0}","[525954, 766788, 1042787]","{4: 656.0, 3: 659.0, 2: 643.0}","{4: 1495.0, 3: 1520.0, 2: 1500.0}","[679770, 206557, 26583]","{4: 620.0, 3: 633.0, 2: 637.0}","{4: 1364.0, 3: 1410.0, 2: 1424.0}","[766246, 1239459, 1419433]","{'0.8, 2': 659.0, '0.85, 3': 660.0, '0.9, 4': 643.0}","{'0.8, 2': 1504.0, '0.85, 3': 1522.0, '0.9, 4': 1500.0}","[625562, 203173, 26557]","{'0.8, 2': 620.0, '0.85, 3': 633.0, '0.9, 4': 637.0}","{'0.8, 2': 1366.0, '0.85, 3': 1410.0, '0.9, 4': 1424.0}","[820454, 1242843, 1419459]"
1,"[3, 5, 2]","{0.8: 648.0, 0.85: 656.0, 0.9: 667.0}","{0.8: 1500.0, 0.85: 1523.0, 0.9: 1553.0}","[712296, 536218, 319442]","{0.8: 587.0, 0.85: 599.0, 0.9: 611.0}","{0.8: 1293.0, 0.85: 1338.0, 0.9: 1378.0}","[369304, 545382, 762158]","{4: 647.0, 3: 650.0, 2: 636.0}","{4: 1501.0, 3: 1519.0, 2: 1504.0}","[553577, 181272, 28745]","{4: 606.0, 3: 623.0, 2: 627.0}","{4: 1355.0, 3: 1412.0, 2: 1428.0}","[528023, 900328, 1052855]","{'0.8, 2': 650.0, '0.85, 3': 650.0, '0.9, 4': 636.0}","{'0.8, 2': 1509.0, '0.85, 3': 1521.0, '0.9, 4': 1504.0}","[506128, 178206, 28724]","{'0.8, 2': 607.0, '0.85, 3': 623.0, '0.9, 4': 627.0}","{'0.8, 2': 1360.0, '0.85, 3': 1412.0, '0.9, 4': 1428.0}","[575472, 903394, 1052876]"
2,"[4, 3, 3]","{0.8: 643.0, 0.85: 647.0, 0.9: 645.0}","{0.8: 1450.0, 0.85: 1461.0, 0.9: 1467.0}","[783723, 562444, 305264]","{0.8: 607.0, 0.85: 615.0, 0.9: 623.0}","{0.8: 1314.0, 0.85: 1345.0, 0.9: 1372.0}","[546837, 768116, 1025296]","{4: 640.0, 3: 634.0, 2: 621.0}","{4: 1456.0, 3: 1464.0, 2: 1454.0}","[577983, 179170, 27179]","{4: 619.0, 3: 627.0, 2: 628.0}","{4: 1346.0, 3: 1383.0, 2: 1392.0}","[752577, 1151390, 1303381]","{'0.8, 2': 642.0, '0.85, 3': 634.0, '0.9, 4': 621.0}","{'0.8, 2': 1461.0, '0.85, 3': 1466.0, '0.9, 4': 1454.0}","[528210, 175178, 27131]","{'0.8, 2': 619.0, '0.85, 3': 627.0, '0.9, 4': 628.0}","{'0.8, 2': 1350.0, '0.85, 3': 1383.0, '0.9, 4': 1392.0}","[802350, 1155382, 1303429]"
3,"[4, 4, 2]","{0.8: 634.0, 0.85: 637.0, 0.9: 638.0}","{0.8: 1458.0, 0.85: 1471.0, 0.9: 1483.0}","[664123, 476033, 259899]","{0.8: 595.0, 0.85: 604.0, 0.9: 612.0}","{0.8: 1315.0, 0.85: 1348.0, 0.9: 1376.0}","[441877, 629967, 846101]","{4: 631.0, 3: 627.0, 2: 612.0}","{4: 1461.0, 3: 1474.0, 2: 1465.0}","[506223, 157461, 24921]","{4: 607.0, 3: 617.0, 2: 618.0}","{4: 1350.0, 3: 1389.0, 2: 1399.0}","[599777, 948539, 1081079]","{'0.8, 2': 633.0, '0.85, 3': 627.0, '0.9, 4': 612.0}","{'0.8, 2': 1467.0, '0.85, 3': 1475.0, '0.9, 4': 1465.0}","[454988, 153416, 24872]","{'0.8, 2': 608.0, '0.85, 3': 617.0, '0.9, 4': 618.0}","{'0.8, 2': 1355.0, '0.85, 3': 1389.0, '0.9, 4': 1399.0}","[651012, 952584, 1081128]"
4,"[4, 5, 1]","{0.8: 631.0, 0.85: 636.0, 0.9: 637.0}","{0.8: 1470.0, 0.85: 1486.0, 0.9: 1502.0}","[364107, 260607, 141790]","{0.8: 584.0, 0.85: 596.0, 0.9: 606.0}","{0.8: 1310.0, 0.85: 1348.0, 0.9: 1380.0}","[218293, 321793, 440610]","{4: 627.0, 3: 624.0, 2: 615.0}","{4: 1472.0, 3: 1487.0, 2: 1496.0}","[284400, 92424, 17776]","{4: 600.0, 3: 612.0, 2: 613.0}","{4: 1351.0, 3: 1395.0, 2: 1407.0}","[298000, 489976, 564624]","{'0.8, 2': 629.0, '0.85, 3': 624.0, '0.9, 4': 615.0}","{'0.8, 2': 1477.0, '0.85, 3': 1488.0, '0.9, 4': 1496.0}","[252525, 90208, 17746]","{'0.8, 2': 602.0, '0.85, 3': 612.0, '0.9, 4': 613.0}","{'0.8, 2': 1359.0, '0.85, 3': 1396.0, '0.9, 4': 1407.0}","[329875, 492192, 564654]"
5,"[5, 3, 2]","{0.8: 618.0, 0.85: 615.0, 0.9: 605.0}","{0.8: 1417.0, 0.85: 1423.0, 0.9: 1415.0}","[500360, 340652, 184301]","{0.8: 598.0, 0.85: 605.0, 0.9: 610.0}","{0.8: 1305.0, 0.85: 1330.0, 0.9: 1351.0}","[450040, 609748, 766099]","{4: 616.0, 3: 609.0, 2: 605.0}","{4: 1428.0, 3: 1439.0, 2: 1452.0}","[387256, 131131, 25072]","{4: 604.0, 3: 609.0, 2: 609.0}","{4: 1320.0, 3: 1352.0, 2: 1361.0}","[563144, 819269, 925328]","{'0.8, 2': 616.0, '0.85, 3': 609.0, '0.9, 4': 605.0}","{'0.8, 2': 1430.0, '0.85, 3': 1440.0, '0.9, 4': 1452.0}","[344556, 127217, 25034]","{'0.8, 2': 605.0, '0.85, 3': 609.0, '0.9, 4': 609.0}","{'0.8, 2': 1326.0, '0.85, 3': 1352.0, '0.9, 4': 1361.0}","[605844, 823183, 925366]"
6,"[5, 4, 1]","{0.8: 615.0, 0.85: 611.0, 0.9: 601.0}","{0.8: 1431.0, 0.85: 1435.0, 0.9: 1422.0}","[296488, 200481, 108606]","{0.8: 590.0, 0.85: 599.0, 0.9: 604.0}","{0.8: 1313.0, 0.85: 1342.0, 0.9: 1365.0}","[259672, 355679, 447554]","{4: 610.0, 3: 605.0, 2: 603.0}","{4: 1436.0, 3: 1454.0, 2: 1477.0}","[230279, 77638, 16032]","{4: 598.0, 3: 603.0, 2: 603.0}","{4: 1334.0, 3: 1363.0, 2: 1373.0}","[325881, 478522, 540128]","{'0.8, 2': 610.0, '0.85, 3': 605.0, '0.9, 4': 603.0}","{'0.8, 2': 1438.0, '0.85, 3': 1456.0, '0.9, 4': 1477.0}","[202770, 75565, 16010]","{'0.8, 2': 599.0, '0.85, 3': 603.0, '0.9, 4': 603.0}","{'0.8, 2': 1340.0, '0.85, 3': 1363.0, '0.9, 4': 1373.0}","[353390, 480595, 540150]"
