,Budget interval,"Best 50 (Normal,Diverse)","All (Normal,Diverse)"
0,450 to 500,"[22, 78]","[69, 31]"
1,500 to 550,"[56, 44]","[70, 30]"
2,550 to 600,"[0, 100]","[56, 44]"
3,600 to 650,"[12, 88]","[70, 30]"
4,650 to 700,"[44, 56]","[71, 29]"
5,700 to 750,"[26, 74]","[62, 38]"
6,750 to 800,"[32, 68]","[26, 74]"
7,800 to 850,"[0, 100]","[5, 95]"
8,850 to 900,"[0, 100]","[0, 100]"
9,900 to 950,"[0, 100]","[0, 100]"
10,950 to 1000,"[0, 0]","[0, 0]"
