,Budget,Linear mean cost,Linear mean points,n linear,Non linear cost,Non linear points,Non linear n,Div mean cost,Div mean points,n div,Non div cost,Non div points,Non div n,Both mean cost,Both mean points,n both,Non both cost,Non both points,Non both n
0,500,"{0.8: 478.0, 0.85: 479.0, 0.9: 475.0}","{0.8: 831.0, 0.85: 840.0, 0.9: 843.0}","[26, 18, 11]","{0.8: 488.0, 0.85: 485.0, 0.9: 485.0}","{0.8: 892.0, 0.85: 872.0, 0.9: 865.0}","[24, 32, 39]","{4: 484.0, 3: 482.0, 2: 484.0}","{4: 865.0, 3: 940.0, 2: 959.0}","[8, 2, 1]","{4: 483.0, 3: 483.0, 2: 483.0}","{4: 859.0, 3: 857.0, 2: 858.0}","[42, 48, 49]","{'0.8, 2': 484.0, '0.85, 3': 484.0, '0.9, 4': 484.0}","{'0.8, 2': 865.0, '0.85, 3': 959.0, '0.9, 4': 959.0}","[8, 1, 1]","{'0.8, 2': 483.0, '0.85, 3': 483.0, '0.9, 4': 483.0}","{'0.8, 2': 859.0, '0.85, 3': 858.0, '0.9, 4': 858.0}","[42, 49, 49]"
1,550,"{0.8: 533.0, 0.85: 531.0, 0.9: 534.0}","{0.8: 1151.0, 0.85: 1175.0, 0.9: 1197.0}","[32, 15, 8]","{0.8: 529.0, 0.85: 532.0, 0.9: 531.0}","{0.8: 1102.0, 0.85: 1115.0, 0.9: 1121.0}","[18, 35, 42]","{4: 533.0, 3: 536.0, 2: 531.0}","{4: 1161.0, 3: 1202.0, 2: 1057.0}","[32, 9, 1]","{4: 529.0, 3: 531.0, 2: 532.0}","{4: 1084.0, 3: 1118.0, 2: 1135.0}","[18, 41, 49]","{'0.8, 2': 532.0, '0.85, 3': 537.0, '0.9, 4': 531.0}","{'0.8, 2': 1159.0, '0.85, 3': 1204.0, '0.9, 4': 1057.0}","[28, 8, 1]","{'0.8, 2': 532.0, '0.85, 3': 531.0, '0.9, 4': 532.0}","{'0.8, 2': 1101.0, '0.85, 3': 1120.0, '0.9, 4': 1135.0}","[22, 42, 49]"
2,600,"{0.8: 575.0, 0.85: 576.0, 0.9: 576.0}","{0.8: 1342.0, 0.85: 1346.0, 0.9: 1356.0}","[29, 24, 17]","{0.8: 573.0, 0.85: 573.0, 0.9: 573.0}","{0.8: 1260.0, 0.85: 1272.0, 0.9: 1283.0}","[21, 26, 33]","{4: 574.0, 3: 570.0, 2: 587.0}","{4: 1349.0, 3: 1336.0, 2: 1370.0}","[22, 14, 1]","{4: 575.0, 3: 576.0, 2: 574.0}","{4: 1275.0, 3: 1297.0, 2: 1306.0}","[28, 36, 49]","{'0.8, 2': 574.0, '0.85, 3': 570.0, '0.9, 4': 587.0}","{'0.8, 2': 1349.0, '0.85, 3': 1336.0, '0.9, 4': 1370.0}","[20, 14, 1]","{'0.8, 2': 574.0, '0.85, 3': 576.0, '0.9, 4': 574.0}","{'0.8, 2': 1280.0, '0.85, 3': 1297.0, '0.9, 4': 1306.0}","[30, 36, 49]"
3,650,"{0.8: 625.0, 0.85: 627.0, 0.9: 623.0}","{0.8: 1455.0, 0.85: 1461.0, 0.9: 1474.0}","[31, 22, 10]","{0.8: 628.0, 0.85: 626.0, 0.9: 627.0}","{0.8: 1435.0, 0.85: 1436.0, 0.9: 1441.0}","[19, 28, 40]","{4: 625.0, 3: 619.0, 2: 636.0}","{4: 1441.0, 3: 1479.0, 2: 1629.0}","[23, 3, 1]","{4: 628.0, 3: 627.0, 2: 626.0}","{4: 1452.0, 3: 1445.0, 2: 1443.0}","[27, 47, 49]","{'0.8, 2': 624.0, '0.85, 3': 619.0, '0.9, 4': 636.0}","{'0.8, 2': 1447.0, '0.85, 3': 1479.0, '0.9, 4': 1629.0}","[22, 3, 1]","{'0.8, 2': 628.0, '0.85, 3': 627.0, '0.9, 4': 626.0}","{'0.8, 2': 1447.0, '0.85, 3': 1445.0, '0.9, 4': 1443.0}","[28, 47, 49]"
4,700,"{0.8: 678.0, 0.85: 677.0, 0.9: 671.0}","{0.8: 1574.0, 0.85: 1597.0, 0.9: 1584.0}","[35, 22, 10]","{0.8: 668.0, 0.85: 674.0, 0.9: 676.0}","{0.8: 1556.0, 0.85: 1546.0, 0.9: 1564.0}","[15, 28, 40]","{4: 678.0, 3: 675.0, 2: 675.0}","{4: 1557.0, 3: 1600.0, 2: 1568.0}","[21, 6, 2]","{4: 673.0, 3: 675.0, 2: 675.0}","{4: 1576.0, 3: 1564.0, 2: 1568.0}","[29, 44, 48]","{'0.8, 2': 681.0, '0.85, 3': 675.0, '0.9, 4': 675.0}","{'0.8, 2': 1566.0, '0.85, 3': 1600.0, '0.9, 4': 1568.0}","[19, 6, 2]","{'0.8, 2': 672.0, '0.85, 3': 675.0, '0.9, 4': 675.0}","{'0.8, 2': 1570.0, '0.85, 3': 1564.0, '0.9, 4': 1568.0}","[31, 44, 48]"
5,750,"{0.8: 721.0, 0.85: 721.0, 0.9: 717.0}","{0.8: 1710.0, 0.85: 1695.0, 0.9: 1677.0}","[44, 30, 17]","{0.8: 723.0, 0.85: 722.0, 0.9: 724.0}","{0.8: 1766.0, 0.85: 1749.0, 0.9: 1737.0}","[6, 20, 33]","{4: 721.0, 3: 714.0, 2: 720.0}","{4: 1701.0, 3: 1653.0, 2: 1620.0}","[33, 8, 2]","{4: 722.0, 3: 723.0, 2: 721.0}","{4: 1747.0, 3: 1729.0, 2: 1721.0}","[17, 42, 48]","{'0.8, 2': 720.0, '0.85, 3': 714.0, '0.9, 4': 720.0}","{'0.8, 2': 1691.0, '0.85, 3': 1653.0, '0.9, 4': 1620.0}","[29, 8, 2]","{'0.8, 2': 723.0, '0.85, 3': 723.0, '0.9, 4': 721.0}","{'0.8, 2': 1753.0, '0.85, 3': 1729.0, '0.9, 4': 1721.0}","[21, 42, 48]"
6,800,"{0.8: 772.0, 0.85: 772.0, 0.9: 773.0}","{0.8: 1798.0, 0.85: 1795.0, 0.9: 1767.0}","[50, 48, 30]","{0.8: nan, 0.85: 762.0, 0.9: 770.0}","{0.8: nan, 0.85: 1852.0, 0.9: 1843.0}","[0, 2, 20]","{4: 773.0, 3: 771.0, 2: 767.0}","{4: 1790.0, 3: 1778.0, 2: 1699.0}","[36, 15, 2]","{4: 769.0, 3: 772.0, 2: 772.0}","{4: 1818.0, 3: 1806.0, 2: 1802.0}","[14, 35, 48]","{'0.8, 2': 773.0, '0.85, 3': 771.0, '0.9, 4': 767.0}","{'0.8, 2': 1790.0, '0.85, 3': 1778.0, '0.9, 4': 1699.0}","[36, 15, 2]","{'0.8, 2': 769.0, '0.85, 3': 772.0, '0.9, 4': 772.0}","{'0.8, 2': 1818.0, '0.85, 3': 1806.0, '0.9, 4': 1802.0}","[14, 35, 48]"
7,850,"{0.8: 823.0, 0.85: 823.0, 0.9: 824.0}","{0.8: 1931.0, 0.85: 1930.0, 0.9: 1927.0}","[50, 49, 44]","{0.8: nan, 0.85: 805.0, 0.9: 813.0}","{0.8: nan, 0.85: 1971.0, 0.9: 1960.0}","[0, 1, 6]","{4: 823.0, 3: 821.0, 2: 845.0}","{4: 1929.0, 3: 1929.0, 2: 1865.0}","[44, 17, 1]","{4: 820.0, 3: 824.0, 2: 822.0}","{4: 1944.0, 3: 1932.0, 2: 1932.0}","[6, 33, 49]","{'0.8, 2': 823.0, '0.85, 3': 821.0, '0.9, 4': 845.0}","{'0.8, 2': 1929.0, '0.85, 3': 1929.0, '0.9, 4': 1865.0}","[44, 17, 1]","{'0.8, 2': 820.0, '0.85, 3': 824.0, '0.9, 4': 822.0}","{'0.8, 2': 1944.0, '0.85, 3': 1932.0, '0.9, 4': 1932.0}","[6, 33, 49]"
8,900,"{0.8: 866.0, 0.85: 866.0, 0.9: 864.0}","{0.8: 1987.0, 0.85: 1987.0, 0.9: 1986.0}","[50, 50, 46]","{0.8: nan, 0.85: nan, 0.9: 880.0}","{0.8: nan, 0.85: nan, 0.9: 2000.0}","[0, 0, 4]","{4: 866.0, 3: 856.0, 2: 851.0}","{4: 1992.0, 3: 1888.0, 2: 1887.0}","[25, 4, 1]","{4: 865.0, 3: 866.0, 2: 866.0}","{4: 1982.0, 3: 1995.0, 2: 1989.0}","[25, 46, 49]","{'0.8, 2': 866.0, '0.85, 3': 856.0, '0.9, 4': 851.0}","{'0.8, 2': 1992.0, '0.85, 3': 1888.0, '0.9, 4': 1887.0}","[25, 4, 1]","{'0.8, 2': 865.0, '0.85, 3': 866.0, '0.9, 4': 866.0}","{'0.8, 2': 1982.0, '0.85, 3': 1995.0, '0.9, 4': 1989.0}","[25, 46, 49]"
9,950,"{0.8: 914.0, 0.85: 914.0, 0.9: 915.0}","{0.8: 2089.0, 0.85: 2089.0, 0.9: 2091.0}","[50, 50, 48]","{0.8: nan, 0.85: nan, 0.9: 908.0}","{0.8: nan, 0.85: nan, 0.9: 2044.0}","[0, 0, 2]","{4: 911.0, 3: 913.0, 2: nan}","{4: 2094.0, 3: 2026.0, 2: nan}","[22, 5, 0]","{4: 917.0, 3: 915.0, 2: 914.0}","{4: 2086.0, 3: 2096.0, 2: 2089.0}","[28, 45, 50]","{'0.8, 2': 911.0, '0.85, 3': 913.0, '0.9, 4': nan}","{'0.8, 2': 2094.0, '0.85, 3': 2026.0, '0.9, 4': nan}","[22, 5, 0]","{'0.8, 2': 917.0, '0.85, 3': 915.0, '0.9, 4': 914.0}","{'0.8, 2': 2086.0, '0.85, 3': 2096.0, '0.9, 4': 2089.0}","[28, 45, 50]"
