,Budget interval,"Best 50 (Normal,Diverse)","All (Normal,Diverse)"
0,450 to 500,"[94, 6]","[97, 3]"
1,500 to 550,"[94, 6]","[90, 10]"
2,550 to 600,"[54, 46]","[81, 19]"
3,600 to 650,"[66, 34]","[87, 13]"
4,650 to 700,"[98, 2]","[90, 10]"
5,700 to 750,"[66, 34]","[87, 13]"
6,750 to 800,"[80, 20]","[81, 19]"
7,800 to 850,"[98, 2]","[81, 19]"
8,850 to 900,"[92, 8]","[84, 16]"
9,900 to 950,"[76, 24]","[80, 20]"
10,950 to 1000,"[100, 0]","[100, 0]"
