,Budget,Linear mean cost,Linear mean points,n linear,Non linear cost,Non linear points,Non linear n,Div mean cost,Div mean points,n div,Non div cost,Non div points,Non div n,Both mean cost,Both mean points,n both,Non both cost,Non both points,Non both n
0,500,"{0.8: 478.0, 0.85: 479.0, 0.9: 476.0}","{0.8: 888.0, 0.85: 889.0, 0.9: 865.0}","[25, 21, 13]","{0.8: 485.0, 0.85: 484.0, 0.9: 484.0}","{0.8: 878.0, 0.85: 879.0, 0.9: 890.0}","[25, 29, 37]","{4: 485.0, 3: 500.0, 2: nan}","{4: 935.0, 3: 975.0, 2: nan}","[11, 1, 0]","{4: 481.0, 3: 481.0, 2: 482.0}","{4: 868.0, 3: 881.0, 2: 883.0}","[39, 49, 50]","{'0.8, 2': 485.0, '0.85, 3': 500.0, '0.9, 4': nan}","{'0.8, 2': 935.0, '0.85, 3': 975.0, '0.9, 4': nan}","[11, 1, 0]","{'0.8, 2': 481.0, '0.85, 3': 481.0, '0.9, 4': 482.0}","{'0.8, 2': 868.0, '0.85, 3': 881.0, '0.9, 4': 883.0}","[39, 49, 50]"
1,550,"{0.8: 530.0, 0.85: 531.0, 0.9: 521.0}","{0.8: 1158.0, 0.85: 1166.0, 0.9: 1150.0}","[24, 15, 7]","{0.8: 524.0, 0.85: 525.0, 0.9: 528.0}","{0.8: 1104.0, 0.85: 1115.0, 0.9: 1127.0}","[26, 35, 43]","{4: 529.0, 3: 518.0, 2: nan}","{4: 1172.0, 3: 1142.0, 2: nan}","[16, 4, 0]","{4: 525.0, 3: 527.0, 2: 527.0}","{4: 1111.0, 3: 1129.0, 2: 1130.0}","[34, 46, 50]","{'0.8, 2': 529.0, '0.85, 3': 518.0, '0.9, 4': nan}","{'0.8, 2': 1167.0, '0.85, 3': 1142.0, '0.9, 4': nan}","[13, 4, 0]","{'0.8, 2': 526.0, '0.85, 3': 527.0, '0.9, 4': 527.0}","{'0.8, 2': 1117.0, '0.85, 3': 1129.0, '0.9, 4': 1130.0}","[37, 46, 50]"
2,600,"{0.8: 575.0, 0.85: 576.0, 0.9: 579.0}","{0.8: 1352.0, 0.85: 1369.0, 0.9: 1360.0}","[21, 18, 10]","{0.8: 575.0, 0.85: 574.0, 0.9: 573.0}","{0.8: 1294.0, 0.85: 1289.0, 0.9: 1308.0}","[29, 32, 40]","{4: 573.0, 3: 576.0, 2: nan}","{4: 1339.0, 3: 1313.0, 2: nan}","[20, 10, 0]","{4: 576.0, 3: 574.0, 2: 575.0}","{4: 1304.0, 3: 1319.0, 2: 1318.0}","[30, 40, 50]","{'0.8, 2': 574.0, '0.85, 3': 576.0, '0.9, 4': nan}","{'0.8, 2': 1341.0, '0.85, 3': 1313.0, '0.9, 4': nan}","[19, 10, 0]","{'0.8, 2': 575.0, '0.85, 3': 574.0, '0.9, 4': 575.0}","{'0.8, 2': 1304.0, '0.85, 3': 1319.0, '0.9, 4': 1318.0}","[31, 40, 50]"
3,650,"{0.8: 624.0, 0.85: 622.0, 0.9: 617.0}","{0.8: 1522.0, 0.85: 1528.0, 0.9: 1561.0}","[22, 14, 8]","{0.8: 625.0, 0.85: 626.0, 0.9: 626.0}","{0.8: 1412.0, 0.85: 1434.0, 0.9: 1441.0}","[28, 36, 42]","{4: 623.0, 3: 621.0, 2: 604.0}","{4: 1523.0, 3: 1543.0, 2: 1536.0}","[23, 9, 2]","{4: 627.0, 3: 626.0, 2: 626.0}","{4: 1408.0, 3: 1442.0, 2: 1457.0}","[27, 41, 48]","{'0.8, 2': 624.0, '0.85, 3': 621.0, '0.9, 4': 604.0}","{'0.8, 2': 1526.0, '0.85, 3': 1543.0, '0.9, 4': 1536.0}","[20, 9, 2]","{'0.8, 2': 625.0, '0.85, 3': 626.0, '0.9, 4': 626.0}","{'0.8, 2': 1417.0, '0.85, 3': 1442.0, '0.9, 4': 1457.0}","[30, 41, 48]"
4,700,"{0.8: 670.0, 0.85: 670.0, 0.9: 671.0}","{0.8: 1560.0, 0.85: 1662.0, 0.9: 1652.0}","[27, 15, 8]","{0.8: 674.0, 0.85: 672.0, 0.9: 672.0}","{0.8: 1605.0, 0.85: 1546.0, 0.9: 1567.0}","[23, 35, 42]","{4: 669.0, 3: 676.0, 2: nan}","{4: 1610.0, 3: 1704.0, 2: nan}","[19, 3, 0]","{4: 673.0, 3: 671.0, 2: 672.0}","{4: 1563.0, 3: 1573.0, 2: 1581.0}","[31, 47, 50]","{'0.8, 2': 670.0, '0.85, 3': 676.0, '0.9, 4': nan}","{'0.8, 2': 1608.0, '0.85, 3': 1704.0, '0.9, 4': nan}","[17, 3, 0]","{'0.8, 2': 672.0, '0.85, 3': 671.0, '0.9, 4': 672.0}","{'0.8, 2': 1566.0, '0.85, 3': 1573.0, '0.9, 4': 1581.0}","[33, 47, 50]"
5,750,"{0.8: 724.0, 0.85: 723.0, 0.9: 713.0}","{0.8: 1735.0, 0.85: 1763.0, 0.9: 1780.0}","[30, 14, 6]","{0.8: 718.0, 0.85: 721.0, 0.9: 723.0}","{0.8: 1744.0, 0.85: 1729.0, 0.9: 1733.0}","[20, 36, 44]","{4: 725.0, 3: 719.0, 2: nan}","{4: 1784.0, 3: 1767.0, 2: nan}","[16, 6, 0]","{4: 720.0, 3: 722.0, 2: 722.0}","{4: 1717.0, 3: 1735.0, 2: 1739.0}","[34, 44, 50]","{'0.8, 2': 725.0, '0.85, 3': 719.0, '0.9, 4': nan}","{'0.8, 2': 1784.0, '0.85, 3': 1767.0, '0.9, 4': nan}","[16, 6, 0]","{'0.8, 2': 720.0, '0.85, 3': 722.0, '0.9, 4': 722.0}","{'0.8, 2': 1717.0, '0.85, 3': 1735.0, '0.9, 4': 1739.0}","[34, 44, 50]"
6,800,"{0.8: 770.0, 0.85: 770.0, 0.9: 772.0}","{0.8: 1831.0, 0.85: 1826.0, 0.9: 1854.0}","[47, 44, 18]","{0.8: 755.0, 0.85: 765.0, 0.9: 768.0}","{0.8: 1872.0, 0.85: 1891.0, 0.9: 1822.0}","[3, 6, 32]","{4: 772.0, 3: 778.0, 2: nan}","{4: 1838.0, 3: 1861.0, 2: nan}","[31, 7, 0]","{4: 765.0, 3: 768.0, 2: 769.0}","{4: 1827.0, 3: 1829.0, 2: 1834.0}","[19, 43, 50]","{'0.8, 2': 772.0, '0.85, 3': 778.0, '0.9, 4': nan}","{'0.8, 2': 1838.0, '0.85, 3': 1861.0, '0.9, 4': nan}","[31, 7, 0]","{'0.8, 2': 765.0, '0.85, 3': 768.0, '0.9, 4': 769.0}","{'0.8, 2': 1827.0, '0.85, 3': 1829.0, '0.9, 4': 1834.0}","[19, 43, 50]"
7,850,"{0.8: 814.0, 0.85: 815.0, 0.9: 819.0}","{0.8: 1933.0, 0.85: 1929.0, 0.9: 1941.0}","[49, 41, 29]","{0.8: 811.0, 0.85: 809.0, 0.9: 807.0}","{0.8: 1975.0, 0.85: 1958.0, 0.9: 1924.0}","[1, 9, 21]","{4: 817.0, 3: 818.0, 2: 827.0}","{4: 1939.0, 3: 1905.0, 2: 1908.0}","[29, 7, 3]","{4: 810.0, 3: 813.0, 2: 813.0}","{4: 1927.0, 3: 1939.0, 2: 1936.0}","[21, 43, 47]","{'0.8, 2': 817.0, '0.85, 3': 818.0, '0.9, 4': 827.0}","{'0.8, 2': 1939.0, '0.85, 3': 1905.0, '0.9, 4': 1908.0}","[29, 7, 3]","{'0.8, 2': 810.0, '0.85, 3': 813.0, '0.9, 4': 813.0}","{'0.8, 2': 1927.0, '0.85, 3': 1939.0, '0.9, 4': 1936.0}","[21, 43, 47]"
8,900,"{0.8: 860.0, 0.85: 860.0, 0.9: 861.0}","{0.8: 2024.0, 0.85: 2024.0, 0.9: 2024.0}","[50, 50, 48]","{0.8: nan, 0.85: nan, 0.9: 856.0}","{0.8: nan, 0.85: nan, 0.9: 2032.0}","[0, 0, 2]","{4: 860.0, 3: 855.0, 2: 852.0}","{4: 2014.0, 3: 1979.0, 2: 1979.0}","[38, 10, 2]","{4: 861.0, 3: 862.0, 2: 861.0}","{4: 2054.0, 3: 2035.0, 2: 2026.0}","[12, 40, 48]","{'0.8, 2': 860.0, '0.85, 3': 855.0, '0.9, 4': 852.0}","{'0.8, 2': 2014.0, '0.85, 3': 1979.0, '0.9, 4': 1979.0}","[38, 10, 2]","{'0.8, 2': 861.0, '0.85, 3': 862.0, '0.9, 4': 861.0}","{'0.8, 2': 2054.0, '0.85, 3': 2035.0, '0.9, 4': 2026.0}","[12, 40, 48]"
