,Budget interval,"Best 50 (Normal,Diverse)","All (Normal,Diverse)"
0,450 to 500,"[38, 62]","[68, 32]"
1,500 to 550,"[54, 46]","[71, 29]"
2,550 to 600,"[0, 100]","[52, 48]"
3,600 to 650,"[30, 70]","[59, 41]"
4,650 to 700,"[14, 86]","[51, 49]"
5,700 to 750,"[8, 92]","[32, 68]"
6,750 to 800,"[8, 92]","[8, 92]"
7,800 to 850,"[0, 100]","[2, 98]"
8,850 to 900,"[0, 100]","[0, 100]"
9,900 to 950,"[0, 100]","[0, 100]"
10,950 to 1000,"[0, 100]","[0, 100]"
