,Budget,Linear mean cost,Linear mean points,n linear,Non linear cost,Non linear points,Non linear n,Div mean cost,Div mean points,n div,Non div cost,Non div points,Non div n,Both mean cost,Both mean points,n both,Non both cost,Non both points,Non both n
0,500,"{0.8: 481.0, 0.85: 477.0, 0.9: 474.0}","{0.8: 842.0, 0.85: 819.0, 0.9: 778.0}","[26, 11, 6]","{0.8: 488.0, 0.85: 486.0, 0.9: 486.0}","{0.8: 869.0, 0.85: 865.0, 0.9: 865.0}","[24, 39, 44]","{4: 489.0, 3: nan, 2: nan}","{4: 906.0, 3: nan, 2: nan}","[11, 0, 0]","{4: 483.0, 3: 484.0, 2: 484.0}","{4: 840.0, 3: 855.0, 2: 855.0}","[39, 50, 50]","{'0.8, 2': 488.0, '0.85, 3': nan, '0.9, 4': nan}","{'0.8, 2': 887.0, '0.85, 3': nan, '0.9, 4': nan}","[9, 0, 0]","{'0.8, 2': 484.0, '0.85, 3': 484.0, '0.9, 4': 484.0}","{'0.8, 2': 848.0, '0.85, 3': 855.0, '0.9, 4': 855.0}","[41, 50, 50]"
1,550,"{0.8: 529.0, 0.85: 531.0, 0.9: 512.0}","{0.8: 1118.0, 0.85: 1120.0, 0.9: 1148.0}","[25, 14, 1]","{0.8: 521.0, 0.85: 523.0, 0.9: 525.0}","{0.8: 1067.0, 0.85: 1081.0, 0.9: 1091.0}","[25, 36, 49]","{4: 530.0, 3: 525.0, 2: nan}","{4: 1130.0, 3: 1174.0, 2: nan}","[17, 3, 0]","{4: 523.0, 3: 525.0, 2: 525.0}","{4: 1073.0, 3: 1087.0, 2: 1092.0}","[33, 47, 50]","{'0.8, 2': 531.0, '0.85, 3': 536.0, '0.9, 4': nan}","{'0.8, 2': 1132.0, '0.85, 3': 1234.0, '0.9, 4': nan}","[15, 2, 0]","{'0.8, 2': 522.0, '0.85, 3': 525.0, '0.9, 4': 525.0}","{'0.8, 2': 1075.0, '0.85, 3': 1086.0, '0.9, 4': 1092.0}","[35, 48, 50]"
2,600,"{0.8: 576.0, 0.85: 578.0, 0.9: 578.0}","{0.8: 1283.0, 0.85: 1310.0, 0.9: 1308.0}","[20, 15, 12]","{0.8: 580.0, 0.85: 579.0, 0.9: 579.0}","{0.8: 1201.0, 0.85: 1201.0, 0.9: 1210.0}","[30, 35, 38]","{4: 574.0, 3: 582.0, 2: nan}","{4: 1280.0, 3: 1351.0, 2: nan}","[14, 7, 0]","{4: 580.0, 3: 578.0, 2: 578.0}","{4: 1215.0, 3: 1215.0, 2: 1234.0}","[36, 43, 50]","{'0.8, 2': 574.0, '0.85, 3': 582.0, '0.9, 4': nan}","{'0.8, 2': 1280.0, '0.85, 3': 1351.0, '0.9, 4': nan}","[14, 7, 0]","{'0.8, 2': 580.0, '0.85, 3': 578.0, '0.9, 4': 578.0}","{'0.8, 2': 1215.0, '0.85, 3': 1215.0, '0.9, 4': 1234.0}","[36, 43, 50]"
3,650,"{0.8: 618.0, 0.85: 615.0, 0.9: 615.0}","{0.8: 1423.0, 0.85: 1419.0, 0.9: 1450.0}","[21, 18, 14]","{0.8: 629.0, 0.85: 630.0, 0.9: 628.0}","{0.8: 1411.0, 0.85: 1414.0, 0.9: 1402.0}","[29, 32, 36]","{4: 619.0, 3: 616.0, 2: 600.0}","{4: 1447.0, 3: 1438.0, 2: 1429.0}","[18, 4, 1]","{4: 628.0, 3: 625.0, 2: 625.0}","{4: 1398.0, 3: 1414.0, 2: 1415.0}","[32, 46, 49]","{'0.8, 2': 618.0, '0.85, 3': 616.0, '0.9, 4': 600.0}","{'0.8, 2': 1446.0, '0.85, 3': 1438.0, '0.9, 4': 1429.0}","[16, 4, 1]","{'0.8, 2': 627.0, '0.85, 3': 625.0, '0.9, 4': 625.0}","{'0.8, 2': 1401.0, '0.85, 3': 1414.0, '0.9, 4': 1415.0}","[34, 46, 49]"
4,700,"{0.8: 675.0, 0.85: 675.0, 0.9: 671.0}","{0.8: 1558.0, 0.85: 1589.0, 0.9: 1623.0}","[31, 20, 5]","{0.8: 677.0, 0.85: 677.0, 0.9: 677.0}","{0.8: 1553.0, 0.85: 1534.0, 0.9: 1549.0}","[19, 30, 45]","{4: 677.0, 3: 671.0, 2: 693.0}","{4: 1572.0, 3: 1594.0, 2: 1722.0}","[23, 6, 1]","{4: 675.0, 3: 677.0, 2: 676.0}","{4: 1542.0, 3: 1551.0, 2: 1553.0}","[27, 44, 49]","{'0.8, 2': 676.0, '0.85, 3': 671.0, '0.9, 4': 693.0}","{'0.8, 2': 1574.0, '0.85, 3': 1594.0, '0.9, 4': 1722.0}","[22, 6, 1]","{'0.8, 2': 676.0, '0.85, 3': 677.0, '0.9, 4': 676.0}","{'0.8, 2': 1542.0, '0.85, 3': 1551.0, '0.9, 4': 1553.0}","[28, 44, 49]"
5,750,"{0.8: 721.0, 0.85: 722.0, 0.9: 733.0}","{0.8: 1635.0, 0.85: 1624.0, 0.9: 1642.0}","[36, 23, 4]","{0.8: 720.0, 0.85: 719.0, 0.9: 720.0}","{0.8: 1707.0, 0.85: 1681.0, 0.9: 1656.0}","[14, 27, 46]","{4: 722.0, 3: 709.0, 2: nan}","{4: 1678.0, 3: 1640.0, 2: nan}","[26, 3, 0]","{4: 720.0, 3: 721.0, 2: 721.0}","{4: 1630.0, 3: 1656.0, 2: 1655.0}","[24, 47, 50]","{'0.8, 2': 721.0, '0.85, 3': 709.0, '0.9, 4': nan}","{'0.8, 2': 1668.0, '0.85, 3': 1640.0, '0.9, 4': nan}","[22, 3, 0]","{'0.8, 2': 720.0, '0.85, 3': 721.0, '0.9, 4': 721.0}","{'0.8, 2': 1644.0, '0.85, 3': 1656.0, '0.9, 4': 1655.0}","[28, 47, 50]"
6,800,"{0.8: 771.0, 0.85: 773.0, 0.9: 773.0}","{0.8: 1786.0, 0.85: 1772.0, 0.9: 1765.0}","[46, 37, 22]","{0.8: 778.0, 0.85: 771.0, 0.9: 771.0}","{0.8: 1865.0, 0.85: 1852.0, 0.9: 1814.0}","[4, 13, 28]","{4: 772.0, 3: 773.0, 2: nan}","{4: 1791.0, 3: 1871.0, 2: nan}","[34, 3, 0]","{4: 772.0, 3: 772.0, 2: 772.0}","{4: 1797.0, 3: 1788.0, 2: 1793.0}","[16, 47, 50]","{'0.8, 2': 772.0, '0.85, 3': 782.0, '0.9, 4': nan}","{'0.8, 2': 1785.0, '0.85, 3': 1863.0, '0.9, 4': nan}","[32, 2, 0]","{'0.8, 2': 772.0, '0.85, 3': 772.0, '0.9, 4': 772.0}","{'0.8, 2': 1806.0, '0.85, 3': 1790.0, '0.9, 4': 1793.0}","[18, 48, 50]"
7,850,"{0.8: 817.0, 0.85: 817.0, 0.9: 818.0}","{0.8: 1880.0, 0.85: 1880.0, 0.9: 1872.0}","[49, 49, 40]","{0.8: 806.0, 0.85: 806.0, 0.9: 810.0}","{0.8: 1827.0, 0.85: 1827.0, 0.9: 1904.0}","[1, 1, 10]","{4: 816.0, 3: 816.0, 2: 804.0}","{4: 1885.0, 3: 1897.0, 2: 1852.0}","[32, 10, 1]","{4: 817.0, 3: 817.0, 2: 817.0}","{4: 1867.0, 3: 1874.0, 2: 1879.0}","[18, 40, 49]","{'0.8, 2': 816.0, '0.85, 3': 816.0, '0.9, 4': 804.0}","{'0.8, 2': 1885.0, '0.85, 3': 1897.0, '0.9, 4': 1852.0}","[32, 10, 1]","{'0.8, 2': 817.0, '0.85, 3': 817.0, '0.9, 4': 817.0}","{'0.8, 2': 1867.0, '0.85, 3': 1874.0, '0.9, 4': 1879.0}","[18, 40, 49]"
8,900,"{0.8: 868.0, 0.85: 868.0, 0.9: 868.0}","{0.8: 1993.0, 0.85: 1993.0, 0.9: 1993.0}","[50, 50, 50]","{0.8: nan, 0.85: nan, 0.9: nan}","{0.8: nan, 0.85: nan, 0.9: nan}","[0, 0, 0]","{4: 869.0, 3: 871.0, 2: nan}","{4: 1997.0, 3: 1999.0, 2: nan}","[32, 9, 0]","{4: 868.0, 3: 868.0, 2: 868.0}","{4: 1986.0, 3: 1992.0, 2: 1993.0}","[18, 41, 50]","{'0.8, 2': 869.0, '0.85, 3': 871.0, '0.9, 4': nan}","{'0.8, 2': 1997.0, '0.85, 3': 1999.0, '0.9, 4': nan}","[32, 9, 0]","{'0.8, 2': 868.0, '0.85, 3': 868.0, '0.9, 4': 868.0}","{'0.8, 2': 1986.0, '0.85, 3': 1992.0, '0.9, 4': 1993.0}","[18, 41, 50]"
9,950,"{0.8: 917.0, 0.85: 917.0, 0.9: 917.0}","{0.8: 2079.0, 0.85: 2079.0, 0.9: 2079.0}","[50, 50, 50]","{0.8: nan, 0.85: nan, 0.9: nan}","{0.8: nan, 0.85: nan, 0.9: nan}","[0, 0, 0]","{4: 918.0, 3: 914.0, 2: nan}","{4: 2076.0, 3: 2093.0, 2: nan}","[29, 9, 0]","{4: 916.0, 3: 918.0, 2: 917.0}","{4: 2083.0, 3: 2076.0, 2: 2079.0}","[21, 41, 50]","{'0.8, 2': 918.0, '0.85, 3': 914.0, '0.9, 4': nan}","{'0.8, 2': 2076.0, '0.85, 3': 2093.0, '0.9, 4': nan}","[29, 9, 0]","{'0.8, 2': 916.0, '0.85, 3': 918.0, '0.9, 4': 917.0}","{'0.8, 2': 2083.0, '0.85, 3': 2076.0, '0.9, 4': 2079.0}","[21, 41, 50]"
