,Budget interval,"Best 50 (Normal,Diverse)","All (Normal,Diverse)"
0,450 to 500,"[96, 4]","[95, 5]"
1,500 to 550,"[96, 4]","[90, 10]"
2,550 to 600,"[44, 56]","[80, 20]"
3,600 to 650,"[58, 42]","[84, 16]"
4,650 to 700,"[86, 14]","[84, 16]"
5,700 to 750,"[74, 26]","[80, 20]"
6,750 to 800,"[52, 48]","[70, 30]"
7,800 to 850,"[94, 6]","[73, 27]"
8,850 to 900,"[100, 0]","[84, 16]"
9,900 to 950,"[92, 8]","[91, 9]"
10,950 to 1000,"[94, 6]","[96, 4]"
