Budget,Best total cost,Best total points,Individual costs,Sorted individual costs,Id
500,500,1170,"[44, 43, 44, 45, 46, 44, 46, 46, 49, 50, 43]","[43, 43, 44, 44, 44, 45, 46, 46, 46, 49, 50]","[336, 290, 439, 416, 42, 56, 34, 321, 278, 436, 574]"
550,550,1391,"[44, 43, 44, 45, 62, 46, 49, 50, 52, 64, 51]","[43, 44, 44, 45, 46, 49, 50, 51, 52, 62, 64]","[336, 290, 439, 416, 48, 34, 278, 436, 33, 77, 54]"
600,599,1565,"[57, 44, 45, 58, 62, 49, 50, 52, 64, 67, 51]","[44, 45, 49, 50, 51, 52, 57, 58, 62, 64, 67]","[67, 439, 416, 111, 48, 278, 436, 33, 77, 78, 54]"
650,649,1705,"[63, 45, 58, 62, 68, 50, 52, 64, 67, 69, 51]","[45, 50, 51, 52, 58, 62, 63, 64, 67, 68, 69]","[500, 416, 111, 48, 90, 436, 33, 77, 78, 561, 54]"
700,700,1824,"[63, 45, 62, 89, 91, 49, 50, 64, 67, 69, 51]","[45, 49, 50, 51, 62, 63, 64, 67, 69, 89, 91]","[500, 416, 48, 394, 398, 278, 436, 77, 78, 561, 54]"
750,749,1916,"[101, 45, 62, 89, 91, 52, 58, 64, 67, 69, 51]","[45, 51, 52, 58, 62, 64, 67, 69, 89, 91, 101]","[143, 416, 48, 394, 398, 33, 125, 77, 78, 561, 54]"
800,798,2008,"[101, 62, 74, 91, 117, 50, 52, 64, 67, 69, 51]","[50, 51, 52, 62, 64, 67, 69, 74, 91, 101, 117]","[143, 48, 368, 398, 12, 436, 33, 77, 78, 561, 54]"
850,847,2063,"[101, 62, 91, 105, 117, 58, 62, 64, 67, 69, 51]","[51, 58, 62, 62, 64, 67, 69, 91, 101, 105, 117]","[143, 48, 398, 82, 12, 125, 384, 77, 78, 561, 54]"
900,892,2106,"[119, 89, 91, 105, 117, 58, 62, 64, 67, 69, 51]","[51, 58, 62, 64, 67, 69, 89, 91, 105, 117, 119]","[403, 394, 398, 82, 12, 125, 384, 77, 78, 561, 54]"
950,892,2106,"[119, 89, 91, 105, 117, 58, 62, 64, 67, 69, 51]","[51, 58, 62, 64, 67, 69, 89, 91, 105, 117, 119]","[403, 394, 398, 82, 12, 125, 384, 77, 78, 561, 54]"
1000,892,2106,"[119, 89, 91, 105, 117, 58, 62, 64, 67, 69, 51]","[51, 58, 62, 64, 67, 69, 89, 91, 105, 117, 119]","[403, 394, 398, 82, 12, 125, 384, 77, 78, 561, 54]"
