,Budget interval,"Best 50 (Normal,Diverse)","All (Normal,Diverse)"
0,450 to 500,"[82, 18]","[93, 7]"
1,500 to 550,"[100, 0]","[90, 10]"
2,550 to 600,"[58, 42]","[79, 21]"
3,600 to 650,"[58, 42]","[82, 18]"
4,650 to 700,"[96, 4]","[88, 12]"
5,700 to 750,"[86, 14]","[93, 7]"
6,750 to 800,"[96, 4]","[86, 14]"
7,800 to 850,"[98, 2]","[84, 16]"
8,850 to 900,"[100, 0]","[85, 15]"
9,900 to 950,"[0, 0]","[0, 0]"
10,950 to 1000,"[0, 0]","[0, 0]"
