,Budget interval,Best 50,Worst 50
0,450 to 500,"[40, 8, 52]","[24, 56, 20]"
1,500 to 550,"[72, 6, 22]","[100, 0, 0]"
2,550 to 600,"[2, 94, 4]","[98, 2, 0]"
3,600 to 650,"[10, 86, 4]","[98, 2, 0]"
4,650 to 700,"[80, 4, 16]","[100, 0, 0]"
5,700 to 750,"[12, 4, 84]","[92, 2, 6]"
6,750 to 800,"[22, 18, 60]","[48, 10, 42]"
7,800 to 850,"[2, 62, 36]","[0, 62, 38]"
8,850 to 900,"[2, 88, 10]","[0, 48, 52]"
9,900 to 950,"[0, 80, 20]","[0, 86, 14]"
10,950 to 1000,"[0, 100, 0]","[0, 100, 0]"
