,Budget interval,"Best 50 (Normal,Diverse)","All (Normal,Diverse)"
0,450 to 500,"[42, 58]","[64, 36]"
1,500 to 550,"[54, 46]","[69, 31]"
2,550 to 600,"[2, 98]","[54, 46]"
3,600 to 650,"[10, 90]","[66, 34]"
4,650 to 700,"[62, 38]","[65, 35]"
5,700 to 750,"[20, 80]","[47, 53]"
6,750 to 800,"[38, 62]","[18, 82]"
7,800 to 850,"[0, 100]","[4, 96]"
8,850 to 900,"[0, 100]","[0, 100]"
9,900 to 950,"[0, 100]","[0, 100]"
10,950 to 1000,"[0, 100]","[0, 100]"
