,Budget interval,Best 50,Worst 50,All
0,450 to 500,"[24, 22, 54]","[96, 0, 4]","[68, 17, 15]"
1,500 to 550,"[60, 10, 30]","[98, 0, 2]","[75, 11, 14]"
2,550 to 600,"[2, 92, 6]","[98, 2, 0]","[67, 19, 14]"
3,600 to 650,"[50, 50, 0]","[100, 0, 0]","[74, 19, 6]"
4,650 to 700,"[36, 28, 36]","[98, 0, 2]","[69, 15, 16]"
5,700 to 750,"[40, 50, 10]","[98, 2, 0]","[56, 18, 26]"
6,750 to 800,"[44, 22, 34]","[58, 6, 36]","[40, 26, 33]"
7,800 to 850,"[14, 64, 22]","[0, 0, 100]","[10, 71, 19]"
8,850 to 900,"[0, 98, 2]","[0, 100, 0]","[2, 93, 5]"
9,900 to 950,"[0, 76, 24]","[0, 86, 14]","[0, 78, 22]"
10,950 to 1000,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
