,Budget interval,"Best 50 (Normal,Diverse)","All (Normal,Diverse)"
0,450 to 500,"[14, 86]","[62, 38]"
1,500 to 550,"[56, 44]","[71, 29]"
2,550 to 600,"[0, 100]","[61, 39]"
3,600 to 650,"[38, 62]","[68, 32]"
4,650 to 700,"[14, 86]","[66, 34]"
5,700 to 750,"[32, 68]","[64, 36]"
6,750 to 800,"[26, 74]","[26, 74]"
7,800 to 850,"[0, 100]","[9, 91]"
8,850 to 900,"[0, 100]","[0, 100]"
9,900 to 950,"[0, 0]","[0, 0]"
10,950 to 1000,"[0, 0]","[0, 0]"
