,Budget interval,Best 50,Worst 50,All
0,450 to 500,"[26, 18, 56]","[74, 14, 12]","[69, 15, 15]"
1,500 to 550,"[68, 4, 28]","[100, 0, 0]","[73, 10, 16]"
2,550 to 600,"[2, 96, 2]","[98, 2, 0]","[63, 22, 15]"
3,600 to 650,"[24, 72, 4]","[98, 2, 0]","[76, 18, 6]"
4,650 to 700,"[60, 14, 26]","[100, 0, 0]","[76, 11, 13]"
5,700 to 750,"[16, 56, 28]","[96, 2, 2]","[59, 16, 25]"
6,750 to 800,"[28, 34, 38]","[24, 28, 48]","[34, 36, 30]"
7,800 to 850,"[8, 68, 24]","[0, 42, 58]","[10, 70, 20]"
8,850 to 900,"[0, 84, 16]","[0, 96, 4]","[2, 90, 8]"
9,900 to 950,"[0, 86, 14]","[0, 70, 30]","[0, 79, 21]"
10,950 to 1000,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
