,Budget interval,Best 50,Worst 50,All
0,450 to 500,"[36, 14, 50]","[60, 0, 40]","[72, 12, 15]"
1,500 to 550,"[70, 12, 18]","[98, 0, 2]","[75, 10, 16]"
2,550 to 600,"[2, 92, 6]","[98, 2, 0]","[61, 22, 17]"
3,600 to 650,"[30, 56, 14]","[98, 2, 0]","[73, 18, 9]"
4,650 to 700,"[40, 14, 46]","[98, 2, 0]","[65, 19, 16]"
5,700 to 750,"[14, 74, 12]","[98, 2, 0]","[45, 29, 26]"
6,750 to 800,"[14, 50, 36]","[66, 16, 18]","[23, 51, 26]"
7,800 to 850,"[18, 42, 40]","[0, 98, 2]","[6, 82, 12]"
8,850 to 900,"[0, 62, 38]","[0, 62, 38]","[1, 86, 13]"
9,900 to 950,"[0, 66, 34]","[0, 90, 10]","[0, 64, 36]"
10,950 to 1000,"[0, 84, 16]","[0, 78, 22]","[0, 80, 20]"
