,Budget interval,"Best 50 (Normal,Diverse)","All (Normal,Diverse)"
0,450 to 500,"[94, 6]","[94, 6]"
1,500 to 550,"[94, 6]","[89, 11]"
2,550 to 600,"[50, 50]","[80, 20]"
3,600 to 650,"[62, 38]","[80, 20]"
4,650 to 700,"[90, 10]","[84, 16]"
5,700 to 750,"[86, 14]","[85, 15]"
6,750 to 800,"[80, 20]","[84, 16]"
7,800 to 850,"[94, 6]","[81, 19]"
8,850 to 900,"[94, 6]","[85, 15]"
9,900 to 950,"[100, 0]","[96, 4]"
10,950 to 1000,"[0, 0]","[0, 0]"
