,Budget interval,Best 50,Worst 50,All
0,450 to 500,"[20, 34, 46]","[98, 0, 2]","[68, 18, 14]"
1,500 to 550,"[76, 6, 18]","[100, 0, 0]","[78, 9, 13]"
2,550 to 600,"[0, 94, 6]","[98, 2, 0]","[67, 21, 12]"
3,600 to 650,"[40, 54, 6]","[98, 2, 0]","[78, 17, 5]"
4,650 to 700,"[40, 12, 48]","[98, 0, 2]","[81, 6, 13]"
5,700 to 750,"[32, 56, 12]","[98, 2, 0]","[75, 8, 18]"
6,750 to 800,"[32, 10, 58]","[98, 0, 2]","[60, 12, 27]"
7,800 to 850,"[6, 74, 20]","[2, 64, 34]","[21, 57, 22]"
8,850 to 900,"[0, 96, 4]","[0, 92, 8]","[1, 92, 7]"
9,900 to 950,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
10,950 to 1000,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
