Budget,Best total cost,Best total points,Individual costs,Id
500,500,1144,"[43, 43, 44, 44, 44, 45, 46, 46, 46, 49, 50]","[336, 70, 290, 439, 416, 56, 34, 321, 278, 436, 574]"
550,550,1370,"[44, 44, 44, 45, 46, 49, 50, 51, 52, 62, 63]","[336, 500, 439, 416, 48, 56, 34, 278, 436, 33, 54]"
600,599,1542,"[45, 48, 49, 50, 51, 52, 57, 58, 62, 63, 64]","[67, 500, 416, 111, 48, 32, 278, 436, 33, 77, 54]"
650,649,1684,"[45, 50, 51, 52, 57, 58, 62, 64, 67, 69, 74]","[67, 355, 416, 111, 48, 436, 33, 77, 78, 561, 54]"
700,700,1796,"[45, 51, 52, 62, 62, 63, 64, 67, 69, 74, 91]","[500, 355, 416, 48, 398, 33, 384, 77, 78, 561, 54]"
750,750,1892,"[51, 52, 56, 62, 63, 64, 67, 69, 74, 91, 101]","[500, 143, 48, 368, 398, 33, 126, 77, 78, 561, 54]"
800,798,1993,"[50, 51, 52, 62, 64, 67, 69, 74, 91, 101, 117]","[355, 143, 48, 398, 12, 436, 33, 77, 78, 561, 54]"
850,849,2053,"[51, 52, 56, 62, 64, 67, 69, 91, 101, 117, 119]","[143, 403, 48, 398, 12, 33, 126, 77, 78, 561, 54]"
900,898,2108,"[51, 52, 62, 64, 67, 69, 91, 101, 105, 117, 119]","[143, 403, 398, 82, 12, 33, 384, 77, 78, 561, 54]"
950,904,2109,"[51, 58, 62, 64, 67, 69, 91, 101, 105, 117, 119]","[143, 403, 398, 82, 12, 125, 384, 77, 78, 561, 54]"
1000,904,2109,"[51, 58, 62, 64, 67, 69, 91, 101, 105, 117, 119]","[143, 403, 398, 82, 12, 125, 384, 77, 78, 561, 54]"
