,Budget interval,"Best 50 (Normal,Diverse)","All (Normal,Diverse)"
0,450 to 500,"[36, 64]","[64, 36]"
1,500 to 550,"[56, 44]","[72, 28]"
2,550 to 600,"[0, 100]","[54, 46]"
3,600 to 650,"[10, 90]","[64, 36]"
4,650 to 700,"[30, 70]","[60, 40]"
5,700 to 750,"[8, 92]","[38, 62]"
6,750 to 800,"[14, 86]","[10, 90]"
7,800 to 850,"[4, 96]","[2, 98]"
8,850 to 900,"[0, 100]","[0, 100]"
9,900 to 950,"[0, 100]","[0, 100]"
10,950 to 1000,"[0, 100]","[0, 100]"
