,Budget interval,"Best 50 (Normal,Diverse)","All (Normal,Diverse)"
0,450 to 500,"[92, 8]","[96, 4]"
1,500 to 550,"[96, 4]","[90, 10]"
2,550 to 600,"[62, 38]","[79, 21]"
3,600 to 650,"[54, 46]","[85, 15]"
4,650 to 700,"[90, 10]","[90, 10]"
5,700 to 750,"[84, 16]","[91, 9]"
6,750 to 800,"[82, 18]","[82, 18]"
7,800 to 850,"[96, 4]","[84, 16]"
8,850 to 900,"[80, 20]","[83, 17]"
9,900 to 950,"[0, 100]","[0, 100]"
10,950 to 1000,"[0, 0]","[0, 0]"
