,Budget,Linear mean cost,Linear mean points,n linear,Non linear cost,Non linear points,Non linear n,Div mean cost,Div mean points,n div,Non div cost,Non div points,Non div n,Both mean cost,Both mean points,n both,Non both cost,Non both points,Non both n
0,500,"{0.8: 486.0, 0.85: 482.0, 0.9: 478.0}","{0.8: 863.0, 0.85: 855.0, 0.9: 823.0}","[17, 10, 6]","{0.8: 486.0, 0.85: 487.0, 0.9: 487.0}","{0.8: 861.0, 0.85: 863.0, 0.9: 867.0}","[33, 40, 44]","{4: 484.0, 3: 491.0, 2: 487.0}","{4: 856.0, 3: 908.0, 2: 888.0}","[8, 2, 1]","{4: 487.0, 3: 486.0, 2: 486.0}","{4: 863.0, 3: 860.0, 2: 861.0}","[42, 48, 49]","{'0.8, 2': 483.0, '0.85, 3': 491.0, '0.9, 4': 487.0}","{'0.8, 2': 860.0, '0.85, 3': 908.0, '0.9, 4': 888.0}","[7, 2, 1]","{'0.8, 2': 487.0, '0.85, 3': 486.0, '0.9, 4': 486.0}","{'0.8, 2': 862.0, '0.85, 3': 860.0, '0.9, 4': 861.0}","[43, 48, 49]"
1,550,"{0.8: 532.0, 0.85: 532.0, 0.9: 524.0}","{0.8: 1118.0, 0.85: 1130.0, 0.9: 1120.0}","[32, 18, 5]","{0.8: 528.0, 0.85: 529.0, 0.9: 531.0}","{0.8: 1082.0, 0.85: 1091.0, 0.9: 1103.0}","[18, 32, 45]","{4: 531.0, 3: 534.0, 2: nan}","{4: 1121.0, 3: 1150.0, 2: nan}","[26, 2, 0]","{4: 530.0, 3: 530.0, 2: 531.0}","{4: 1088.0, 3: 1103.0, 2: 1105.0}","[24, 48, 50]","{'0.8, 2': 532.0, '0.85, 3': 534.0, '0.9, 4': nan}","{'0.8, 2': 1116.0, '0.85, 3': 1150.0, '0.9, 4': nan}","[23, 2, 0]","{'0.8, 2': 529.0, '0.85, 3': 530.0, '0.9, 4': 531.0}","{'0.8, 2': 1095.0, '0.85, 3': 1103.0, '0.9, 4': 1105.0}","[27, 48, 50]"
2,600,"{0.8: 572.0, 0.85: 574.0, 0.9: 573.0}","{0.8: 1321.0, 0.85: 1332.0, 0.9: 1321.0}","[32, 26, 16]","{0.8: 577.0, 0.85: 574.0, 0.9: 575.0}","{0.8: 1280.0, 0.85: 1277.0, 0.9: 1299.0}","[18, 24, 34]","{4: 574.0, 3: 571.0, 2: nan}","{4: 1325.0, 3: 1333.0, 2: nan}","[28, 10, 0]","{4: 574.0, 3: 575.0, 2: 574.0}","{4: 1282.0, 3: 1299.0, 2: 1306.0}","[22, 40, 50]","{'0.8, 2': 572.0, '0.85, 3': 571.0, '0.9, 4': nan}","{'0.8, 2': 1324.0, '0.85, 3': 1333.0, '0.9, 4': nan}","[26, 10, 0]","{'0.8, 2': 576.0, '0.85, 3': 575.0, '0.9, 4': 574.0}","{'0.8, 2': 1286.0, '0.85, 3': 1299.0, '0.9, 4': 1306.0}","[24, 40, 50]"
3,650,"{0.8: 622.0, 0.85: 618.0, 0.9: 608.0}","{0.8: 1441.0, 0.85: 1455.0, 0.9: 1474.0}","[19, 14, 7]","{0.8: 628.0, 0.85: 628.0, 0.9: 628.0}","{0.8: 1381.0, 0.85: 1384.0, 0.9: 1393.0}","[31, 36, 43]","{4: 620.0, 3: 610.0, 2: nan}","{4: 1436.0, 3: 1482.0, 2: nan}","[18, 6, 0]","{4: 629.0, 3: 628.0, 2: 626.0}","{4: 1386.0, 3: 1393.0, 2: 1404.0}","[32, 44, 50]","{'0.8, 2': 617.0, '0.85, 3': 610.0, '0.9, 4': nan}","{'0.8, 2': 1438.0, '0.85, 3': 1482.0, '0.9, 4': nan}","[14, 6, 0]","{'0.8, 2': 629.0, '0.85, 3': 628.0, '0.9, 4': 626.0}","{'0.8, 2': 1391.0, '0.85, 3': 1393.0, '0.9, 4': 1404.0}","[36, 44, 50]"
4,700,"{0.8: 675.0, 0.85: 675.0, 0.9: 678.0}","{0.8: 1563.0, 0.85: 1565.0, 0.9: 1545.0}","[30, 21, 11]","{0.8: 673.0, 0.85: 674.0, 0.9: 673.0}","{0.8: 1530.0, 0.85: 1539.0, 0.9: 1551.0}","[20, 29, 39]","{4: 674.0, 3: 659.0, 2: nan}","{4: 1551.0, 3: 1562.0, 2: nan}","[21, 4, 0]","{4: 674.0, 3: 675.0, 2: 674.0}","{4: 1549.0, 3: 1549.0, 2: 1550.0}","[29, 46, 50]","{'0.8, 2': 674.0, '0.85, 3': 659.0, '0.9, 4': nan}","{'0.8, 2': 1545.0, '0.85, 3': 1562.0, '0.9, 4': nan}","[16, 4, 0]","{'0.8, 2': 674.0, '0.85, 3': 675.0, '0.9, 4': 674.0}","{'0.8, 2': 1552.0, '0.85, 3': 1549.0, '0.9, 4': 1550.0}","[34, 46, 50]"
5,750,"{0.8: 723.0, 0.85: 727.0, 0.9: 723.0}","{0.8: 1639.0, 0.85: 1645.0, 0.9: 1631.0}","[46, 26, 13]","{0.8: 715.0, 0.85: 717.0, 0.9: 722.0}","{0.8: 1669.0, 0.85: 1638.0, 0.9: 1645.0}","[4, 24, 37]","{4: 723.0, 3: 727.0, 2: nan}","{4: 1654.0, 3: 1630.0, 2: nan}","[32, 12, 0]","{4: 721.0, 3: 720.0, 2: 722.0}","{4: 1620.0, 3: 1645.0, 2: 1642.0}","[18, 38, 50]","{'0.8, 2': 723.0, '0.85, 3': 727.0, '0.9, 4': nan}","{'0.8, 2': 1654.0, '0.85, 3': 1630.0, '0.9, 4': nan}","[32, 12, 0]","{'0.8, 2': 721.0, '0.85, 3': 720.0, '0.9, 4': 722.0}","{'0.8, 2': 1620.0, '0.85, 3': 1645.0, '0.9, 4': 1642.0}","[18, 38, 50]"
6,800,"{0.8: 770.0, 0.85: 770.0, 0.9: 774.0}","{0.8: 1781.0, 0.85: 1780.0, 0.9: 1772.0}","[47, 46, 31]","{0.8: 753.0, 0.85: 754.0, 0.9: 760.0}","{0.8: 1834.0, 0.85: 1832.0, 0.9: 1803.0}","[3, 4, 19]","{4: 769.0, 3: 769.0, 2: 776.0}","{4: 1783.0, 3: 1761.0, 2: 1713.0}","[36, 12, 2]","{4: 770.0, 3: 769.0, 2: 769.0}","{4: 1787.0, 3: 1791.0, 2: 1787.0}","[14, 38, 48]","{'0.8, 2': 769.0, '0.85, 3': 769.0, '0.9, 4': 776.0}","{'0.8, 2': 1781.0, '0.85, 3': 1761.0, '0.9, 4': 1713.0}","[35, 12, 2]","{'0.8, 2': 769.0, '0.85, 3': 769.0, '0.9, 4': 769.0}","{'0.8, 2': 1791.0, '0.85, 3': 1791.0, '0.9, 4': 1787.0}","[15, 38, 48]"
7,850,"{0.8: 819.0, 0.85: 819.0, 0.9: 820.0}","{0.8: 1890.0, 0.85: 1887.0, 0.9: 1875.0}","[50, 49, 42]","{0.8: nan, 0.85: 830.0, 0.9: 814.0}","{0.8: nan, 0.85: 2005.0, 0.9: 1964.0}","[0, 1, 8]","{4: 819.0, 3: 812.0, 2: nan}","{4: 1896.0, 3: 1898.0, 2: nan}","[40, 13, 0]","{4: 817.0, 3: 821.0, 2: 819.0}","{4: 1862.0, 3: 1887.0, 2: 1890.0}","[10, 37, 50]","{'0.8, 2': 819.0, '0.85, 3': 812.0, '0.9, 4': nan}","{'0.8, 2': 1896.0, '0.85, 3': 1898.0, '0.9, 4': nan}","[40, 13, 0]","{'0.8, 2': 817.0, '0.85, 3': 821.0, '0.9, 4': 819.0}","{'0.8, 2': 1862.0, '0.85, 3': 1887.0, '0.9, 4': 1890.0}","[10, 37, 50]"
8,900,"{0.8: 867.0, 0.85: 867.0, 0.9: 867.0}","{0.8: 1984.0, 0.85: 1984.0, 0.9: 1982.0}","[50, 50, 49]","{0.8: nan, 0.85: nan, 0.9: 882.0}","{0.8: nan, 0.85: nan, 0.9: 2099.0}","[0, 0, 1]","{4: 866.0, 3: 865.0, 2: nan}","{4: 1989.0, 3: 1991.0, 2: nan}","[38, 11, 0]","{4: 871.0, 3: 868.0, 2: 867.0}","{4: 1971.0, 3: 1983.0, 2: 1984.0}","[12, 39, 50]","{'0.8, 2': 866.0, '0.85, 3': 865.0, '0.9, 4': nan}","{'0.8, 2': 1989.0, '0.85, 3': 1991.0, '0.9, 4': nan}","[38, 11, 0]","{'0.8, 2': 871.0, '0.85, 3': 868.0, '0.9, 4': 867.0}","{'0.8, 2': 1971.0, '0.85, 3': 1983.0, '0.9, 4': 1984.0}","[12, 39, 50]"
9,950,"{0.8: 914.0, 0.85: 914.0, 0.9: 914.0}","{0.8: 2081.0, 0.85: 2081.0, 0.9: 2081.0}","[50, 50, 50]","{0.8: nan, 0.85: nan, 0.9: nan}","{0.8: nan, 0.85: nan, 0.9: nan}","[0, 0, 0]","{4: 913.0, 3: 917.0, 2: nan}","{4: 2088.0, 3: 2104.0, 2: nan}","[30, 5, 0]","{4: 916.0, 3: 914.0, 2: 914.0}","{4: 2070.0, 3: 2078.0, 2: 2081.0}","[20, 45, 50]","{'0.8, 2': 913.0, '0.85, 3': 917.0, '0.9, 4': nan}","{'0.8, 2': 2088.0, '0.85, 3': 2104.0, '0.9, 4': nan}","[30, 5, 0]","{'0.8, 2': 916.0, '0.85, 3': 914.0, '0.9, 4': 914.0}","{'0.8, 2': 2070.0, '0.85, 3': 2078.0, '0.9, 4': 2081.0}","[20, 45, 50]"
10,1000,"{0.8: 958.0, 0.85: 958.0, 0.9: 958.0}","{0.8: 2165.0, 0.85: 2165.0, 0.9: 2165.0}","[50, 50, 50]","{0.8: nan, 0.85: nan, 0.9: nan}","{0.8: nan, 0.85: nan, 0.9: nan}","[0, 0, 0]","{4: 958.0, 3: 954.0, 2: nan}","{4: 2177.0, 3: 2168.0, 2: nan}","[24, 4, 0]","{4: 958.0, 3: 959.0, 2: 958.0}","{4: 2153.0, 3: 2164.0, 2: 2165.0}","[26, 46, 50]","{'0.8, 2': 958.0, '0.85, 3': 954.0, '0.9, 4': nan}","{'0.8, 2': 2177.0, '0.85, 3': 2168.0, '0.9, 4': nan}","[24, 4, 0]","{'0.8, 2': 958.0, '0.85, 3': 959.0, '0.9, 4': 958.0}","{'0.8, 2': 2153.0, '0.85, 3': 2164.0, '0.9, 4': 2165.0}","[26, 46, 50]"
