,Budget interval,"Best 50 (Normal,Diverse)","All (Normal,Diverse)"
0,450 to 500,"[94, 6]","[95, 5]"
1,500 to 550,"[100, 0]","[90, 10]"
2,550 to 600,"[54, 46]","[81, 19]"
3,600 to 650,"[68, 32]","[85, 15]"
4,650 to 700,"[94, 6]","[88, 12]"
5,700 to 750,"[88, 12]","[86, 14]"
6,750 to 800,"[60, 40]","[80, 20]"
7,800 to 850,"[96, 4]","[82, 18]"
8,850 to 900,"[96, 4]","[86, 14]"
9,900 to 950,"[84, 16]","[84, 16]"
10,950 to 1000,"[0, 0]","[0, 0]"
