,Budget interval,Best 50,Worst 50,All
0,450 to 500,"[34, 14, 52]","[22, 38, 40]","[67, 15, 18]"
1,500 to 550,"[72, 10, 18]","[98, 0, 2]","[74, 9, 17]"
2,550 to 600,"[2, 96, 2]","[98, 2, 0]","[63, 21, 16]"
3,600 to 650,"[12, 78, 10]","[98, 2, 0]","[75, 18, 8]"
4,650 to 700,"[54, 14, 32]","[100, 0, 0]","[72, 14, 14]"
5,700 to 750,"[16, 48, 36]","[94, 0, 6]","[50, 25, 24]"
6,750 to 800,"[12, 38, 50]","[4, 92, 4]","[22, 54, 24]"
7,800 to 850,"[18, 40, 42]","[0, 98, 2]","[7, 81, 12]"
8,850 to 900,"[0, 62, 38]","[0, 90, 10]","[2, 89, 9]"
9,900 to 950,"[0, 68, 32]","[0, 98, 2]","[0, 74, 26]"
10,950 to 1000,"[0, 94, 6]","[0, 88, 12]","[0, 91, 9]"
