,Budget,Nation,Count,Team percentage,League percentage,Ratio,Amount as dist
0,500,"['eng England', 'wls Wales', 'sct Scotland', 'fr France', 'nl Netherlands', 'nir Northern Ireland']","[6, 1, 1, 1, 1, 1]","[0.545, 0.091, 0.091, 0.091, 0.091, 0.091]","[0.371, 0.027, 0.031, 0.044, 0.032, 0.01]","[1.469, 3.37, 2.935, 2.068, 2.844, 9.1]","[4.081, 0.297, 0.341, 0.484, 0.352, 0.11]"
1,550,"['eng England', 'sct Scotland', 'fr France', 'wls Wales', ""ci Côte d'Ivoire"", 'no Norway', 'nir Northern Ireland']","[5, 1, 1, 1, 1, 1, 1]","[0.455, 0.091, 0.091, 0.091, 0.091, 0.091, 0.091]","[0.371, 0.031, 0.044, 0.027, 0.011, 0.01, 0.01]","[1.226, 2.935, 2.068, 3.37, 8.273, 9.1, 9.1]","[4.081, 0.341, 0.484, 0.297, 0.121, 0.11, 0.11]"
2,600,"['wls Wales', 'sct Scotland', 'fr France', ""ci Côte d'Ivoire"", 'no Norway', 'eng England', 'nir Northern Ireland', 'es Spain']","[1, 1, 1, 1, 1, 4, 1, 1]","[0.091, 0.091, 0.091, 0.091, 0.091, 0.364, 0.091, 0.091]","[0.027, 0.031, 0.044, 0.011, 0.01, 0.371, 0.01, 0.06]","[3.37, 2.935, 2.068, 8.273, 9.1, 0.981, 9.1, 1.517]","[0.297, 0.341, 0.484, 0.121, 0.11, 4.081, 0.11, 0.66]"
3,650,"['es Spain', 'fr France', ""ci Côte d'Ivoire"", 'no Norway', 'nir Northern Ireland', 'eng England']","[4, 1, 1, 1, 1, 3]","[0.364, 0.091, 0.091, 0.091, 0.091, 0.273]","[0.06, 0.044, 0.011, 0.01, 0.01, 0.371]","[6.067, 2.068, 8.273, 9.1, 9.1, 0.736]","[0.66, 0.484, 0.121, 0.11, 0.11, 4.081]"
4,700,"['es Spain', 'fr France', 'no Norway', 'dk Denmark', 'eng England', 'nir Northern Ireland']","[3, 1, 1, 1, 4, 1]","[0.273, 0.091, 0.091, 0.091, 0.364, 0.091]","[0.06, 0.044, 0.01, 0.008, 0.371, 0.01]","[4.55, 2.068, 9.1, 11.375, 0.981, 9.1]","[0.66, 0.484, 0.11, 0.088, 4.081, 0.11]"
5,750,"['be Belgium', 'fr France', ""ci Côte d'Ivoire"", 'no Norway', 'dk Denmark', 'eng England', 'es Spain']","[1, 1, 1, 1, 1, 4, 2]","[0.091, 0.091, 0.091, 0.091, 0.091, 0.364, 0.182]","[0.037, 0.044, 0.011, 0.01, 0.008, 0.371, 0.06]","[2.459, 2.068, 8.273, 9.1, 11.375, 0.981, 3.033]","[0.407, 0.484, 0.121, 0.11, 0.088, 4.081, 0.66]"
6,800,"['es Spain', 'no Norway', 'is Iceland', 'dk Denmark', 'eng England', 'cl Chile']","[3, 1, 1, 1, 4, 1]","[0.273, 0.091, 0.091, 0.091, 0.364, 0.091]","[0.06, 0.01, 0.003, 0.008, 0.371, 0.003]","[4.55, 9.1, 30.333, 11.375, 0.981, 30.333]","[0.66, 0.11, 0.033, 0.088, 4.081, 0.033]"
7,850,"['es Spain', 'be Belgium', 'no Norway', 'is Iceland', 'dk Denmark', 'eng England', 'cl Chile']","[3, 1, 1, 1, 1, 3, 1]","[0.273, 0.091, 0.091, 0.091, 0.091, 0.273, 0.091]","[0.06, 0.037, 0.01, 0.003, 0.008, 0.371, 0.003]","[4.55, 2.459, 9.1, 30.333, 11.375, 0.736, 30.333]","[0.66, 0.407, 0.11, 0.033, 0.088, 4.081, 0.033]"
8,900,"['eng England', 'be Belgium', 'no Norway', 'dk Denmark', 'cl Chile', 'es Spain']","[4, 2, 1, 1, 1, 2]","[0.364, 0.182, 0.091, 0.091, 0.091, 0.182]","[0.371, 0.037, 0.01, 0.008, 0.003, 0.06]","[0.981, 4.919, 9.1, 11.375, 30.333, 3.033]","[4.081, 0.407, 0.11, 0.088, 0.033, 0.66]"
9,950,"['be Belgium', 'eng England', 'is Iceland', 'dk Denmark', 'cl Chile', 'es Spain']","[2, 4, 1, 1, 1, 2]","[0.182, 0.364, 0.091, 0.091, 0.091, 0.182]","[0.037, 0.371, 0.003, 0.008, 0.003, 0.06]","[4.919, 0.981, 30.333, 11.375, 30.333, 3.033]","[0.407, 4.081, 0.033, 0.088, 0.033, 0.66]"
10,1000,"['be Belgium', 'eng England', 'dk Denmark', 'cl Chile', 'es Spain']","[3, 4, 1, 1, 2]","[0.273, 0.364, 0.091, 0.091, 0.182]","[0.037, 0.371, 0.008, 0.003, 0.06]","[7.378, 0.981, 11.375, 30.333, 3.033]","[0.407, 4.081, 0.088, 0.033, 0.66]"
