Budget,Best total cost,Best total points,Individual costs,Sorted individual costs,Id
500,500,1107,"[43, 44, 46, 43, 44, 45, 46, 46, 48, 50, 45]","[43, 43, 44, 44, 45, 45, 46, 46, 46, 48, 50]","[575, 336, 70, 290, 439, 416, 42, 34, 32, 436, 29]"
550,549,1346,"[44, 46, 57, 44, 45, 49, 62, 49, 50, 52, 51]","[44, 44, 45, 46, 49, 49, 50, 51, 52, 57, 62]","[336, 70, 67, 439, 416, 202, 48, 278, 436, 33, 54]"
600,600,1516,"[46, 57, 63, 45, 49, 58, 62, 50, 52, 67, 51]","[45, 46, 49, 50, 51, 52, 57, 58, 62, 63, 67]","[70, 67, 500, 416, 202, 111, 48, 436, 33, 78, 54]"
650,650,1661,"[61, 63, 74, 45, 55, 58, 62, 50, 64, 67, 51]","[45, 50, 51, 55, 58, 61, 62, 63, 64, 67, 74]","[478, 500, 355, 416, 155, 111, 48, 436, 77, 78, 54]"
700,699,1783,"[57, 63, 74, 45, 58, 62, 89, 64, 67, 69, 51]","[45, 51, 57, 58, 62, 63, 64, 67, 69, 74, 89]","[67, 500, 355, 416, 111, 48, 394, 77, 78, 561, 54]"
750,745,1890,"[63, 74, 101, 45, 58, 62, 91, 64, 67, 69, 51]","[45, 51, 58, 62, 63, 64, 67, 69, 74, 91, 101]","[500, 355, 143, 416, 111, 48, 398, 77, 78, 561, 54]"
800,799,1990,"[63, 74, 101, 62, 68, 89, 91, 64, 67, 69, 51]","[51, 62, 63, 64, 67, 68, 69, 74, 89, 91, 101]","[500, 355, 143, 48, 90, 394, 398, 77, 78, 561, 54]"
850,848,2092,"[63, 74, 101, 62, 89, 91, 117, 64, 67, 69, 51]","[51, 62, 63, 64, 67, 69, 74, 89, 91, 101, 117]","[500, 355, 143, 48, 394, 398, 12, 77, 78, 561, 54]"
900,893,2150,"[63, 101, 119, 62, 89, 91, 117, 64, 67, 69, 51]","[51, 62, 63, 64, 67, 69, 89, 91, 101, 117, 119]","[500, 143, 403, 48, 394, 398, 12, 77, 78, 561, 54]"
950,947,2216,"[74, 101, 119, 89, 91, 105, 117, 64, 67, 69, 51]","[51, 64, 67, 69, 74, 89, 91, 101, 105, 117, 119]","[355, 143, 403, 394, 398, 82, 12, 77, 78, 561, 54]"
1000,977,2246,"[101, 104, 119, 89, 91, 105, 117, 64, 67, 69, 51]","[51, 64, 67, 69, 89, 91, 101, 104, 105, 117, 119]","[143, 97, 403, 394, 398, 82, 12, 77, 78, 561, 54]"
