Budget,Best total cost,Best total points,Individual costs,Sorted individual costs,Id
500,500,1105,"[43, 44, 46, 44, 45, 46, 44, 46, 49, 50, 43]","[43, 43, 44, 44, 44, 45, 46, 46, 46, 49, 50]","[575, 336, 70, 439, 416, 42, 56, 34, 278, 436, 574]"
550,550,1347,"[44, 46, 63, 44, 45, 62, 44, 49, 50, 52, 51]","[44, 44, 44, 45, 46, 49, 50, 51, 52, 62, 63]","[336, 70, 500, 439, 416, 48, 56, 278, 436, 33, 54]"
600,599,1520,"[44, 57, 63, 44, 45, 62, 50, 52, 64, 67, 51]","[44, 44, 45, 50, 51, 52, 57, 62, 63, 64, 67]","[336, 67, 500, 439, 416, 48, 436, 33, 77, 78, 54]"
650,649,1663,"[57, 61, 63, 45, 58, 62, 52, 64, 67, 69, 51]","[45, 51, 52, 57, 58, 61, 62, 63, 64, 67, 69]","[67, 478, 500, 416, 111, 48, 33, 77, 78, 561, 54]"
700,699,1784,"[61, 63, 74, 45, 62, 91, 52, 64, 67, 69, 51]","[45, 51, 52, 61, 62, 63, 64, 67, 69, 74, 91]","[478, 500, 355, 416, 48, 398, 33, 77, 78, 561, 54]"
750,750,1890,"[63, 74, 101, 58, 62, 91, 50, 64, 67, 69, 51]","[50, 51, 58, 62, 63, 64, 67, 69, 74, 91, 101]","[500, 355, 143, 111, 48, 398, 436, 77, 78, 561, 54]"
800,798,1972,"[61, 63, 101, 62, 91, 117, 52, 64, 67, 69, 51]","[51, 52, 61, 62, 63, 64, 67, 69, 91, 101, 117]","[478, 500, 143, 48, 398, 12, 33, 77, 78, 561, 54]"
850,848,2056,"[63, 74, 101, 89, 91, 117, 62, 64, 67, 69, 51]","[51, 62, 63, 64, 67, 69, 74, 89, 91, 101, 117]","[500, 355, 143, 394, 398, 12, 384, 77, 78, 561, 54]"
900,900,2127,"[74, 101, 119, 89, 91, 117, 58, 64, 67, 69, 51]","[51, 58, 64, 67, 69, 74, 89, 91, 101, 117, 119]","[355, 143, 403, 394, 398, 12, 125, 77, 78, 561, 54]"
950,950,2170,"[101, 104, 119, 91, 105, 117, 62, 64, 67, 69, 51]","[51, 62, 64, 67, 69, 91, 101, 104, 105, 117, 119]","[143, 97, 403, 398, 82, 12, 384, 77, 78, 561, 54]"
1000,950,2170,"[101, 104, 119, 91, 105, 117, 62, 64, 67, 69, 51]","[51, 62, 64, 67, 69, 91, 101, 104, 105, 117, 119]","[143, 97, 403, 398, 82, 12, 384, 77, 78, 561, 54]"
