,Budget,Linear mean cost,Linear mean points,n linear,Non linear cost,Non linear points,Non linear n,Div mean cost,Div mean points,n div,Non div cost,Non div points,Non div n,Both mean cost,Both mean points,n both,Non both cost,Non both points,Non both n
0,500,"{0.8: 479.0, 0.85: 479.0, 0.9: 480.0}","{0.8: 875.0, 0.85: 901.0, 0.9: 900.0}","[25, 18, 9]","{0.8: 484.0, 0.85: 483.0, 0.9: 482.0}","{0.8: 871.0, 0.85: 857.0, 0.9: 867.0}","[25, 32, 41]","{4: 482.0, 3: 476.0, 2: 475.0}","{4: 915.0, 3: 814.0, 2: 898.0}","[10, 2, 1]","{4: 481.0, 3: 482.0, 2: 481.0}","{4: 863.0, 3: 876.0, 2: 873.0}","[40, 48, 49]","{'0.8, 2': 482.0, '0.85, 3': 475.0, '0.9, 4': 475.0}","{'0.8, 2': 915.0, '0.85, 3': 898.0, '0.9, 4': 898.0}","[10, 1, 1]","{'0.8, 2': 481.0, '0.85, 3': 481.0, '0.9, 4': 481.0}","{'0.8, 2': 863.0, '0.85, 3': 873.0, '0.9, 4': 873.0}","[40, 49, 49]"
1,550,"{0.8: 529.0, 0.85: 529.0, 0.9: 528.0}","{0.8: 1153.0, 0.85: 1191.0, 0.9: 1224.0}","[22, 12, 6]","{0.8: 523.0, 0.85: 524.0, 0.9: 525.0}","{0.8: 1140.0, 0.85: 1131.0, 0.9: 1135.0}","[28, 38, 44]","{4: 536.0, 3: 545.0, 2: nan}","{4: 1236.0, 3: 1299.0, 2: nan}","[14, 4, 0]","{4: 521.0, 3: 524.0, 2: 525.0}","{4: 1111.0, 3: 1132.0, 2: 1146.0}","[36, 46, 50]","{'0.8, 2': 542.0, '0.85, 3': 548.0, '0.9, 4': nan}","{'0.8, 2': 1251.0, '0.85, 3': 1309.0, '0.9, 4': nan}","[9, 3, 0]","{'0.8, 2': 522.0, '0.85, 3': 524.0, '0.9, 4': 525.0}","{'0.8, 2': 1123.0, '0.85, 3': 1135.0, '0.9, 4': 1146.0}","[41, 47, 50]"
2,600,"{0.8: 573.0, 0.85: 571.0, 0.9: 575.0}","{0.8: 1352.0, 0.85: 1372.0, 0.9: 1399.0}","[25, 19, 9]","{0.8: 578.0, 0.85: 578.0, 0.9: 575.0}","{0.8: 1307.0, 0.85: 1304.0, 0.9: 1314.0}","[25, 31, 41]","{4: 572.0, 3: 581.0, 2: 580.0}","{4: 1354.0, 3: 1435.0, 2: 1410.0}","[20, 7, 2]","{4: 578.0, 3: 574.0, 2: 575.0}","{4: 1313.0, 3: 1312.0, 2: 1326.0}","[30, 43, 48]","{'0.8, 2': 571.0, '0.85, 3': 581.0, '0.9, 4': 580.0}","{'0.8, 2': 1354.0, '0.85, 3': 1435.0, '0.9, 4': 1410.0}","[19, 7, 2]","{'0.8, 2': 578.0, '0.85, 3': 574.0, '0.9, 4': 575.0}","{'0.8, 2': 1315.0, '0.85, 3': 1312.0, '0.9, 4': 1326.0}","[31, 43, 48]"
3,650,"{0.8: 626.0, 0.85: 625.0, 0.9: 625.0}","{0.8: 1492.0, 0.85: 1490.0, 0.9: 1499.0}","[28, 19, 10]","{0.8: 619.0, 0.85: 622.0, 0.9: 623.0}","{0.8: 1486.0, 0.85: 1489.0, 0.9: 1487.0}","[22, 31, 40]","{4: 622.0, 3: 627.0, 2: 622.0}","{4: 1492.0, 3: 1533.0, 2: 1567.0}","[29, 12, 3]","{4: 624.0, 3: 622.0, 2: 623.0}","{4: 1486.0, 3: 1476.0, 2: 1485.0}","[21, 38, 47]","{'0.8, 2': 625.0, '0.85, 3': 627.0, '0.9, 4': 622.0}","{'0.8, 2': 1501.0, '0.85, 3': 1533.0, '0.9, 4': 1567.0}","[22, 12, 3]","{'0.8, 2': 622.0, '0.85, 3': 622.0, '0.9, 4': 623.0}","{'0.8, 2': 1480.0, '0.85, 3': 1476.0, '0.9, 4': 1485.0}","[28, 38, 47]"
4,700,"{0.8: 674.0, 0.85: 676.0, 0.9: 676.0}","{0.8: 1612.0, 0.85: 1635.0, 0.9: 1655.0}","[38, 27, 13]","{0.8: 666.0, 0.85: 667.0, 0.9: 671.0}","{0.8: 1567.0, 0.85: 1561.0, 0.9: 1582.0}","[12, 23, 37]","{4: 673.0, 3: 677.0, 2: 664.0}","{4: 1599.0, 3: 1634.0, 2: 1558.0}","[27, 8, 1]","{4: 670.0, 3: 671.0, 2: 672.0}","{4: 1605.0, 3: 1595.0, 2: 1602.0}","[23, 42, 49]","{'0.8, 2': 675.0, '0.85, 3': 677.0, '0.9, 4': 664.0}","{'0.8, 2': 1606.0, '0.85, 3': 1634.0, '0.9, 4': 1558.0}","[25, 8, 1]","{'0.8, 2': 669.0, '0.85, 3': 671.0, '0.9, 4': 672.0}","{'0.8, 2': 1597.0, '0.85, 3': 1595.0, '0.9, 4': 1602.0}","[25, 42, 49]"
5,750,"{0.8: 723.0, 0.85: 726.0, 0.9: 725.0}","{0.8: 1702.0, 0.85: 1696.0, 0.9: 1718.0}","[45, 29, 11]","{0.8: 721.0, 0.85: 719.0, 0.9: 723.0}","{0.8: 1793.0, 0.85: 1732.0, 0.9: 1709.0}","[5, 21, 39]","{4: 725.0, 3: 721.0, 2: nan}","{4: 1732.0, 3: 1708.0, 2: nan}","[24, 4, 0]","{4: 721.0, 3: 723.0, 2: 723.0}","{4: 1692.0, 3: 1711.0, 2: 1711.0}","[26, 46, 50]","{'0.8, 2': 725.0, '0.85, 3': 721.0, '0.9, 4': nan}","{'0.8, 2': 1732.0, '0.85, 3': 1708.0, '0.9, 4': nan}","[24, 4, 0]","{'0.8, 2': 721.0, '0.85, 3': 723.0, '0.9, 4': 723.0}","{'0.8, 2': 1692.0, '0.85, 3': 1711.0, '0.9, 4': 1711.0}","[26, 46, 50]"
6,800,"{0.8: 768.0, 0.85: 770.0, 0.9: 764.0}","{0.8: 1812.0, 0.85: 1797.0, 0.9: 1734.0}","[47, 38, 15]","{0.8: 765.0, 0.85: 762.0, 0.9: 770.0}","{0.8: 1920.0, 0.85: 1886.0, 0.9: 1854.0}","[3, 12, 35]","{4: 768.0, 3: 761.0, 2: nan}","{4: 1823.0, 3: 1773.0, 2: nan}","[29, 4, 0]","{4: 768.0, 3: 768.0, 2: 768.0}","{4: 1812.0, 3: 1822.0, 2: 1818.0}","[21, 46, 50]","{'0.8, 2': 768.0, '0.85, 3': 761.0, '0.9, 4': nan}","{'0.8, 2': 1820.0, '0.85, 3': 1773.0, '0.9, 4': nan}","[28, 4, 0]","{'0.8, 2': 768.0, '0.85, 3': 768.0, '0.9, 4': 768.0}","{'0.8, 2': 1816.0, '0.85, 3': 1822.0, '0.9, 4': 1818.0}","[22, 46, 50]"
7,850,"{0.8: 817.0, 0.85: 818.0, 0.9: 819.0}","{0.8: 1936.0, 0.85: 1935.0, 0.9: 1928.0}","[50, 49, 40]","{0.8: nan, 0.85: 805.0, 0.9: 809.0}","{0.8: nan, 0.85: 1981.0, 0.9: 1966.0}","[0, 1, 10]","{4: 815.0, 3: 809.0, 2: 810.0}","{4: 1928.0, 3: 1921.0, 2: 1869.0}","[28, 13, 4]","{4: 820.0, 3: 820.0, 2: 818.0}","{4: 1945.0, 3: 1941.0, 2: 1941.0}","[22, 37, 46]","{'0.8, 2': 815.0, '0.85, 3': 809.0, '0.9, 4': 810.0}","{'0.8, 2': 1928.0, '0.85, 3': 1921.0, '0.9, 4': 1869.0}","[28, 13, 4]","{'0.8, 2': 820.0, '0.85, 3': 820.0, '0.9, 4': 818.0}","{'0.8, 2': 1945.0, '0.85, 3': 1941.0, '0.9, 4': 1941.0}","[22, 37, 46]"
8,900,"{0.8: 869.0, 0.85: 869.0, 0.9: 869.0}","{0.8: 2032.0, 0.85: 2032.0, 0.9: 2031.0}","[50, 50, 48]","{0.8: nan, 0.85: nan, 0.9: 855.0}","{0.8: nan, 0.85: nan, 0.9: 2068.0}","[0, 0, 2]","{4: 866.0, 3: 866.0, 2: nan}","{4: 2021.0, 3: 1960.0, 2: nan}","[25, 6, 0]","{4: 871.0, 3: 869.0, 2: 869.0}","{4: 2044.0, 3: 2042.0, 2: 2032.0}","[25, 44, 50]","{'0.8, 2': 866.0, '0.85, 3': 866.0, '0.9, 4': nan}","{'0.8, 2': 2021.0, '0.85, 3': 1960.0, '0.9, 4': nan}","[25, 6, 0]","{'0.8, 2': 871.0, '0.85, 3': 869.0, '0.9, 4': 869.0}","{'0.8, 2': 2044.0, '0.85, 3': 2042.0, '0.9, 4': 2032.0}","[25, 44, 50]"
9,950,"{0.8: 912.0, 0.85: 912.0, 0.9: 912.0}","{0.8: 2093.0, 0.85: 2093.0, 0.9: 2093.0}","[50, 50, 50]","{0.8: nan, 0.85: nan, 0.9: nan}","{0.8: nan, 0.85: nan, 0.9: nan}","[0, 0, 0]","{4: 909.0, 3: 902.0, 2: nan}","{4: 2071.0, 3: 2013.0, 2: nan}","[23, 2, 0]","{4: 914.0, 3: 912.0, 2: 912.0}","{4: 2111.0, 3: 2096.0, 2: 2093.0}","[27, 48, 50]","{'0.8, 2': 909.0, '0.85, 3': 902.0, '0.9, 4': nan}","{'0.8, 2': 2071.0, '0.85, 3': 2013.0, '0.9, 4': nan}","[23, 2, 0]","{'0.8, 2': 914.0, '0.85, 3': 912.0, '0.9, 4': 912.0}","{'0.8, 2': 2111.0, '0.85, 3': 2096.0, '0.9, 4': 2093.0}","[27, 48, 50]"
