,Budget interval,Best 50,Worst 50,All
0,450 to 500,"[40, 30, 30]","[30, 34, 36]","[44, 34, 23]"
1,500 to 550,"[98, 0, 2]","[72, 12, 16]","[70, 17, 13]"
2,550 to 600,"[100, 0, 0]","[94, 2, 4]","[84, 9, 7]"
3,600 to 650,"[100, 0, 0]","[82, 12, 6]","[89, 6, 5]"
4,650 to 700,"[100, 0, 0]","[92, 8, 0]","[91, 4, 4]"
5,700 to 750,"[100, 0, 0]","[100, 0, 0]","[96, 2, 2]"
6,750 to 800,"[100, 0, 0]","[100, 0, 0]","[95, 2, 3]"
7,800 to 850,"[100, 0, 0]","[98, 0, 2]","[93, 2, 5]"
8,850 to 900,"[92, 2, 6]","[100, 0, 0]","[91, 4, 5]"
9,900 to 950,"[70, 16, 14]","[86, 4, 10]","[80, 10, 10]"
10,950 to 1000,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
