,Budget interval,"Best 50 (Normal,Diverse)","All (Normal,Diverse)"
0,450 to 500,"[80, 20]","[88, 12]"
1,500 to 550,"[90, 10]","[90, 10]"
2,550 to 600,"[94, 6]","[87, 13]"
3,600 to 650,"[100, 0]","[90, 10]"
4,650 to 700,"[100, 0]","[95, 5]"
5,700 to 750,"[96, 4]","[83, 17]"
6,750 to 800,"[80, 20]","[66, 34]"
7,800 to 850,"[56, 44]","[50, 50]"
8,850 to 900,"[42, 58]","[59, 41]"
9,900 to 950,"[52, 48]","[60, 40]"
10,950 to 1000,"[0, 0]","[0, 0]"
