,Budget interval,"Best 50 (Normal,Diverse)","All (Normal,Diverse)"
0,450 to 500,"[60, 40]","[73, 27]"
1,500 to 550,"[62, 38]","[85, 15]"
2,550 to 600,"[86, 14]","[87, 13]"
3,600 to 650,"[100, 0]","[92, 8]"
4,650 to 700,"[100, 0]","[92, 8]"
5,700 to 750,"[98, 2]","[80, 20]"
6,750 to 800,"[44, 56]","[74, 26]"
7,800 to 850,"[54, 46]","[58, 42]"
8,850 to 900,"[52, 48]","[48, 52]"
9,900 to 950,"[62, 38]","[50, 50]"
10,950 to 1000,"[0, 0]","[0, 0]"
