,Budget interval,"Best 50 (Normal,Diverse)","All (Normal,Diverse)"
0,450 to 500,"[30, 70]","[30, 70]"
1,500 to 550,"[0, 100]","[49, 51]"
2,550 to 600,"[84, 16]","[73, 27]"
3,600 to 650,"[100, 0]","[91, 9]"
4,650 to 700,"[100, 0]","[84, 16]"
5,700 to 750,"[14, 86]","[37, 63]"
6,750 to 800,"[0, 100]","[12, 88]"
7,800 to 850,"[4, 96]","[1, 99]"
8,850 to 900,"[0, 100]","[0, 100]"
9,900 to 950,"[0, 100]","[0, 100]"
10,950 to 1000,"[0, 100]","[0, 100]"
