,Budget,Linear mean cost,Linear mean points,n linear,Non linear cost,Non linear points,Non linear n,Div mean cost,Div mean points,n div,Non div cost,Non div points,Non div n,Both mean cost,Both mean points,n both,Non both cost,Non both points,Non both n
0,500,"{0.8: 488.0, 0.85: 488.0, 0.9: 486.0}","{0.8: 924.0, 0.85: 927.0, 0.9: 945.0}","[32, 26, 13]","{0.8: 491.0, 0.85: 491.0, 0.9: 490.0}","{0.8: 969.0, 0.85: 955.0, 0.9: 938.0}","[18, 24, 37]","{4: 487.0, 3: 488.0, 2: 496.0}","{4: 929.0, 3: 965.0, 2: 1065.0}","[21, 6, 1]","{4: 491.0, 3: 489.0, 2: 489.0}","{4: 948.0, 3: 937.0, 2: 938.0}","[29, 44, 49]","{'0.8, 2': 486.0, '0.85, 3': 488.0, '0.9, 4': 496.0}","{'0.8, 2': 923.0, '0.85, 3': 965.0, '0.9, 4': 1065.0}","[20, 6, 1]","{'0.8, 2': 491.0, '0.85, 3': 489.0, '0.9, 4': 489.0}","{'0.8, 2': 952.0, '0.85, 3': 937.0, '0.9, 4': 938.0}","[30, 44, 49]"
1,550,"{0.8: 524.0, 0.85: 524.0, 0.9: 523.0}","{0.8: 1186.0, 0.85: 1185.0, 0.9: 1169.0}","[25, 23, 15]","{0.8: 532.0, 0.85: 532.0, 0.9: 531.0}","{0.8: 1102.0, 0.85: 1108.0, 0.9: 1133.0}","[25, 27, 35]","{4: 527.0, 3: 519.0, 2: 510.0}","{4: 1183.0, 3: 1165.0, 2: 1105.0}","[17, 6, 1]","{4: 529.0, 3: 530.0, 2: 529.0}","{4: 1124.0, 3: 1141.0, 2: 1144.0}","[33, 44, 49]","{'0.8, 2': 526.0, '0.85, 3': 519.0, '0.9, 4': 510.0}","{'0.8, 2': 1184.0, '0.85, 3': 1165.0, '0.9, 4': 1105.0}","[16, 6, 1]","{'0.8, 2': 529.0, '0.85, 3': 530.0, '0.9, 4': 529.0}","{'0.8, 2': 1125.0, '0.85, 3': 1141.0, '0.9, 4': 1144.0}","[34, 44, 49]"
2,600,"{0.8: 573.0, 0.85: 572.0, 0.9: 573.0}","{0.8: 1291.0, 0.85: 1297.0, 0.9: 1313.0}","[15, 12, 9]","{0.8: 576.0, 0.85: 576.0, 0.9: 575.0}","{0.8: 1274.0, 0.85: 1273.0, 0.9: 1271.0}","[35, 38, 41]","{4: 574.0, 3: 581.0, 2: nan}","{4: 1287.0, 3: 1341.0, 2: nan}","[10, 3, 0]","{4: 575.0, 3: 574.0, 2: 575.0}","{4: 1277.0, 3: 1275.0, 2: 1279.0}","[40, 47, 50]","{'0.8, 2': 574.0, '0.85, 3': 581.0, '0.9, 4': nan}","{'0.8, 2': 1287.0, '0.85, 3': 1341.0, '0.9, 4': nan}","[10, 3, 0]","{'0.8, 2': 575.0, '0.85, 3': 574.0, '0.9, 4': 575.0}","{'0.8, 2': 1277.0, '0.85, 3': 1275.0, '0.9, 4': 1279.0}","[40, 47, 50]"
3,650,"{0.8: 621.0, 0.85: 622.0, 0.9: 614.0}","{0.8: 1466.0, 0.85: 1456.0, 0.9: 1423.0}","[9, 7, 4]","{0.8: 621.0, 0.85: 621.0, 0.9: 622.0}","{0.8: 1454.0, 0.85: 1456.0, 0.9: 1459.0}","[41, 43, 46]","{4: 618.0, 3: 617.0, 2: 605.0}","{4: 1454.0, 3: 1436.0, 2: 1338.0}","[8, 3, 1]","{4: 622.0, 3: 622.0, 2: 622.0}","{4: 1456.0, 3: 1457.0, 2: 1458.0}","[42, 47, 49]","{'0.8, 2': 621.0, '0.85, 3': 617.0, '0.9, 4': 605.0}","{'0.8, 2': 1466.0, '0.85, 3': 1436.0, '0.9, 4': 1338.0}","[6, 3, 1]","{'0.8, 2': 621.0, '0.85, 3': 622.0, '0.9, 4': 622.0}","{'0.8, 2': 1454.0, '0.85, 3': 1457.0, '0.9, 4': 1458.0}","[44, 47, 49]"
4,700,"{0.8: 682.0, 0.85: 691.0, 0.9: nan}","{0.8: 1637.0, 0.85: 1621.0, 0.9: nan}","[28, 8, 0]","{0.8: 671.0, 0.85: 675.0, 0.9: 677.0}","{0.8: 1631.0, 0.85: 1637.0, 0.9: 1635.0}","[22, 42, 50]","{4: 675.0, 3: 692.0, 2: nan}","{4: 1613.0, 3: 1621.0, 2: nan}","[25, 3, 0]","{4: 680.0, 3: 677.0, 2: 677.0}","{4: 1656.0, 3: 1636.0, 2: 1635.0}","[25, 47, 50]","{'0.8, 2': 678.0, '0.85, 3': 698.0, '0.9, 4': nan}","{'0.8, 2': 1605.0, '0.85, 3': 1636.0, '0.9, 4': nan}","[19, 2, 0]","{'0.8, 2': 677.0, '0.85, 3': 677.0, '0.9, 4': 677.0}","{'0.8, 2': 1653.0, '0.85, 3': 1635.0, '0.9, 4': 1635.0}","[31, 48, 50]"
5,750,"{0.8: 721.0, 0.85: 724.0, 0.9: 730.0}","{0.8: 1709.0, 0.85: 1704.0, 0.9: 1705.0}","[43, 35, 17]","{0.8: 714.0, 0.85: 711.0, 0.9: 715.0}","{0.8: 1686.0, 0.85: 1709.0, 0.9: 1706.0}","[7, 15, 33]","{4: 721.0, 3: 729.0, 2: 740.0}","{4: 1699.0, 3: 1724.0, 2: 1748.0}","[24, 7, 2]","{4: 719.0, 3: 719.0, 2: 720.0}","{4: 1712.0, 3: 1703.0, 2: 1704.0}","[26, 43, 48]","{'0.8, 2': 721.0, '0.85, 3': 729.0, '0.9, 4': 740.0}","{'0.8, 2': 1699.0, '0.85, 3': 1724.0, '0.9, 4': 1748.0}","[24, 7, 2]","{'0.8, 2': 719.0, '0.85, 3': 719.0, '0.9, 4': 720.0}","{'0.8, 2': 1712.0, '0.85, 3': 1703.0, '0.9, 4': 1704.0}","[26, 43, 48]"
6,800,"{0.8: 769.0, 0.85: 769.0, 0.9: 768.0}","{0.8: 1810.0, 0.85: 1809.0, 0.9: 1810.0}","[49, 47, 37]","{0.8: 784.0, 0.85: 776.0, 0.9: 774.0}","{0.8: 1885.0, 0.85: 1845.0, 0.9: 1814.0}","[1, 3, 13]","{4: 769.0, 3: 770.0, 2: 770.0}","{4: 1816.0, 3: 1815.0, 2: 1848.0}","[40, 10, 2]","{4: 774.0, 3: 770.0, 2: 770.0}","{4: 1791.0, 3: 1810.0, 2: 1810.0}","[10, 40, 48]","{'0.8, 2': 769.0, '0.85, 3': 770.0, '0.9, 4': 770.0}","{'0.8, 2': 1816.0, '0.85, 3': 1815.0, '0.9, 4': 1848.0}","[40, 10, 2]","{'0.8, 2': 774.0, '0.85, 3': 770.0, '0.9, 4': 770.0}","{'0.8, 2': 1791.0, '0.85, 3': 1810.0, '0.9, 4': 1810.0}","[10, 40, 48]"
7,850,"{0.8: 821.0, 0.85: 821.0, 0.9: 821.0}","{0.8: 1925.0, 0.85: 1925.0, 0.9: 1925.0}","[50, 50, 49]","{0.8: nan, 0.85: nan, 0.9: 804.0}","{0.8: nan, 0.85: nan, 0.9: 1929.0}","[0, 0, 1]","{4: 820.0, 3: 820.0, 2: 824.0}","{4: 1928.0, 3: 1940.0, 2: 1925.0}","[48, 26, 8]","{4: 834.0, 3: 822.0, 2: 820.0}","{4: 1860.0, 3: 1910.0, 2: 1925.0}","[2, 24, 42]","{'0.8, 2': 820.0, '0.85, 3': 820.0, '0.9, 4': 824.0}","{'0.8, 2': 1928.0, '0.85, 3': 1940.0, '0.9, 4': 1925.0}","[48, 26, 8]","{'0.8, 2': 834.0, '0.85, 3': 822.0, '0.9, 4': 820.0}","{'0.8, 2': 1860.0, '0.85, 3': 1910.0, '0.9, 4': 1925.0}","[2, 24, 42]"
8,900,"{0.8: 868.0, 0.85: 868.0, 0.9: 868.0}","{0.8: 1994.0, 0.85: 1994.0, 0.9: 1994.0}","[50, 50, 50]","{0.8: nan, 0.85: nan, 0.9: nan}","{0.8: nan, 0.85: nan, 0.9: nan}","[0, 0, 0]","{4: 867.0, 3: 869.0, 2: 868.0}","{4: 2006.0, 3: 2027.0, 2: 2045.0}","[37, 23, 7]","{4: 871.0, 3: 867.0, 2: 868.0}","{4: 1959.0, 3: 1966.0, 2: 1986.0}","[13, 27, 43]","{'0.8, 2': 867.0, '0.85, 3': 869.0, '0.9, 4': 868.0}","{'0.8, 2': 2006.0, '0.85, 3': 2027.0, '0.9, 4': 2045.0}","[37, 23, 7]","{'0.8, 2': 871.0, '0.85, 3': 867.0, '0.9, 4': 868.0}","{'0.8, 2': 1959.0, '0.85, 3': 1966.0, '0.9, 4': 1986.0}","[13, 27, 43]"
9,950,"{0.8: 916.0, 0.85: 916.0, 0.9: 916.0}","{0.8: 2077.0, 0.85: 2077.0, 0.9: 2077.0}","[50, 50, 50]","{0.8: nan, 0.85: nan, 0.9: nan}","{0.8: nan, 0.85: nan, 0.9: nan}","[0, 0, 0]","{4: 915.0, 3: 918.0, 2: 919.0}","{4: 2077.0, 3: 2091.0, 2: 2116.0}","[40, 17, 5]","{4: 918.0, 3: 915.0, 2: 916.0}","{4: 2078.0, 3: 2070.0, 2: 2073.0}","[10, 33, 45]","{'0.8, 2': 915.0, '0.85, 3': 918.0, '0.9, 4': 919.0}","{'0.8, 2': 2077.0, '0.85, 3': 2091.0, '0.9, 4': 2116.0}","[40, 17, 5]","{'0.8, 2': 918.0, '0.85, 3': 915.0, '0.9, 4': 916.0}","{'0.8, 2': 2078.0, '0.85, 3': 2070.0, '0.9, 4': 2073.0}","[10, 33, 45]"
