Budget,Best total cost,Best total points,Individual costs,Sorted individual costs,Id
500,500,1169,"[46, 43, 43, 44, 45, 52, 44, 45, 45, 46, 47]","[43, 43, 44, 44, 45, 45, 45, 46, 46, 47, 52]","[548, 367, 41, 127, 90, 132, 117, 171, 55, 468, 350]"
550,548,1401,"[55, 44, 50, 52, 52, 59, 45, 46, 49, 49, 47]","[44, 45, 46, 47, 49, 49, 50, 52, 52, 55, 59]","[302, 127, 250, 132, 414, 70, 171, 468, 443, 290, 350]"
600,599,1567,"[55, 44, 52, 52, 59, 106, 44, 45, 46, 49, 47]","[44, 44, 45, 46, 47, 49, 52, 52, 55, 59, 106]","[302, 127, 132, 414, 70, 234, 117, 171, 468, 443, 350]"
650,650,1722,"[55, 52, 52, 59, 61, 106, 45, 46, 58, 69, 47]","[45, 46, 47, 52, 52, 55, 58, 59, 61, 69, 106]","[302, 132, 414, 70, 342, 234, 171, 468, 381, 97, 350]"
700,699,1845,"[55, 52, 52, 59, 91, 106, 46, 58, 64, 69, 47]","[46, 47, 52, 52, 55, 58, 59, 64, 69, 91, 106]","[302, 132, 414, 70, 247, 234, 468, 381, 245, 97, 350]"
750,748,1932,"[88, 52, 59, 61, 91, 106, 46, 58, 69, 71, 47]","[46, 47, 52, 58, 59, 61, 69, 71, 88, 91, 106]","[209, 132, 70, 342, 247, 234, 468, 381, 97, 100, 350]"
800,792,2014,"[88, 52, 59, 87, 91, 106, 58, 64, 69, 71, 47]","[47, 52, 58, 59, 64, 69, 71, 87, 88, 91, 106]","[209, 132, 70, 199, 247, 234, 381, 245, 97, 100, 350]"
850,849,2084,"[88, 59, 87, 91, 97, 106, 58, 64, 69, 71, 59]","[58, 59, 59, 64, 69, 71, 87, 88, 91, 97, 106]","[209, 70, 199, 247, 387, 234, 381, 245, 97, 100, 260]"
900,893,2129,"[88, 87, 91, 97, 103, 106, 58, 64, 69, 71, 59]","[58, 59, 64, 69, 71, 87, 88, 91, 97, 103, 106]","[209, 199, 247, 387, 252, 234, 381, 245, 97, 100, 260]"
950,947,2166,"[131, 87, 91, 97, 103, 106, 64, 69, 69, 71, 59]","[59, 64, 69, 69, 71, 87, 91, 97, 103, 106, 131]","[394, 199, 247, 387, 252, 234, 245, 97, 267, 100, 260]"
1000,947,2166,"[131, 87, 91, 97, 103, 106, 64, 69, 69, 71, 59]","[59, 64, 69, 69, 71, 87, 91, 97, 103, 106, 131]","[394, 199, 247, 387, 252, 234, 245, 97, 267, 100, 260]"
