,Budget interval,"Best 50 (Normal,Diverse)","All (Normal,Diverse)"
0,450 to 500,"[48, 52]","[47, 53]"
1,500 to 550,"[0, 100]","[66, 34]"
2,550 to 600,"[82, 18]","[73, 27]"
3,600 to 650,"[100, 0]","[79, 21]"
4,650 to 700,"[98, 2]","[80, 20]"
5,700 to 750,"[12, 88]","[42, 58]"
6,750 to 800,"[2, 98]","[23, 77]"
7,800 to 850,"[0, 100]","[6, 94]"
8,850 to 900,"[0, 100]","[2, 98]"
9,900 to 950,"[0, 100]","[0, 100]"
10,950 to 1000,"[0, 0]","[0, 0]"
