,Budget interval,Best 50,Worst 50,All
0,450 to 500,"[52, 10, 38]","[38, 16, 46]","[57, 22, 21]"
1,500 to 550,"[96, 4, 0]","[98, 2, 0]","[77, 12, 11]"
2,550 to 600,"[98, 0, 2]","[96, 4, 0]","[87, 7, 6]"
3,600 to 650,"[100, 0, 0]","[86, 6, 8]","[88, 8, 5]"
4,650 to 700,"[100, 0, 0]","[40, 50, 10]","[86, 9, 5]"
5,700 to 750,"[100, 0, 0]","[86, 4, 10]","[90, 6, 4]"
6,750 to 800,"[100, 0, 0]","[98, 0, 2]","[99, 0, 1]"
7,800 to 850,"[100, 0, 0]","[92, 0, 8]","[99, 0, 1]"
8,850 to 900,"[94, 6, 0]","[100, 0, 0]","[97, 0, 3]"
9,900 to 950,"[92, 4, 4]","[98, 0, 2]","[93, 1, 6]"
10,950 to 1000,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
