,Budget interval,Best 50,Worst 50,All
0,450 to 500,"[58, 8, 34]","[78, 4, 18]","[62, 19, 19]"
1,500 to 550,"[96, 2, 2]","[100, 0, 0]","[79, 10, 11]"
2,550 to 600,"[92, 2, 6]","[98, 2, 0]","[85, 9, 7]"
3,600 to 650,"[100, 0, 0]","[100, 0, 0]","[87, 8, 5]"
4,650 to 700,"[100, 0, 0]","[70, 10, 20]","[83, 11, 5]"
5,700 to 750,"[100, 0, 0]","[26, 64, 10]","[78, 16, 6]"
6,750 to 800,"[100, 0, 0]","[100, 0, 0]","[90, 7, 3]"
7,800 to 850,"[100, 0, 0]","[100, 0, 0]","[100, 0, 0]"
8,850 to 900,"[100, 0, 0]","[100, 0, 0]","[100, 0, 0]"
9,900 to 950,"[100, 0, 0]","[100, 0, 0]","[100, 0, 0]"
10,950 to 1000,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
