,Budget interval,"Best 50 (Normal,Diverse)","All (Normal,Diverse)"
0,450 to 500,"[82, 18]","[90, 10]"
1,500 to 550,"[82, 18]","[91, 9]"
2,550 to 600,"[92, 8]","[84, 16]"
3,600 to 650,"[100, 0]","[87, 13]"
4,650 to 700,"[100, 0]","[96, 4]"
5,700 to 750,"[92, 8]","[82, 18]"
6,750 to 800,"[94, 6]","[63, 37]"
7,800 to 850,"[58, 42]","[54, 46]"
8,850 to 900,"[56, 44]","[58, 42]"
9,900 to 950,"[56, 44]","[56, 44]"
10,950 to 1000,"[0, 0]","[0, 0]"
