,Budget,Linear mean cost,Linear mean points,n linear,Non linear cost,Non linear points,Non linear n,Div mean cost,Div mean points,n div,Non div cost,Non div points,Non div n,Both mean cost,Both mean points,n both,Non both cost,Non both points,Non both n
0,500,"{0.8: 488.0, 0.85: 487.0, 0.9: 487.0}","{0.8: 874.0, 0.85: 874.0, 0.9: 870.0}","[43, 37, 30]","{0.8: 490.0, 0.85: 491.0, 0.9: 491.0}","{0.8: 857.0, 0.85: 862.0, 0.9: 872.0}","[7, 13, 20]","{4: 490.0, 3: 490.0, 2: 493.0}","{4: 905.0, 3: 924.0, 2: 917.0}","[35, 15, 1]","{4: 485.0, 3: 488.0, 2: 488.0}","{4: 793.0, 3: 849.0, 2: 870.0}","[15, 35, 49]","{'0.8, 2': 490.0, '0.85, 3': 490.0, '0.9, 4': 493.0}","{'0.8, 2': 910.0, '0.85, 3': 924.0, '0.9, 4': 917.0}","[34, 15, 1]","{'0.8, 2': 485.0, '0.85, 3': 488.0, '0.9, 4': 488.0}","{'0.8, 2': 788.0, '0.85, 3': 849.0, '0.9, 4': 870.0}","[16, 35, 49]"
1,550,"{0.8: 523.0, 0.85: 522.0, 0.9: 523.0}","{0.8: 1102.0, 0.85: 1100.0, 0.9: 1105.0}","[28, 26, 18]","{0.8: 534.0, 0.85: 534.0, 0.9: 531.0}","{0.8: 1086.0, 0.85: 1090.0, 0.9: 1090.0}","[22, 24, 32]","{4: 524.0, 3: 522.0, 2: nan}","{4: 1094.0, 3: 1098.0, 2: nan}","[21, 5, 0]","{4: 531.0, 3: 529.0, 2: 528.0}","{4: 1096.0, 3: 1095.0, 2: 1095.0}","[29, 45, 50]","{'0.8, 2': 524.0, '0.85, 3': 522.0, '0.9, 4': nan}","{'0.8, 2': 1094.0, '0.85, 3': 1098.0, '0.9, 4': nan}","[21, 5, 0]","{'0.8, 2': 531.0, '0.85, 3': 529.0, '0.9, 4': 528.0}","{'0.8, 2': 1096.0, '0.85, 3': 1095.0, '0.9, 4': 1095.0}","[29, 45, 50]"
2,600,"{0.8: 566.0, 0.85: 568.0, 0.9: 570.0}","{0.8: 1282.0, 0.85: 1276.0, 0.9: 1332.0}","[18, 13, 7]","{0.8: 572.0, 0.85: 571.0, 0.9: 570.0}","{0.8: 1229.0, 0.85: 1238.0, 0.9: 1235.0}","[32, 37, 43]","{4: 575.0, 3: 575.0, 2: 572.0}","{4: 1312.0, 3: 1308.0, 2: 1340.0}","[14, 5, 2]","{4: 568.0, 3: 569.0, 2: 570.0}","{4: 1223.0, 3: 1241.0, 2: 1244.0}","[36, 45, 48]","{'0.8, 2': 569.0, '0.85, 3': 575.0, '0.9, 4': 572.0}","{'0.8, 2': 1312.0, '0.85, 3': 1308.0, '0.9, 4': 1340.0}","[11, 5, 2]","{'0.8, 2': 570.0, '0.85, 3': 569.0, '0.9, 4': 570.0}","{'0.8, 2': 1230.0, '0.85, 3': 1241.0, '0.9, 4': 1244.0}","[39, 45, 48]"
3,650,"{0.8: 625.0, 0.85: 626.0, 0.9: 603.0}","{0.8: 1411.0, 0.85: 1402.0, 0.9: 1363.0}","[9, 8, 1]","{0.8: 623.0, 0.85: 623.0, 0.9: 624.0}","{0.8: 1442.0, 0.85: 1443.0, 0.9: 1438.0}","[41, 42, 49]","{4: 619.0, 3: 633.0, 2: nan}","{4: 1412.0, 3: 1436.0, 2: nan}","[10, 2, 0]","{4: 625.0, 3: 623.0, 2: 623.0}","{4: 1443.0, 3: 1437.0, 2: 1437.0}","[40, 48, 50]","{'0.8, 2': 622.0, '0.85, 3': 633.0, '0.9, 4': nan}","{'0.8, 2': 1409.0, '0.85, 3': 1436.0, '0.9, 4': nan}","[8, 2, 0]","{'0.8, 2': 624.0, '0.85, 3': 623.0, '0.9, 4': 623.0}","{'0.8, 2': 1442.0, '0.85, 3': 1437.0, '0.9, 4': 1437.0}","[42, 48, 50]"
4,700,"{0.8: 681.0, 0.85: 687.0, 0.9: 693.0}","{0.8: 1540.0, 0.85: 1507.0, 0.9: 1669.0}","[20, 8, 1]","{0.8: 671.0, 0.85: 673.0, 0.9: 675.0}","{0.8: 1525.0, 0.85: 1535.0, 0.9: 1528.0}","[30, 42, 49]","{4: 678.0, 3: 692.0, 2: nan}","{4: 1549.0, 3: 1654.0, 2: nan}","[20, 3, 0]","{4: 673.0, 3: 674.0, 2: 675.0}","{4: 1519.0, 3: 1523.0, 2: 1531.0}","[30, 47, 50]","{'0.8, 2': 679.0, '0.85, 3': 692.0, '0.9, 4': nan}","{'0.8, 2': 1539.0, '0.85, 3': 1654.0, '0.9, 4': nan}","[17, 3, 0]","{'0.8, 2': 673.0, '0.85, 3': 674.0, '0.9, 4': 675.0}","{'0.8, 2': 1527.0, '0.85, 3': 1523.0, '0.9, 4': 1531.0}","[33, 47, 50]"
5,750,"{0.8: 724.0, 0.85: 722.0, 0.9: 730.0}","{0.8: 1696.0, 0.85: 1678.0, 0.9: 1706.0}","[42, 32, 13]","{0.8: 719.0, 0.85: 724.0, 0.9: 720.0}","{0.8: 1674.0, 0.85: 1718.0, 0.9: 1688.0}","[8, 18, 37]","{4: 725.0, 3: 732.0, 2: 742.0}","{4: 1705.0, 3: 1713.0, 2: 1726.0}","[28, 10, 2]","{4: 720.0, 3: 721.0, 2: 722.0}","{4: 1677.0, 3: 1688.0, 2: 1691.0}","[22, 40, 48]","{'0.8, 2': 725.0, '0.85, 3': 732.0, '0.9, 4': 742.0}","{'0.8, 2': 1705.0, '0.85, 3': 1713.0, '0.9, 4': 1726.0}","[27, 10, 2]","{'0.8, 2': 721.0, '0.85, 3': 721.0, '0.9, 4': 722.0}","{'0.8, 2': 1678.0, '0.85, 3': 1688.0, '0.9, 4': 1691.0}","[23, 40, 48]"
6,800,"{0.8: 772.0, 0.85: 775.0, 0.9: 774.0}","{0.8: 1773.0, 0.85: 1777.0, 0.9: 1787.0}","[49, 42, 32]","{0.8: 756.0, 0.85: 757.0, 0.9: 769.0}","{0.8: 1751.0, 0.85: 1747.0, 0.9: 1746.0}","[1, 8, 18]","{4: 771.0, 3: 780.0, 2: 797.0}","{4: 1780.0, 3: 1814.0, 2: 1812.0}","[37, 13, 3]","{4: 774.0, 3: 769.0, 2: 770.0}","{4: 1750.0, 3: 1758.0, 2: 1770.0}","[13, 37, 47]","{'0.8, 2': 772.0, '0.85, 3': 780.0, '0.9, 4': 797.0}","{'0.8, 2': 1781.0, '0.85, 3': 1814.0, '0.9, 4': 1812.0}","[36, 13, 3]","{'0.8, 2': 773.0, '0.85, 3': 769.0, '0.9, 4': 770.0}","{'0.8, 2': 1750.0, '0.85, 3': 1758.0, '0.9, 4': 1770.0}","[14, 37, 47]"
7,850,"{0.8: 821.0, 0.85: 821.0, 0.9: 822.0}","{0.8: 1884.0, 0.85: 1879.0, 0.9: 1880.0}","[50, 47, 44]","{0.8: nan, 0.85: 824.0, 0.9: 814.0}","{0.8: nan, 0.85: 1964.0, 0.9: 1916.0}","[0, 3, 6]","{4: 821.0, 3: 820.0, 2: 823.0}","{4: 1897.0, 3: 1896.0, 2: 1928.0}","[37, 15, 2]","{4: 822.0, 3: 822.0, 2: 821.0}","{4: 1848.0, 3: 1879.0, 2: 1882.0}","[13, 35, 48]","{'0.8, 2': 821.0, '0.85, 3': 820.0, '0.9, 4': 823.0}","{'0.8, 2': 1897.0, '0.85, 3': 1896.0, '0.9, 4': 1928.0}","[37, 15, 2]","{'0.8, 2': 822.0, '0.85, 3': 822.0, '0.9, 4': 821.0}","{'0.8, 2': 1848.0, '0.85, 3': 1879.0, '0.9, 4': 1882.0}","[13, 35, 48]"
8,900,"{0.8: 872.0, 0.85: 872.0, 0.9: 872.0}","{0.8: 1970.0, 0.85: 1970.0, 0.9: 1975.0}","[50, 50, 48]","{0.8: nan, 0.85: nan, 0.9: 870.0}","{0.8: nan, 0.85: nan, 0.9: 1830.0}","[0, 0, 2]","{4: 870.0, 3: 871.0, 2: 872.0}","{4: 1970.0, 3: 1974.0, 2: 1933.0}","[39, 26, 5]","{4: 876.0, 3: 872.0, 2: 872.0}","{4: 1969.0, 3: 1964.0, 2: 1974.0}","[11, 24, 45]","{'0.8, 2': 870.0, '0.85, 3': 871.0, '0.9, 4': 872.0}","{'0.8, 2': 1970.0, '0.85, 3': 1974.0, '0.9, 4': 1933.0}","[39, 26, 5]","{'0.8, 2': 876.0, '0.85, 3': 872.0, '0.9, 4': 872.0}","{'0.8, 2': 1969.0, '0.85, 3': 1964.0, '0.9, 4': 1974.0}","[11, 24, 45]"
9,950,"{0.8: 913.0, 0.85: 913.0, 0.9: 913.0}","{0.8: 2046.0, 0.85: 2046.0, 0.9: 2045.0}","[50, 50, 49]","{0.8: nan, 0.85: nan, 0.9: 906.0}","{0.8: nan, 0.85: nan, 0.9: 2084.0}","[0, 0, 1]","{4: 913.0, 3: 916.0, 2: 902.0}","{4: 2046.0, 3: 2059.0, 2: 2076.0}","[46, 20, 2]","{4: 912.0, 3: 911.0, 2: 914.0}","{4: 2044.0, 3: 2037.0, 2: 2044.0}","[4, 30, 48]","{'0.8, 2': 913.0, '0.85, 3': 916.0, '0.9, 4': 902.0}","{'0.8, 2': 2046.0, '0.85, 3': 2059.0, '0.9, 4': 2076.0}","[46, 20, 2]","{'0.8, 2': 912.0, '0.85, 3': 911.0, '0.9, 4': 914.0}","{'0.8, 2': 2044.0, '0.85, 3': 2037.0, '0.9, 4': 2044.0}","[4, 30, 48]"
