,Budget interval,Best 50,Worst 50,All
0,450 to 500,"[42, 22, 36]","[66, 10, 24]","[62, 20, 18]"
1,500 to 550,"[98, 0, 2]","[100, 0, 0]","[77, 12, 11]"
2,550 to 600,"[100, 0, 0]","[96, 2, 2]","[86, 8, 6]"
3,600 to 650,"[100, 0, 0]","[84, 6, 10]","[86, 10, 5]"
4,650 to 700,"[100, 0, 0]","[32, 52, 16]","[84, 11, 5]"
5,700 to 750,"[100, 0, 0]","[100, 0, 0]","[90, 6, 4]"
6,750 to 800,"[100, 0, 0]","[100, 0, 0]","[100, 0, 0]"
7,800 to 850,"[100, 0, 0]","[100, 0, 0]","[100, 0, 0]"
8,850 to 900,"[100, 0, 0]","[100, 0, 0]","[100, 0, 0]"
9,900 to 950,"[100, 0, 0]","[100, 0, 0]","[100, 0, 0]"
10,950 to 1000,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
