,Budget interval,Best 50,Worst 50,All
0,450 to 500,"[50, 20, 30]","[8, 48, 44]","[50, 25, 25]"
1,500 to 550,"[86, 2, 12]","[94, 0, 6]","[74, 13, 13]"
2,550 to 600,"[78, 0, 22]","[100, 0, 0]","[86, 8, 7]"
3,600 to 650,"[100, 0, 0]","[98, 2, 0]","[87, 7, 5]"
4,650 to 700,"[100, 0, 0]","[62, 32, 6]","[86, 8, 6]"
5,700 to 750,"[100, 0, 0]","[84, 14, 2]","[89, 7, 5]"
6,750 to 800,"[100, 0, 0]","[100, 0, 0]","[98, 1, 2]"
7,800 to 850,"[100, 0, 0]","[100, 0, 0]","[97, 1, 2]"
8,850 to 900,"[98, 2, 0]","[96, 0, 4]","[94, 1, 5]"
9,900 to 950,"[90, 6, 4]","[100, 0, 0]","[93, 3, 4]"
10,950 to 1000,"[83, 7, 10]","[83, 7, 10]","[83, 7, 10]"
