,Budget,Linear mean cost,Linear mean points,n linear,Non linear cost,Non linear points,Non linear n,Div mean cost,Div mean points,n div,Non div cost,Non div points,Non div n,Both mean cost,Both mean points,n both,Non both cost,Non both points,Non both n
0,500,"{0.8: 488.0, 0.85: 488.0, 0.9: 486.0}","{0.8: 865.0, 0.85: 856.0, 0.9: 857.0}","[43, 36, 21]","{0.8: 492.0, 0.85: 491.0, 0.9: 490.0}","{0.8: 869.0, 0.85: 888.0, 0.9: 871.0}","[7, 14, 29]","{4: 488.0, 3: 491.0, 2: 491.0}","{4: 881.0, 3: 912.0, 2: 987.0}","[35, 14, 4]","{4: 489.0, 3: 488.0, 2: 488.0}","{4: 828.0, 3: 847.0, 2: 855.0}","[15, 36, 46]","{'0.8, 2': 488.0, '0.85, 3': 491.0, '0.9, 4': 491.0}","{'0.8, 2': 881.0, '0.85, 3': 912.0, '0.9, 4': 987.0}","[35, 14, 4]","{'0.8, 2': 489.0, '0.85, 3': 488.0, '0.9, 4': 488.0}","{'0.8, 2': 828.0, '0.85, 3': 847.0, '0.9, 4': 855.0}","[15, 36, 46]"
1,550,"{0.8: 529.0, 0.85: 528.0, 0.9: 528.0}","{0.8: 1145.0, 0.85: 1149.0, 0.9: 1145.0}","[23, 18, 14]","{0.8: 532.0, 0.85: 532.0, 0.9: 531.0}","{0.8: 1030.0, 0.85: 1046.0, 0.9: 1059.0}","[27, 32, 36]","{4: 527.0, 3: 527.0, 2: nan}","{4: 1136.0, 3: 1132.0, 2: nan}","[15, 4, 0]","{4: 532.0, 3: 531.0, 2: 530.0}","{4: 1061.0, 3: 1079.0, 2: 1083.0}","[35, 46, 50]","{'0.8, 2': 527.0, '0.85, 3': 527.0, '0.9, 4': nan}","{'0.8, 2': 1136.0, '0.85, 3': 1132.0, '0.9, 4': nan}","[15, 4, 0]","{'0.8, 2': 532.0, '0.85, 3': 531.0, '0.9, 4': 530.0}","{'0.8, 2': 1061.0, '0.85, 3': 1079.0, '0.9, 4': 1083.0}","[35, 46, 50]"
2,600,"{0.8: 580.0, 0.85: 580.0, 0.9: 584.0}","{0.8: 1295.0, 0.85: 1285.0, 0.9: 1326.0}","[15, 10, 6]","{0.8: 577.0, 0.85: 577.0, 0.9: 577.0}","{0.8: 1256.0, 0.85: 1263.0, 0.9: 1260.0}","[35, 40, 44]","{4: 584.0, 3: 586.0, 2: 586.0}","{4: 1256.0, 3: 1362.0, 2: 1335.0}","[13, 3, 1]","{4: 576.0, 3: 577.0, 2: 578.0}","{4: 1272.0, 3: 1262.0, 2: 1266.0}","[37, 47, 49]","{'0.8, 2': 583.0, '0.85, 3': 586.0, '0.9, 4': 586.0}","{'0.8, 2': 1277.0, '0.85, 3': 1362.0, '0.9, 4': 1335.0}","[11, 3, 1]","{'0.8, 2': 577.0, '0.85, 3': 577.0, '0.9, 4': 578.0}","{'0.8, 2': 1265.0, '0.85, 3': 1262.0, '0.9, 4': 1266.0}","[39, 47, 49]"
3,650,"{0.8: 630.0, 0.85: 633.0, 0.9: 627.0}","{0.8: 1405.0, 0.85: 1422.0, 0.9: 1425.0}","[13, 7, 3]","{0.8: 628.0, 0.85: 627.0, 0.9: 628.0}","{0.8: 1414.0, 0.85: 1410.0, 0.9: 1411.0}","[37, 43, 47]","{4: 627.0, 3: 633.0, 2: 604.0}","{4: 1410.0, 3: 1411.0, 2: 1409.0}","[15, 5, 1]","{4: 629.0, 3: 628.0, 2: 629.0}","{4: 1412.0, 3: 1412.0, 2: 1412.0}","[35, 45, 49]","{'0.8, 2': 628.0, '0.85, 3': 633.0, '0.9, 4': 604.0}","{'0.8, 2': 1410.0, '0.85, 3': 1411.0, '0.9, 4': 1409.0}","[12, 5, 1]","{'0.8, 2': 628.0, '0.85, 3': 628.0, '0.9, 4': 629.0}","{'0.8, 2': 1412.0, '0.85, 3': 1412.0, '0.9, 4': 1412.0}","[38, 45, 49]"
4,700,"{0.8: 674.0, 0.85: 676.0, 0.9: 674.0}","{0.8: 1533.0, 0.85: 1530.0, 0.9: 1566.0}","[24, 6, 2]","{0.8: 672.0, 0.85: 673.0, 0.9: 673.0}","{0.8: 1534.0, 0.85: 1534.0, 0.9: 1532.0}","[26, 44, 48]","{4: 672.0, 3: 681.0, 2: 688.0}","{4: 1552.0, 3: 1596.0, 2: 1600.0}","[23, 6, 1]","{4: 674.0, 3: 672.0, 2: 673.0}","{4: 1518.0, 3: 1525.0, 2: 1532.0}","[27, 44, 49]","{'0.8, 2': 674.0, '0.85, 3': 682.0, '0.9, 4': 688.0}","{'0.8, 2': 1551.0, '0.85, 3': 1577.0, '0.9, 4': 1600.0}","[18, 4, 1]","{'0.8, 2': 673.0, '0.85, 3': 672.0, '0.9, 4': 673.0}","{'0.8, 2': 1524.0, '0.85, 3': 1530.0, '0.9, 4': 1532.0}","[32, 46, 49]"
5,750,"{0.8: 724.0, 0.85: 724.0, 0.9: 727.0}","{0.8: 1662.0, 0.85: 1677.0, 0.9: 1671.0}","[36, 31, 14]","{0.8: 717.0, 0.85: 718.0, 0.9: 720.0}","{0.8: 1657.0, 0.85: 1634.0, 0.9: 1656.0}","[14, 19, 36]","{4: 723.0, 3: 720.0, 2: nan}","{4: 1683.0, 3: 1670.0, 2: nan}","[26, 10, 0]","{4: 721.0, 3: 722.0, 2: 722.0}","{4: 1636.0, 3: 1658.0, 2: 1661.0}","[24, 40, 50]","{'0.8, 2': 723.0, '0.85, 3': 720.0, '0.9, 4': nan}","{'0.8, 2': 1674.0, '0.85, 3': 1670.0, '0.9, 4': nan}","[24, 10, 0]","{'0.8, 2': 721.0, '0.85, 3': 722.0, '0.9, 4': 722.0}","{'0.8, 2': 1648.0, '0.85, 3': 1658.0, '0.9, 4': 1661.0}","[26, 40, 50]"
6,800,"{0.8: 771.0, 0.85: 772.0, 0.9: 776.0}","{0.8: 1788.0, 0.85: 1795.0, 0.9: 1816.0}","[49, 40, 25]","{0.8: 762.0, 0.85: 764.0, 0.9: 765.0}","{0.8: 1766.0, 0.85: 1754.0, 0.9: 1759.0}","[1, 10, 25]","{4: 772.0, 3: 776.0, 2: 779.0}","{4: 1796.0, 3: 1803.0, 2: 1841.0}","[37, 12, 3]","{4: 768.0, 3: 769.0, 2: 770.0}","{4: 1763.0, 3: 1782.0, 2: 1784.0}","[13, 38, 47]","{'0.8, 2': 772.0, '0.85, 3': 776.0, '0.9, 4': 779.0}","{'0.8, 2': 1796.0, '0.85, 3': 1803.0, '0.9, 4': 1841.0}","[37, 12, 3]","{'0.8, 2': 768.0, '0.85, 3': 769.0, '0.9, 4': 770.0}","{'0.8, 2': 1763.0, '0.85, 3': 1782.0, '0.9, 4': 1784.0}","[13, 38, 47]"
7,850,"{0.8: 822.0, 0.85: 822.0, 0.9: 822.0}","{0.8: 1889.0, 0.85: 1887.0, 0.9: 1880.0}","[50, 49, 35]","{0.8: nan, 0.85: 827.0, 0.9: 822.0}","{0.8: nan, 0.85: 1970.0, 0.9: 1909.0}","[0, 1, 15]","{4: 821.0, 3: 820.0, 2: 812.0}","{4: 1892.0, 3: 1895.0, 2: 1921.0}","[40, 15, 2]","{4: 826.0, 3: 823.0, 2: 822.0}","{4: 1875.0, 3: 1886.0, 2: 1888.0}","[10, 35, 48]","{'0.8, 2': 821.0, '0.85, 3': 820.0, '0.9, 4': 812.0}","{'0.8, 2': 1892.0, '0.85, 3': 1895.0, '0.9, 4': 1921.0}","[40, 15, 2]","{'0.8, 2': 826.0, '0.85, 3': 823.0, '0.9, 4': 822.0}","{'0.8, 2': 1875.0, '0.85, 3': 1886.0, '0.9, 4': 1888.0}","[10, 35, 48]"
8,900,"{0.8: 867.0, 0.85: 867.0, 0.9: 867.0}","{0.8: 1973.0, 0.85: 1973.0, 0.9: 1973.0}","[50, 50, 49]","{0.8: nan, 0.85: nan, 0.9: 859.0}","{0.8: nan, 0.85: nan, 0.9: 1979.0}","[0, 0, 1]","{4: 867.0, 3: 871.0, 2: 872.0}","{4: 1973.0, 3: 1977.0, 2: 1966.0}","[49, 28, 5]","{4: 861.0, 3: 862.0, 2: 866.0}","{4: 1977.0, 3: 1967.0, 2: 1974.0}","[1, 22, 45]","{'0.8, 2': 867.0, '0.85, 3': 871.0, '0.9, 4': 872.0}","{'0.8, 2': 1973.0, '0.85, 3': 1977.0, '0.9, 4': 1966.0}","[49, 28, 5]","{'0.8, 2': 861.0, '0.85, 3': 862.0, '0.9, 4': 866.0}","{'0.8, 2': 1977.0, '0.85, 3': 1967.0, '0.9, 4': 1974.0}","[1, 22, 45]"
9,950,"{0.8: 912.0, 0.85: 912.0, 0.9: 911.0}","{0.8: 2063.0, 0.85: 2063.0, 0.9: 2063.0}","[50, 50, 49]","{0.8: nan, 0.85: nan, 0.9: 923.0}","{0.8: nan, 0.85: nan, 0.9: 2082.0}","[0, 0, 1]","{4: 911.0, 3: 909.0, 2: 904.0}","{4: 2066.0, 3: 2065.0, 2: 2051.0}","[47, 28, 4]","{4: 917.0, 3: 915.0, 2: 912.0}","{4: 2022.0, 3: 2061.0, 2: 2064.0}","[3, 22, 46]","{'0.8, 2': 911.0, '0.85, 3': 909.0, '0.9, 4': 904.0}","{'0.8, 2': 2066.0, '0.85, 3': 2065.0, '0.9, 4': 2051.0}","[47, 28, 4]","{'0.8, 2': 917.0, '0.85, 3': 915.0, '0.9, 4': 912.0}","{'0.8, 2': 2022.0, '0.85, 3': 2061.0, '0.9, 4': 2064.0}","[3, 22, 46]"
