,Budget interval,"Best 50 (Normal,Diverse)","All (Normal,Diverse)"
0,450 to 500,"[62, 38]","[72, 28]"
1,500 to 550,"[66, 34]","[82, 18]"
2,550 to 600,"[94, 6]","[89, 11]"
3,600 to 650,"[100, 0]","[96, 4]"
4,650 to 700,"[100, 0]","[95, 5]"
5,700 to 750,"[100, 0]","[83, 17]"
6,750 to 800,"[58, 42]","[72, 28]"
7,800 to 850,"[34, 66]","[66, 34]"
8,850 to 900,"[50, 50]","[62, 38]"
9,900 to 950,"[62, 38]","[57, 43]"
10,950 to 1000,"[71, 29]","[71, 29]"
