,Budget interval,"Best 50 (Normal,Diverse)","All (Normal,Diverse)"
0,450 to 500,"[32, 68]","[27, 73]"
1,500 to 550,"[0, 100]","[56, 44]"
2,550 to 600,"[80, 20]","[74, 26]"
3,600 to 650,"[100, 0]","[84, 16]"
4,650 to 700,"[100, 0]","[77, 23]"
5,700 to 750,"[2, 98]","[41, 59]"
6,750 to 800,"[0, 100]","[21, 79]"
7,800 to 850,"[18, 82]","[3, 97]"
8,850 to 900,"[0, 100]","[0, 100]"
9,900 to 950,"[0, 100]","[0, 100]"
10,950 to 1000,"[0, 0]","[0, 0]"
