Budget,Best total cost,Best total points,Individual costs,Sorted individual costs,Id
500,499,1170,"[46, 43, 44, 45, 52, 41, 44, 45, 46, 46, 47]","[41, 43, 44, 44, 45, 45, 46, 46, 46, 47, 52]","[548, 367, 127, 90, 132, 220, 117, 171, 468, 164, 350]"
550,550,1402,"[55, 50, 52, 52, 59, 45, 46, 46, 49, 49, 47]","[45, 46, 46, 47, 49, 49, 50, 52, 52, 55, 59]","[302, 250, 132, 414, 70, 171, 468, 164, 443, 290, 350]"
600,600,1563,"[55, 52, 52, 59, 106, 44, 45, 45, 46, 49, 47]","[44, 45, 45, 46, 47, 49, 52, 52, 55, 59, 106]","[302, 132, 414, 70, 234, 117, 171, 55, 468, 443, 350]"
650,650,1708,"[55, 52, 52, 59, 106, 46, 49, 57, 58, 69, 47]","[46, 47, 49, 52, 52, 55, 57, 58, 59, 69, 106]","[302, 132, 414, 70, 234, 468, 443, 10, 381, 97, 350]"
700,699,1829,"[55, 52, 59, 91, 106, 49, 49, 58, 64, 69, 47]","[47, 49, 49, 52, 55, 58, 59, 64, 69, 91, 106]","[302, 132, 70, 247, 234, 443, 290, 381, 245, 97, 350]"
750,750,1926,"[88, 52, 59, 91, 106, 45, 58, 64, 69, 71, 47]","[45, 47, 52, 58, 59, 64, 69, 71, 88, 91, 106]","[209, 132, 70, 247, 234, 171, 381, 245, 97, 100, 350]"
800,799,2002,"[88, 59, 87, 91, 106, 58, 59, 64, 69, 71, 47]","[47, 58, 59, 59, 64, 69, 71, 87, 88, 91, 106]","[209, 70, 199, 247, 234, 381, 7, 245, 97, 100, 350]"
850,845,2053,"[88, 87, 91, 103, 106, 58, 61, 64, 69, 71, 47]","[47, 58, 61, 64, 69, 71, 87, 88, 91, 103, 106]","[209, 199, 247, 252, 234, 381, 380, 245, 97, 100, 350]"
900,900,2102,"[131, 87, 91, 103, 106, 58, 61, 64, 69, 71, 59]","[58, 59, 61, 64, 69, 71, 87, 91, 103, 106, 131]","[394, 199, 247, 252, 234, 381, 380, 245, 97, 100, 260]"
950,918,2114,"[131, 91, 97, 103, 106, 58, 64, 69, 69, 71, 59]","[58, 59, 64, 69, 69, 71, 91, 97, 103, 106, 131]","[394, 247, 387, 252, 234, 381, 245, 97, 267, 100, 260]"
1000,918,2114,"[131, 91, 97, 103, 106, 58, 64, 69, 69, 71, 59]","[58, 59, 64, 69, 69, 71, 91, 97, 103, 106, 131]","[394, 247, 387, 252, 234, 381, 245, 97, 267, 100, 260]"
