,Budget,Linear mean cost,Linear mean points,n linear,Non linear cost,Non linear points,Non linear n,Div mean cost,Div mean points,n div,Non div cost,Non div points,Non div n,Both mean cost,Both mean points,n both,Non both cost,Non both points,Non both n
0,500,"{0.8: 485.0, 0.85: 486.0, 0.9: 486.0}","{0.8: 885.0, 0.85: 889.0, 0.9: 899.0}","[35, 30, 20]","{0.8: 488.0, 0.85: 487.0, 0.9: 486.0}","{0.8: 903.0, 0.85: 892.0, 0.9: 884.0}","[15, 20, 30]","{4: 487.0, 3: 486.0, 2: 493.0}","{4: 899.0, 3: 899.0, 2: 935.0}","[26, 8, 1]","{4: 486.0, 3: 486.0, 2: 486.0}","{4: 881.0, 3: 889.0, 2: 889.0}","[24, 42, 49]","{'0.8, 2': 486.0, '0.85, 3': 486.0, '0.9, 4': 493.0}","{'0.8, 2': 890.0, '0.85, 3': 899.0, '0.9, 4': 935.0}","[22, 8, 1]","{'0.8, 2': 487.0, '0.85, 3': 486.0, '0.9, 4': 486.0}","{'0.8, 2': 891.0, '0.85, 3': 889.0, '0.9, 4': 889.0}","[28, 42, 49]"
1,550,"{0.8: 525.0, 0.85: 527.0, 0.9: 528.0}","{0.8: 1177.0, 0.85: 1177.0, 0.9: 1178.0}","[27, 22, 16]","{0.8: 533.0, 0.85: 530.0, 0.9: 529.0}","{0.8: 1134.0, 0.85: 1141.0, 0.9: 1147.0}","[23, 28, 34]","{4: 525.0, 3: 532.0, 2: 519.0}","{4: 1172.0, 3: 1185.0, 2: 1157.0}","[23, 6, 1]","{4: 532.0, 3: 528.0, 2: 529.0}","{4: 1144.0, 3: 1153.0, 2: 1157.0}","[27, 44, 49]","{'0.8, 2': 525.0, '0.85, 3': 532.0, '0.9, 4': 519.0}","{'0.8, 2': 1176.0, '0.85, 3': 1185.0, '0.9, 4': 1157.0}","[22, 6, 1]","{'0.8, 2': 532.0, '0.85, 3': 528.0, '0.9, 4': 529.0}","{'0.8, 2': 1142.0, '0.85, 3': 1153.0, '0.9, 4': 1157.0}","[28, 44, 49]"
2,600,"{0.8: 575.0, 0.85: 576.0, 0.9: 579.0}","{0.8: 1320.0, 0.85: 1328.0, 0.9: 1326.0}","[18, 15, 10]","{0.8: 574.0, 0.85: 573.0, 0.9: 573.0}","{0.8: 1281.0, 0.85: 1281.0, 0.9: 1288.0}","[32, 35, 40]","{4: 575.0, 3: 580.0, 2: nan}","{4: 1309.0, 3: 1320.0, 2: nan}","[16, 8, 0]","{4: 574.0, 3: 573.0, 2: 574.0}","{4: 1289.0, 3: 1291.0, 2: 1295.0}","[34, 42, 50]","{'0.8, 2': 576.0, '0.85, 3': 580.0, '0.9, 4': nan}","{'0.8, 2': 1315.0, '0.85, 3': 1320.0, '0.9, 4': nan}","[15, 8, 0]","{'0.8, 2': 573.0, '0.85, 3': 573.0, '0.9, 4': 574.0}","{'0.8, 2': 1287.0, '0.85, 3': 1291.0, '0.9, 4': 1295.0}","[35, 42, 50]"
3,650,"{0.8: 629.0, 0.85: 625.0, 0.9: 624.0}","{0.8: 1469.0, 0.85: 1472.0, 0.9: 1475.0}","[16, 10, 4]","{0.8: 625.0, 0.85: 627.0, 0.9: 626.0}","{0.8: 1426.0, 0.85: 1432.0, 0.9: 1437.0}","[34, 40, 46]","{4: 628.0, 3: 623.0, 2: 620.0}","{4: 1466.0, 3: 1481.0, 2: 1496.0}","[14, 5, 2]","{4: 625.0, 3: 627.0, 2: 627.0}","{4: 1430.0, 3: 1436.0, 2: 1438.0}","[36, 45, 48]","{'0.8, 2': 627.0, '0.85, 3': 623.0, '0.9, 4': 620.0}","{'0.8, 2': 1458.0, '0.85, 3': 1481.0, '0.9, 4': 1496.0}","[13, 5, 2]","{'0.8, 2': 626.0, '0.85, 3': 627.0, '0.9, 4': 627.0}","{'0.8, 2': 1434.0, '0.85, 3': 1436.0, '0.9, 4': 1438.0}","[37, 45, 48]"
4,700,"{0.8: 679.0, 0.85: 673.0, 0.9: nan}","{0.8: 1593.0, 0.85: 1560.0, 0.9: nan}","[25, 9, 0]","{0.8: 668.0, 0.85: 674.0, 0.9: 674.0}","{0.8: 1596.0, 0.85: 1602.0, 0.9: 1594.0}","[25, 41, 50]","{4: 675.0, 3: 667.0, 2: nan}","{4: 1578.0, 3: 1546.0, 2: nan}","[18, 3, 0]","{4: 673.0, 3: 674.0, 2: 674.0}","{4: 1604.0, 3: 1597.0, 2: 1594.0}","[32, 47, 50]","{'0.8, 2': 678.0, '0.85, 3': 667.0, '0.9, 4': nan}","{'0.8, 2': 1582.0, '0.85, 3': 1546.0, '0.9, 4': nan}","[16, 3, 0]","{'0.8, 2': 672.0, '0.85, 3': 674.0, '0.9, 4': 674.0}","{'0.8, 2': 1600.0, '0.85, 3': 1597.0, '0.9, 4': 1594.0}","[34, 47, 50]"
5,750,"{0.8: 725.0, 0.85: 726.0, 0.9: 738.0}","{0.8: 1708.0, 0.85: 1704.0, 0.9: 1800.0}","[42, 33, 8]","{0.8: 721.0, 0.85: 721.0, 0.9: 722.0}","{0.8: 1706.0, 0.85: 1716.0, 0.9: 1691.0}","[8, 17, 42]","{4: 724.0, 3: 725.0, 2: nan}","{4: 1713.0, 3: 1755.0, 2: nan}","[25, 5, 0]","{4: 725.0, 3: 724.0, 2: 724.0}","{4: 1703.0, 3: 1703.0, 2: 1708.0}","[25, 45, 50]","{'0.8, 2': 724.0, '0.85, 3': 725.0, '0.9, 4': nan}","{'0.8, 2': 1712.0, '0.85, 3': 1755.0, '0.9, 4': nan}","[22, 5, 0]","{'0.8, 2': 725.0, '0.85, 3': 724.0, '0.9, 4': 724.0}","{'0.8, 2': 1705.0, '0.85, 3': 1703.0, '0.9, 4': 1708.0}","[28, 45, 50]"
6,800,"{0.8: 769.0, 0.85: 768.0, 0.9: 768.0}","{0.8: 1800.0, 0.85: 1791.0, 0.9: 1792.0}","[49, 41, 32]","{0.8: 751.0, 0.85: 769.0, 0.9: 768.0}","{0.8: 1803.0, 0.85: 1841.0, 0.9: 1813.0}","[1, 9, 18]","{4: 767.0, 3: 763.0, 2: 764.0}","{4: 1798.0, 3: 1782.0, 2: 1756.0}","[33, 12, 5]","{4: 771.0, 3: 770.0, 2: 769.0}","{4: 1803.0, 3: 1806.0, 2: 1805.0}","[17, 38, 45]","{'0.8, 2': 767.0, '0.85, 3': 763.0, '0.9, 4': 764.0}","{'0.8, 2': 1798.0, '0.85, 3': 1782.0, '0.9, 4': 1756.0}","[33, 12, 5]","{'0.8, 2': 771.0, '0.85, 3': 770.0, '0.9, 4': 769.0}","{'0.8, 2': 1803.0, '0.85, 3': 1806.0, '0.9, 4': 1805.0}","[17, 38, 45]"
7,850,"{0.8: 815.0, 0.85: 815.0, 0.9: 815.0}","{0.8: 1909.0, 0.85: 1908.0, 0.9: 1907.0}","[50, 49, 39]","{0.8: nan, 0.85: 828.0, 0.9: 816.0}","{0.8: nan, 0.85: 1989.0, 0.9: 1918.0}","[0, 1, 11]","{4: 816.0, 3: 813.0, 2: 816.0}","{4: 1926.0, 3: 1920.0, 2: 1885.0}","[39, 24, 5]","{4: 814.0, 3: 818.0, 2: 815.0}","{4: 1850.0, 3: 1899.0, 2: 1912.0}","[11, 26, 45]","{'0.8, 2': 816.0, '0.85, 3': 813.0, '0.9, 4': 816.0}","{'0.8, 2': 1926.0, '0.85, 3': 1920.0, '0.9, 4': 1885.0}","[39, 24, 5]","{'0.8, 2': 814.0, '0.85, 3': 818.0, '0.9, 4': 815.0}","{'0.8, 2': 1850.0, '0.85, 3': 1899.0, '0.9, 4': 1912.0}","[11, 26, 45]"
8,900,"{0.8: 865.0, 0.85: 865.0, 0.9: 865.0}","{0.8: 1988.0, 0.85: 1988.0, 0.9: 1986.0}","[50, 50, 48]","{0.8: nan, 0.85: nan, 0.9: 864.0}","{0.8: nan, 0.85: nan, 0.9: 2049.0}","[0, 0, 2]","{4: 865.0, 3: 862.0, 2: 856.0}","{4: 1984.0, 3: 1977.0, 2: 1957.0}","[41, 25, 3]","{4: 863.0, 3: 868.0, 2: 865.0}","{4: 2009.0, 3: 2000.0, 2: 1990.0}","[9, 25, 47]","{'0.8, 2': 865.0, '0.85, 3': 862.0, '0.9, 4': 856.0}","{'0.8, 2': 1984.0, '0.85, 3': 1977.0, '0.9, 4': 1957.0}","[41, 25, 3]","{'0.8, 2': 863.0, '0.85, 3': 868.0, '0.9, 4': 865.0}","{'0.8, 2': 2009.0, '0.85, 3': 2000.0, '0.9, 4': 1990.0}","[9, 25, 47]"
9,950,"{0.8: 912.0, 0.85: 912.0, 0.9: 913.0}","{0.8: 2084.0, 0.85: 2084.0, 0.9: 2084.0}","[50, 50, 46]","{0.8: nan, 0.85: nan, 0.9: 907.0}","{0.8: nan, 0.85: nan, 0.9: 2086.0}","[0, 0, 4]","{4: 912.0, 3: 910.0, 2: 901.0}","{4: 2088.0, 3: 2098.0, 2: 2085.0}","[39, 12, 3]","{4: 915.0, 3: 913.0, 2: 913.0}","{4: 2070.0, 3: 2080.0, 2: 2084.0}","[11, 38, 47]","{'0.8, 2': 912.0, '0.85, 3': 910.0, '0.9, 4': 901.0}","{'0.8, 2': 2088.0, '0.85, 3': 2098.0, '0.9, 4': 2085.0}","[39, 12, 3]","{'0.8, 2': 915.0, '0.85, 3': 913.0, '0.9, 4': 913.0}","{'0.8, 2': 2070.0, '0.85, 3': 2080.0, '0.9, 4': 2084.0}","[11, 38, 47]"
