,Budget interval,Best 50,Worst 50,All
0,450 to 500,"[54, 12, 34]","[46, 18, 36]","[61, 17, 23]"
1,500 to 550,"[94, 0, 6]","[100, 0, 0]","[81, 8, 11]"
2,550 to 600,"[86, 4, 10]","[96, 4, 0]","[85, 8, 7]"
3,600 to 650,"[100, 0, 0]","[94, 6, 0]","[88, 7, 5]"
4,650 to 700,"[100, 0, 0]","[86, 8, 6]","[85, 9, 6]"
5,700 to 750,"[100, 0, 0]","[10, 80, 10]","[79, 14, 7]"
6,750 to 800,"[100, 0, 0]","[74, 20, 6]","[87, 8, 5]"
7,800 to 850,"[100, 0, 0]","[100, 0, 0]","[99, 0, 1]"
8,850 to 900,"[100, 0, 0]","[96, 0, 4]","[99, 0, 1]"
9,900 to 950,"[100, 0, 0]","[100, 0, 0]","[97, 0, 3]"
10,950 to 1000,"[100, 0, 0]","[100, 0, 0]","[100, 0, 0]"
