,Budget interval,"Best 50 (Normal,Diverse)","All (Normal,Diverse)"
0,450 to 500,"[60, 40]","[49, 51]"
1,500 to 550,"[4, 96]","[55, 45]"
2,550 to 600,"[92, 8]","[65, 35]"
3,600 to 650,"[100, 0]","[82, 18]"
4,650 to 700,"[100, 0]","[81, 19]"
5,700 to 750,"[18, 82]","[30, 70]"
6,750 to 800,"[2, 98]","[9, 91]"
7,800 to 850,"[2, 98]","[2, 98]"
8,850 to 900,"[0, 100]","[2, 98]"
9,900 to 950,"[0, 100]","[0, 100]"
10,950 to 1000,"[0, 0]","[0, 0]"
