,Budget interval,"Best 50 (Normal,Diverse)","All (Normal,Diverse)"
0,450 to 500,"[70, 30]","[85, 15]"
1,500 to 550,"[86, 14]","[88, 12]"
2,550 to 600,"[96, 4]","[88, 12]"
3,600 to 650,"[100, 0]","[94, 6]"
4,650 to 700,"[100, 0]","[95, 5]"
5,700 to 750,"[96, 4]","[80, 20]"
6,750 to 800,"[80, 20]","[69, 31]"
7,800 to 850,"[42, 58]","[58, 42]"
8,850 to 900,"[50, 50]","[65, 35]"
9,900 to 950,"[70, 30]","[68, 32]"
10,950 to 1000,"[54, 46]","[54, 46]"
