,Budget interval,"Best 50 (Normal,Diverse)","All (Normal,Diverse)"
0,450 to 500,"[80, 20]","[83, 17]"
1,500 to 550,"[78, 22]","[88, 12]"
2,550 to 600,"[92, 8]","[85, 15]"
3,600 to 650,"[100, 0]","[90, 10]"
4,650 to 700,"[100, 0]","[94, 6]"
5,700 to 750,"[98, 2]","[81, 19]"
6,750 to 800,"[68, 32]","[66, 34]"
7,800 to 850,"[58, 42]","[59, 41]"
8,850 to 900,"[62, 38]","[60, 40]"
9,900 to 950,"[70, 30]","[67, 33]"
10,950 to 1000,"[0, 0]","[0, 0]"
