,Budget interval,Best 50,Worst 50,All
0,450 to 500,"[42, 24, 34]","[48, 14, 38]","[56, 25, 19]"
1,500 to 550,"[96, 0, 4]","[88, 4, 8]","[75, 14, 11]"
2,550 to 600,"[100, 0, 0]","[96, 0, 4]","[85, 9, 7]"
3,600 to 650,"[100, 0, 0]","[72, 16, 12]","[89, 6, 4]"
4,650 to 700,"[100, 0, 0]","[96, 0, 4]","[93, 4, 4]"
5,700 to 750,"[100, 0, 0]","[100, 0, 0]","[99, 0, 1]"
6,750 to 800,"[100, 0, 0]","[96, 0, 4]","[99, 0, 1]"
7,800 to 850,"[100, 0, 0]","[100, 0, 0]","[98, 0, 2]"
8,850 to 900,"[96, 2, 2]","[100, 0, 0]","[94, 1, 5]"
9,900 to 950,"[60, 0, 40]","[60, 0, 40]","[60, 0, 40]"
10,950 to 1000,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
