,Budget,Nation,Count,Team percentage,League percentage,Ratio,Amount as dist
0,500,"['eg Egypt', 'eng England', 'sct Scotland', 'rs Serbia', 'ee Estonia', 'dk Denmark', 'de Germany', 'pl Poland']","[2, 3, 1, 1, 1, 1, 1, 1]","[0.182, 0.273, 0.091, 0.091, 0.091, 0.091, 0.091, 0.091]","[0.008, 0.359, 0.023, 0.008, 0.002, 0.017, 0.027, 0.008]","[22.75, 0.76, 3.957, 11.375, 45.5, 5.353, 3.37, 11.375]","[0.088, 3.949, 0.253, 0.088, 0.022, 0.187, 0.297, 0.088]"
1,550,"['es Spain', 'br Brazil', 'rs Serbia', 'fr France', 'de Germany', 'dk Denmark', 'eg Egypt', 'eng England', 'pl Poland']","[1, 1, 1, 1, 2, 1, 1, 2, 1]","[0.091, 0.091, 0.091, 0.091, 0.182, 0.091, 0.091, 0.182, 0.091]","[0.055, 0.022, 0.008, 0.043, 0.027, 0.017, 0.008, 0.359, 0.008]","[1.655, 4.136, 11.375, 2.116, 6.741, 5.353, 11.375, 0.507, 11.375]","[0.605, 0.242, 0.088, 0.473, 0.297, 0.187, 0.088, 3.949, 0.088]"
2,600,"['es Spain', 'sct Scotland', 'rs Serbia', 'fr France', 'de Germany', 'eg Egypt', 'eng England', 'dk Denmark', 'pl Poland']","[1, 1, 1, 1, 1, 2, 2, 1, 1]","[0.091, 0.091, 0.091, 0.091, 0.091, 0.182, 0.182, 0.091, 0.091]","[0.055, 0.023, 0.008, 0.043, 0.027, 0.008, 0.359, 0.017, 0.008]","[1.655, 3.957, 11.375, 2.116, 3.37, 22.75, 0.507, 5.353, 11.375]","[0.605, 0.253, 0.088, 0.473, 0.297, 0.088, 3.949, 0.187, 0.088]"
3,650,"['es Spain', 'rs Serbia', 'fr France', 'de Germany', 'ch Switzerland', 'eg Egypt', 'dk Denmark', 'wls Wales', 'pl Poland']","[2, 1, 1, 1, 1, 2, 1, 1, 1]","[0.182, 0.091, 0.091, 0.091, 0.091, 0.182, 0.091, 0.091, 0.091]","[0.055, 0.008, 0.043, 0.027, 0.007, 0.008, 0.017, 0.028, 0.008]","[3.309, 11.375, 2.116, 3.37, 13.0, 22.75, 5.353, 3.25, 11.375]","[0.605, 0.088, 0.473, 0.297, 0.077, 0.088, 0.187, 0.308, 0.088]"
4,700,"['es Spain', 'rs Serbia', 'fr France', 'de Germany', 'eng England', 'eg Egypt', 'wls Wales', 'ar Argentina', 'pl Poland']","[2, 1, 1, 1, 1, 2, 1, 1, 1]","[0.182, 0.091, 0.091, 0.091, 0.091, 0.182, 0.091, 0.091, 0.091]","[0.055, 0.008, 0.043, 0.027, 0.359, 0.008, 0.028, 0.028, 0.008]","[3.309, 11.375, 2.116, 3.37, 0.253, 22.75, 3.25, 3.25, 11.375]","[0.605, 0.088, 0.473, 0.297, 3.949, 0.088, 0.308, 0.308, 0.088]"
5,750,"['es Spain', 'eng England', 'rs Serbia', 'de Germany', 'ch Switzerland', 'eg Egypt', 'wls Wales', 'ar Argentina', 'pl Poland']","[2, 2, 1, 1, 1, 1, 1, 1, 1]","[0.182, 0.182, 0.091, 0.091, 0.091, 0.091, 0.091, 0.091, 0.091]","[0.055, 0.359, 0.008, 0.027, 0.007, 0.008, 0.028, 0.028, 0.008]","[3.309, 0.507, 11.375, 3.37, 13.0, 11.375, 3.25, 3.25, 11.375]","[0.605, 3.949, 0.088, 0.297, 0.077, 0.088, 0.308, 0.308, 0.088]"
6,800,"['eng England', 'rs Serbia', 'de Germany', 'dz Algeria', 'eg Egypt', 'wls Wales', 'ar Argentina', 'es Spain', 'pl Poland']","[2, 1, 1, 1, 1, 1, 1, 2, 1]","[0.182, 0.091, 0.091, 0.091, 0.091, 0.091, 0.091, 0.182, 0.091]","[0.359, 0.008, 0.027, 0.003, 0.008, 0.028, 0.028, 0.055, 0.008]","[0.507, 11.375, 3.37, 30.333, 11.375, 3.25, 3.25, 3.309, 11.375]","[3.949, 0.088, 0.297, 0.033, 0.088, 0.308, 0.308, 0.605, 0.088]"
7,850,"['eng England', 'de Germany', 'dz Algeria', 'dk Denmark', 'eg Egypt', 'wls Wales', 'ar Argentina', 'es Spain']","[2, 1, 1, 1, 1, 1, 1, 3]","[0.182, 0.091, 0.091, 0.091, 0.091, 0.091, 0.091, 0.273]","[0.359, 0.027, 0.003, 0.017, 0.008, 0.028, 0.028, 0.055]","[0.507, 3.37, 30.333, 5.353, 11.375, 3.25, 3.25, 4.964]","[3.949, 0.297, 0.033, 0.187, 0.088, 0.308, 0.308, 0.605]"
8,900,"['eng England', 'br Brazil', 'de Germany', 'dz Algeria', 'be Belgium', 'eg Egypt', 'ar Argentina', 'es Spain']","[2, 1, 1, 1, 1, 1, 1, 3]","[0.182, 0.091, 0.091, 0.091, 0.091, 0.091, 0.091, 0.273]","[0.359, 0.022, 0.027, 0.003, 0.038, 0.008, 0.028, 0.055]","[0.507, 4.136, 3.37, 30.333, 2.395, 11.375, 3.25, 4.964]","[3.949, 0.242, 0.297, 0.033, 0.418, 0.088, 0.308, 0.605]"
9,950,"['eng England', 'dz Algeria', 'dk Denmark', 'be Belgium', 'eg Egypt', 'wls Wales', 'es Spain', 'pl Poland']","[3, 1, 1, 1, 1, 1, 2, 1]","[0.273, 0.091, 0.091, 0.091, 0.091, 0.091, 0.182, 0.091]","[0.359, 0.003, 0.017, 0.038, 0.008, 0.028, 0.055, 0.008]","[0.76, 30.333, 5.353, 2.395, 11.375, 3.25, 3.309, 11.375]","[3.949, 0.033, 0.187, 0.418, 0.088, 0.308, 0.605, 0.088]"
10,1000,"['eng England', 'dz Algeria', 'dk Denmark', 'be Belgium', 'eg Egypt', 'ar Argentina', 'es Spain']","[3, 1, 1, 1, 1, 1, 3]","[0.273, 0.091, 0.091, 0.091, 0.091, 0.091, 0.273]","[0.359, 0.003, 0.017, 0.038, 0.008, 0.028, 0.055]","[0.76, 30.333, 5.353, 2.395, 11.375, 3.25, 4.964]","[3.949, 0.033, 0.187, 0.418, 0.088, 0.308, 0.605]"
