,Budget,Best total cost,Best total points,Sorted individual costs,Individual costs
0,500,500,1277,"[40, 41, 43, 44, 44, 45, 46, 46, 47, 52, 52]","[47, 46, 52, 52, 43, 46, 45, 44, 44, 41, 40]"
1,550,550,1522,"[43, 44, 45, 46, 46, 47, 52, 52, 57, 59, 59]","[59, 59, 57, 47, 46, 52, 52, 43, 46, 45, 44]"
2,600,599,1667,"[43, 44, 45, 46, 46, 47, 52, 52, 59, 59, 106]","[106, 59, 59, 47, 46, 52, 52, 43, 46, 45, 44]"
3,650,648,1821,"[43, 46, 47, 52, 52, 57, 58, 59, 59, 69, 106]","[106, 69, 59, 59, 57, 47, 46, 52, 58, 52, 43]"
4,700,699,1939,"[46, 47, 52, 52, 57, 59, 59, 61, 69, 91, 106]","[106, 91, 69, 59, 59, 57, 47, 61, 46, 52, 52]"
5,750,750,2012,"[46, 47, 52, 57, 59, 59, 61, 69, 91, 103, 106]","[106, 91, 103, 69, 59, 59, 57, 47, 61, 46, 52]"
6,800,795,2073,"[46, 47, 57, 59, 59, 69, 71, 87, 91, 103, 106]","[106, 91, 103, 87, 69, 59, 71, 59, 57, 47, 46]"
7,850,847,2127,"[46, 47, 59, 59, 69, 83, 87, 91, 97, 103, 106]","[106, 91, 103, 97, 87, 83, 69, 59, 59, 47, 46]"
8,900,895,2166,"[46, 47, 59, 59, 69, 87, 91, 97, 103, 106, 131]","[106, 91, 131, 103, 97, 87, 69, 59, 59, 47, 46]"
9,950,949,2204,"[47, 59, 69, 71, 87, 88, 91, 97, 103, 106, 131]","[106, 91, 131, 103, 97, 87, 88, 69, 59, 71, 47]"
10,950,947,2204,"[57, 59, 59, 69, 87, 88, 91, 97, 103, 106, 131]","[106, 91, 131, 103, 97, 87, 88, 69, 59, 59, 57]"
11,1000,999,2230,"[59, 59, 83, 87, 88, 91, 95, 97, 103, 106, 131]","[106, 91, 131, 103, 97, 87, 88, 95, 83, 59, 59]"
12,1000,1000,2230,"[59, 69, 82, 87, 87, 88, 91, 97, 103, 106, 131]","[106, 91, 131, 103, 97, 87, 88, 87, 69, 59, 82]"
