total_points,now_cost,indexes
558,212,"[182, 181, 401]"
454,210,"[182, 181, 202]"
440,205,"[182, 401, 202]"
391,202,"[182, 181, 334]"
373,201,"[182, 202, 103]"
336,199,"[182, 202, 104]"
273,195,"[182, 202, 334]"
244,188,"[181, 202, 334]"
229,186,"[182, 334, 107]"
228,185,"[182, 334, 186]"
210,184,"[182, 334, 223]"
186,180,"[202, 159, 334]"
163,179,"[202, 103, 334]"
126,177,"[202, 104, 334]"
82,172,"[202, 334, 107]"
81,171,"[202, 334, 186]"
63,170,"[202, 334, 223]"
43,163,"[334, 107, 224]"
37,162,"[334, 107, 186]"
19,161,"[334, 107, 223]"
18,160,"[334, 186, 223]"
0,157,"[334, 223, 209]"
