Budget,Best total cost,Best total points,Individual costs,Sorted individual costs,Id,Formation,Name,Team,Team position,Dreamteam,Amount in Dreamteam,Months in Dreamteam,Selected by percentage,Goals,Assists,Bonus points,Clean Sheets,Goals_conded,Total minutes,Total saves,Yellow cards,Red cards,Goals conceded
500,500,1182,"[42, 42, 47, 47, 52, 43, 43, 44, 46, 48, 46]","[42, 42, 43, 43, 44, 46, 46, 47, 47, 48, 52]","[262, 23, 105, 557, 449, 16, 562, 201, 46, 62, 417]","[5, 4, 1]","['Rhian Brewster', 'Emile Smith Rowe', 'Jorge Luiz Frello Filho', 'Ademola Lookman', 'Tomas Soucek', 'Rob Holding', 'Ola Aina', 'Ezgjan Alioski', 'Ezri Konsa Ngoyo', 'Lewis Dunk', 'Sam Johnstone']","['Sheffield United', 'Arsenal', 'Chelsea', 'Fulham', 'West Ham United', 'Arsenal', 'Fulham', 'Leicester City', 'Aston Villa', 'Brighton & Hove Albion', 'West Bromwich Albion']","[20, 8, 4, 18, 6, 8, 18, 5, 11, 16, 19]","[False, False, False, False, False, False, False, False, False, False, False]",0,"[0, 1, 5, 1, 4, 1, 2, 3, 1, 3, 3]","[5.0, 3.5, 4.7, 1.3, 11.2, 4.7, 2.0, 3.2, 6.2, 5.9, 3.0]","[0, 2, 7, 4, 10, 0, 2, 2, 2, 5, 0]","[0, 5, 2, 4, 2, 1, 1, 3, 0, 0, 1]","[0, 3, 15, 8, 16, 10, 8, 7, 8, 17, 19]","[2, 9, 14, 10, 11, 11, 8, 10, 12, 11, 6]","[16, 10, 17, 33, 47, 26, 36, 35, 46, 40, 74]","[1113, 1438, 2006, 2746, 3420, 2557, 2664, 2456, 3195, 2932, 3330]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 166]","[1, 0, 2, 5, 7, 2, 3, 7, 3, 5, 1]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0]","[16, 10, 17, 33, 47, 26, 36, 35, 46, 40, 74]"
550,550,1508,"[66, 47, 47, 52, 54, 43, 43, 44, 46, 55, 53]","[43, 43, 44, 46, 47, 47, 52, 53, 54, 55, 66]","[202, 105, 557, 449, 481, 16, 562, 201, 46, 200, 12]","[5, 4, 1]","['Patrick Bamford', 'Jorge Luiz Frello Filho', 'Ademola Lookman', 'Tomas Soucek', 'Matheus Pereira', 'Rob Holding', 'Ola Aina', 'Ezgjan Alioski', 'Ezri Konsa Ngoyo', 'Stuart Dallas', 'Emiliano Martínez']","['Leicester City', 'Chelsea', 'Fulham', 'West Ham United', 'West Bromwich Albion', 'Arsenal', 'Fulham', 'Leicester City', 'Aston Villa', 'Leicester City', 'Aston Villa']","[5, 4, 18, 6, 19, 8, 18, 5, 11, 5, 11]","[True, False, False, False, False, False, False, False, False, True, True]",3,"[5, 5, 1, 4, 4, 1, 2, 3, 1, 4, 2]","[45.2, 4.7, 1.3, 11.2, 5.0, 4.7, 2.0, 3.2, 6.2, 33.1, 37.9]","[17, 7, 4, 10, 11, 0, 2, 2, 2, 8, 0]","[11, 2, 4, 2, 7, 1, 1, 3, 0, 3, 0]","[26, 15, 8, 16, 15, 10, 8, 7, 8, 15, 27]","[10, 14, 10, 11, 6, 11, 8, 10, 12, 12, 15]","[50, 17, 33, 47, 58, 26, 36, 35, 46, 53, 46]","[3052, 2006, 2746, 3420, 2574, 2557, 2664, 2456, 3195, 3410, 3420]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 142]","[3, 2, 5, 7, 2, 2, 3, 7, 3, 7, 1]","[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]","[50, 17, 33, 47, 58, 26, 36, 35, 46, 53, 46]"
600,600,1732,"[63, 66, 52, 54, 55, 56, 48, 48, 50, 55, 53]","[48, 48, 50, 52, 53, 54, 55, 55, 56, 63, 66]","[514, 202, 449, 481, 271, 203, 62, 558, 42, 200, 12]","[4, 4, 2]","['Ollie Watkins', 'Patrick Bamford', 'Tomas Soucek', 'Matheus Pereira', 'Ilkay Gündogan', 'Jack Harrison', 'Lewis Dunk', 'Vladimir Coufal', 'Matt Targett', 'Stuart Dallas', 'Emiliano Martínez']","['Aston Villa', 'Leicester City', 'West Ham United', 'West Bromwich Albion', 'Manchester City', 'Leicester City', 'Brighton & Hove Albion', 'West Ham United', 'Aston Villa', 'Leicester City', 'Aston Villa']","[11, 5, 6, 19, 1, 5, 16, 6, 11, 5, 11]","[False, True, False, False, False, False, False, False, False, True, True]",3,"[3, 5, 4, 4, 6, 4, 3, 1, 2, 4, 2]","[22.1, 45.2, 11.2, 5.0, 17.1, 7.6, 5.9, 8.6, 12.0, 33.1, 37.9]","[14, 17, 10, 11, 13, 8, 5, 0, 0, 8, 0]","[9, 11, 2, 7, 4, 10, 0, 9, 4, 3, 0]","[18, 26, 16, 15, 22, 15, 17, 12, 9, 15, 27]","[14, 10, 11, 6, 12, 11, 11, 9, 16, 12, 15]","[46, 50, 47, 58, 16, 45, 40, 43, 44, 53, 46]","[3328, 3052, 3420, 2574, 2025, 2846, 2932, 3054, 3404, 3410, 3420]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 142]","[2, 3, 7, 2, 1, 2, 5, 3, 7, 7, 1]","[1, 0, 1, 1, 0, 0, 2, 0, 0, 0, 0]","[46, 50, 47, 58, 16, 45, 40, 43, 44, 53, 46]"
650,648,1832,"[63, 66, 52, 54, 55, 56, 96, 48, 50, 55, 53]","[48, 50, 52, 53, 54, 55, 55, 56, 63, 66, 96]","[514, 202, 449, 481, 271, 203, 390, 62, 42, 200, 12]","[3, 5, 2]","['Ollie Watkins', 'Patrick Bamford', 'Tomas Soucek', 'Matheus Pereira', 'Ilkay Gündogan', 'Jack Harrison', 'Heung-Min Son', 'Lewis Dunk', 'Matt Targett', 'Stuart Dallas', 'Emiliano Martínez']","['Aston Villa', 'Leicester City', 'West Ham United', 'West Bromwich Albion', 'Manchester City', 'Leicester City', 'Tottenham Hotspur', 'Brighton & Hove Albion', 'Aston Villa', 'Leicester City', 'Aston Villa']","[11, 5, 6, 19, 1, 5, 7, 16, 11, 5, 11]","[False, True, False, False, False, False, True, False, False, True, True]",4,"[3, 5, 4, 4, 6, 4, 9, 3, 2, 4, 2]","[22.1, 45.2, 11.2, 5.0, 17.1, 7.6, 44.2, 5.9, 12.0, 33.1, 37.9]","[14, 17, 10, 11, 13, 8, 17, 5, 0, 8, 0]","[9, 11, 2, 7, 4, 10, 11, 0, 4, 3, 0]","[18, 26, 16, 15, 22, 15, 26, 17, 9, 15, 27]","[14, 10, 11, 6, 12, 11, 13, 11, 16, 12, 15]","[46, 50, 47, 58, 16, 45, 36, 40, 44, 53, 46]","[3328, 3052, 3420, 2574, 2025, 2846, 3119, 2932, 3404, 3410, 3420]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 142]","[2, 3, 7, 2, 1, 2, 0, 5, 7, 7, 1]","[1, 0, 1, 1, 0, 0, 0, 2, 0, 0, 0]","[46, 50, 47, 58, 16, 45, 36, 40, 44, 53, 46]"
700,700,1904,"[66, 52, 54, 56, 96, 113, 48, 50, 55, 57, 53]","[48, 50, 52, 53, 54, 55, 56, 57, 66, 96, 113]","[202, 449, 481, 203, 390, 302, 62, 42, 200, 435, 12]","[4, 5, 1]","['Patrick Bamford', 'Tomas Soucek', 'Matheus Pereira', 'Jack Harrison', 'Heung-Min Son', 'Bruno Miguel Borges Fernandes', 'Lewis Dunk', 'Matt Targett', 'Stuart Dallas', 'Aaron Cresswell', 'Emiliano Martínez']","['Leicester City', 'West Ham United', 'West Bromwich Albion', 'Leicester City', 'Tottenham Hotspur', 'Manchester United', 'Brighton & Hove Albion', 'Aston Villa', 'Leicester City', 'West Ham United', 'Aston Villa']","[5, 6, 19, 5, 7, 2, 16, 11, 5, 6, 11]","[True, False, False, False, True, True, False, False, True, False, True]",5,"[5, 4, 4, 4, 9, 9, 3, 2, 4, 3, 2]","[45.2, 11.2, 5.0, 7.6, 44.2, 48.7, 5.9, 12.0, 33.1, 18.2, 37.9]","[17, 10, 11, 8, 17, 18, 5, 0, 8, 0, 0]","[11, 2, 7, 10, 11, 14, 0, 4, 3, 11, 0]","[26, 16, 15, 15, 26, 36, 17, 9, 15, 21, 27]","[10, 11, 6, 11, 13, 13, 11, 16, 12, 11, 15]","[50, 47, 58, 45, 36, 36, 40, 44, 53, 41, 46]","[3052, 3420, 2574, 2846, 3119, 3101, 2932, 3404, 3410, 3170, 3420]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 142]","[3, 7, 2, 2, 0, 6, 5, 7, 7, 3, 1]","[0, 1, 1, 0, 0, 0, 2, 0, 0, 0, 0]","[50, 47, 58, 45, 36, 36, 40, 44, 53, 41, 46]"
750,746,1978,"[63, 66, 55, 56, 59, 96, 113, 55, 57, 73, 53]","[53, 55, 55, 56, 57, 59, 63, 66, 73, 96, 113]","[514, 202, 271, 203, 370, 390, 302, 200, 435, 255, 12]","[3, 5, 2]","['Ollie Watkins', 'Patrick Bamford', 'Ilkay Gündogan', 'Jack Harrison', 'James Ward-Prowse', 'Heung-Min Son', 'Bruno Miguel Borges Fernandes', 'Stuart Dallas', 'Aaron Cresswell', 'Andrew Robertson', 'Emiliano Martínez']","['Aston Villa', 'Leicester City', 'Manchester City', 'Leicester City', 'Southampton', 'Tottenham Hotspur', 'Manchester United', 'Leicester City', 'West Ham United', 'Liverpool', 'Aston Villa']","[11, 5, 1, 5, 15, 7, 2, 5, 6, 3, 11]","[False, True, False, False, False, True, True, True, False, True, True]",6,"[3, 5, 6, 4, 4, 9, 9, 4, 3, 3, 2]","[22.1, 45.2, 17.1, 7.6, 11.7, 44.2, 48.7, 33.1, 18.2, 16.5, 37.9]","[14, 17, 13, 8, 8, 17, 18, 8, 0, 1, 0]","[9, 11, 4, 10, 7, 11, 14, 3, 11, 8, 0]","[18, 26, 22, 15, 17, 26, 36, 15, 21, 19, 27]","[14, 10, 12, 11, 9, 13, 13, 12, 11, 12, 15]","[46, 50, 16, 45, 68, 36, 36, 53, 41, 42, 46]","[3328, 3052, 2025, 2846, 3420, 3119, 3101, 3410, 3170, 3384, 3420]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 142]","[2, 3, 1, 2, 5, 0, 6, 7, 3, 2, 1]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[46, 50, 16, 45, 68, 36, 36, 53, 41, 42, 46]"
800,797,2049,"[66, 119, 54, 55, 56, 96, 113, 55, 57, 73, 53]","[53, 54, 55, 55, 56, 57, 66, 73, 96, 113, 119]","[202, 388, 481, 271, 203, 390, 302, 200, 435, 255, 12]","[3, 5, 2]","['Patrick Bamford', 'Harry Kane', 'Matheus Pereira', 'Ilkay Gündogan', 'Jack Harrison', 'Heung-Min Son', 'Bruno Miguel Borges Fernandes', 'Stuart Dallas', 'Aaron Cresswell', 'Andrew Robertson', 'Emiliano Martínez']","['Leicester City', 'Tottenham Hotspur', 'West Bromwich Albion', 'Manchester City', 'Leicester City', 'Tottenham Hotspur', 'Manchester United', 'Leicester City', 'West Ham United', 'Liverpool', 'Aston Villa']","[5, 7, 19, 1, 5, 7, 2, 5, 6, 3, 11]","[True, True, False, False, False, True, True, True, False, True, True]",7,"[5, 9, 4, 6, 4, 9, 9, 4, 3, 3, 2]","[45.2, 44.5, 5.0, 17.1, 7.6, 44.2, 48.7, 33.1, 18.2, 16.5, 37.9]","[17, 23, 11, 13, 8, 17, 18, 8, 0, 1, 0]","[11, 14, 7, 4, 10, 11, 14, 3, 11, 8, 0]","[26, 40, 15, 22, 15, 26, 36, 15, 21, 19, 27]","[10, 12, 6, 12, 11, 13, 13, 12, 11, 12, 15]","[50, 39, 58, 16, 45, 36, 36, 53, 41, 42, 46]","[3052, 3083, 2574, 2025, 2846, 3119, 3101, 3410, 3170, 3384, 3420]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 142]","[3, 1, 2, 1, 2, 0, 6, 7, 3, 2, 1]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[50, 39, 58, 16, 45, 36, 36, 53, 41, 42, 46]"
850,849,2104,"[66, 119, 55, 56, 96, 113, 129, 50, 55, 57, 53]","[50, 53, 55, 55, 56, 57, 66, 96, 113, 119, 129]","[202, 388, 271, 203, 390, 302, 254, 42, 200, 435, 12]","[3, 5, 2]","['Patrick Bamford', 'Harry Kane', 'Ilkay Gündogan', 'Jack Harrison', 'Heung-Min Son', 'Bruno Miguel Borges Fernandes', 'Mohamed Salah', 'Matt Targett', 'Stuart Dallas', 'Aaron Cresswell', 'Emiliano Martínez']","['Leicester City', 'Tottenham Hotspur', 'Manchester City', 'Leicester City', 'Tottenham Hotspur', 'Manchester United', 'Liverpool', 'Aston Villa', 'Leicester City', 'West Ham United', 'Aston Villa']","[5, 7, 1, 5, 7, 2, 3, 11, 5, 6, 11]","[True, True, False, False, True, True, True, False, True, False, True]",7,"[5, 9, 6, 4, 9, 9, 4, 2, 4, 3, 2]","[45.2, 44.5, 17.1, 7.6, 44.2, 48.7, 43.6, 12.0, 33.1, 18.2, 37.9]","[17, 23, 13, 8, 17, 18, 22, 0, 8, 0, 0]","[11, 14, 4, 10, 11, 14, 6, 4, 3, 11, 0]","[26, 40, 22, 15, 26, 36, 21, 9, 15, 21, 27]","[10, 12, 12, 11, 13, 13, 11, 16, 12, 11, 15]","[50, 39, 16, 45, 36, 36, 41, 44, 53, 41, 46]","[3052, 3083, 2025, 2846, 3119, 3101, 3077, 3404, 3410, 3170, 3420]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 142]","[3, 1, 1, 2, 0, 6, 0, 7, 7, 3, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[50, 39, 16, 45, 36, 36, 41, 44, 53, 41, 46]"
900,900,2142,"[63, 66, 119, 55, 96, 113, 129, 55, 73, 78, 53]","[53, 55, 55, 63, 66, 73, 78, 96, 113, 119, 129]","[514, 202, 388, 271, 390, 302, 254, 200, 255, 259, 12]","[3, 4, 3]","['Ollie Watkins', 'Patrick Bamford', 'Harry Kane', 'Ilkay Gündogan', 'Heung-Min Son', 'Bruno Miguel Borges Fernandes', 'Mohamed Salah', 'Stuart Dallas', 'Andrew Robertson', 'Trent Alexander-Arnold', 'Emiliano Martínez']","['Aston Villa', 'Leicester City', 'Tottenham Hotspur', 'Manchester City', 'Tottenham Hotspur', 'Manchester United', 'Liverpool', 'Leicester City', 'Liverpool', 'Liverpool', 'Aston Villa']","[11, 5, 7, 1, 7, 2, 3, 5, 3, 3, 11]","[False, True, True, False, True, True, True, True, True, True, True]",9,"[3, 5, 9, 6, 9, 9, 4, 4, 3, 4, 2]","[22.1, 45.2, 44.5, 17.1, 44.2, 48.7, 43.6, 33.1, 16.5, 27.1, 37.9]","[14, 17, 23, 13, 17, 18, 22, 8, 1, 2, 0]","[9, 11, 14, 4, 11, 14, 6, 3, 8, 8, 0]","[18, 26, 40, 22, 26, 36, 21, 15, 19, 26, 27]","[14, 10, 12, 12, 13, 13, 11, 12, 12, 10, 15]","[46, 50, 39, 16, 36, 36, 41, 53, 42, 40, 46]","[3328, 3052, 3083, 2025, 3119, 3101, 3077, 3410, 3384, 3029, 3420]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 142]","[2, 3, 1, 1, 0, 6, 0, 7, 2, 2, 1]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[46, 50, 39, 16, 36, 36, 41, 53, 42, 40, 46]"
950,940,2164,"[66, 102, 119, 56, 96, 113, 129, 55, 73, 78, 53]","[53, 55, 56, 66, 73, 78, 96, 102, 113, 119, 129]","[202, 224, 388, 203, 390, 302, 254, 200, 255, 259, 12]","[3, 4, 3]","['Patrick Bamford', 'Jamie Vardy', 'Harry Kane', 'Jack Harrison', 'Heung-Min Son', 'Bruno Miguel Borges Fernandes', 'Mohamed Salah', 'Stuart Dallas', 'Andrew Robertson', 'Trent Alexander-Arnold', 'Emiliano Martínez']","['Leicester City', 'Leeds United', 'Tottenham Hotspur', 'Leicester City', 'Tottenham Hotspur', 'Manchester United', 'Liverpool', 'Leicester City', 'Liverpool', 'Liverpool', 'Aston Villa']","[5, 9, 7, 5, 7, 2, 3, 5, 3, 3, 11]","[True, True, True, False, True, True, True, True, True, True, True]",10,"[5, 7, 9, 4, 9, 9, 4, 4, 3, 4, 2]","[45.2, 17.5, 44.5, 7.6, 44.2, 48.7, 43.6, 33.1, 16.5, 27.1, 37.9]","[17, 15, 23, 8, 17, 18, 22, 8, 1, 2, 0]","[11, 14, 14, 10, 11, 14, 6, 3, 8, 8, 0]","[26, 23, 40, 15, 26, 36, 21, 15, 19, 26, 27]","[10, 8, 12, 11, 13, 13, 11, 12, 12, 10, 15]","[50, 44, 39, 45, 36, 36, 41, 53, 42, 40, 46]","[3052, 2838, 3083, 2846, 3119, 3101, 3077, 3410, 3384, 3029, 3420]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 142]","[3, 1, 1, 2, 0, 6, 0, 7, 2, 2, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[50, 44, 39, 45, 36, 36, 41, 53, 42, 40, 46]"
