,Budget interval,"Best 50 (Normal,Diverse)","All (Normal,Diverse)"
0,450 to 500,"[30, 70]","[60, 40]"
1,500 to 550,"[16, 84]","[29, 71]"
2,550 to 600,"[14, 86]","[50, 50]"
3,600 to 650,"[100, 0]","[96, 4]"
4,650 to 700,"[100, 0]","[96, 4]"
5,700 to 750,"[100, 0]","[92, 8]"
6,750 to 800,"[100, 0]","[45, 55]"
7,800 to 850,"[88, 12]","[10, 90]"
8,850 to 900,"[10, 90]","[0, 100]"
9,900 to 950,"[0, 100]","[0, 100]"
10,950 to 1000,"[0, 100]","[0, 100]"
