,Budget interval,Best 50,Worst 50,All
0,450 to 500,"[30, 38, 32]","[74, 18, 8]","[49, 28, 23]"
1,500 to 550,"[74, 16, 10]","[60, 24, 16]","[57, 23, 19]"
2,550 to 600,"[96, 0, 4]","[92, 0, 8]","[65, 21, 14]"
3,600 to 650,"[96, 4, 0]","[88, 4, 8]","[76, 12, 12]"
4,650 to 700,"[96, 2, 2]","[88, 10, 2]","[80, 8, 11]"
5,700 to 750,"[100, 0, 0]","[62, 24, 14]","[80, 8, 12]"
6,750 to 800,"[98, 0, 2]","[70, 14, 16]","[76, 11, 13]"
7,800 to 850,"[98, 0, 2]","[80, 6, 14]","[69, 17, 14]"
8,850 to 900,"[96, 0, 4]","[32, 58, 10]","[56, 30, 15]"
9,900 to 950,"[48, 28, 24]","[4, 60, 36]","[27, 44, 28]"
10,950 to 1000,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
