,Budget interval,Best 50,Worst 50,All
0,450 to 500,"[42, 38, 20]","[0, 84, 16]","[33, 43, 24]"
1,500 to 550,"[56, 26, 18]","[16, 44, 40]","[51, 29, 20]"
2,550 to 600,"[98, 0, 2]","[36, 28, 36]","[63, 22, 15]"
3,600 to 650,"[98, 0, 2]","[76, 8, 16]","[74, 14, 12]"
4,650 to 700,"[100, 0, 0]","[66, 14, 20]","[77, 10, 12]"
5,700 to 750,"[100, 0, 0]","[46, 18, 36]","[78, 9, 13]"
6,750 to 800,"[98, 0, 2]","[40, 24, 36]","[77, 9, 13]"
7,800 to 850,"[96, 0, 4]","[40, 34, 26]","[74, 12, 14]"
8,850 to 900,"[100, 0, 0]","[52, 30, 18]","[69, 18, 13]"
9,900 to 950,"[80, 18, 2]","[26, 44, 30]","[42, 35, 23]"
10,950 to 1000,"[80, 20, 0]","[80, 20, 0]","[80, 20, 0]"
