Budget,Best total cost,Best total points,Individual costs,Sorted individual costs,Id
500,500,1141,"[42, 52, 42, 47, 52, 43, 43, 43, 44, 46, 46]","[42, 42, 43, 43, 43, 44, 46, 46, 47, 52, 52]","[262, 344, 23, 105, 449, 16, 562, 67, 201, 46, 417]"
550,550,1474,"[57, 66, 47, 52, 54, 43, 43, 43, 44, 48, 53]","[43, 43, 43, 44, 47, 48, 52, 53, 54, 57, 66]","[377, 202, 105, 449, 481, 16, 562, 67, 201, 62, 12]"
600,600,1719,"[63, 66, 52, 54, 56, 46, 48, 50, 55, 57, 53]","[46, 48, 50, 52, 53, 54, 55, 56, 57, 63, 66]","[514, 202, 449, 481, 203, 46, 62, 42, 200, 435, 12]"
650,647,1813,"[63, 66, 55, 56, 96, 48, 48, 50, 55, 57, 53]","[48, 48, 50, 53, 55, 55, 56, 57, 63, 66, 96]","[514, 202, 271, 203, 390, 62, 558, 42, 200, 435, 12]"
700,700,1879,"[63, 66, 55, 96, 113, 44, 48, 50, 55, 57, 53]","[44, 48, 50, 53, 55, 55, 57, 63, 66, 96, 113]","[514, 202, 271, 390, 302, 201, 62, 42, 200, 435, 12]"
750,749,1951,"[63, 66, 56, 96, 113, 55, 57, 58, 59, 73, 53]","[53, 55, 56, 57, 58, 59, 63, 66, 73, 96, 113]","[514, 202, 203, 390, 302, 200, 435, 313, 556, 255, 12]"
800,796,2021,"[66, 119, 56, 96, 113, 50, 55, 57, 58, 73, 53]","[50, 53, 55, 56, 57, 58, 66, 73, 96, 113, 119]","[202, 388, 203, 390, 302, 42, 200, 435, 313, 255, 12]"
850,844,2061,"[66, 119, 96, 113, 129, 48, 50, 55, 57, 58, 53]","[48, 50, 53, 55, 57, 58, 66, 96, 113, 119, 129]","[202, 388, 390, 302, 254, 62, 42, 200, 435, 313, 12]"
900,897,2114,"[66, 119, 96, 113, 129, 55, 57, 58, 73, 78, 53]","[53, 55, 57, 58, 66, 73, 78, 96, 113, 119, 129]","[202, 388, 390, 302, 254, 200, 435, 313, 255, 259, 12]"
950,897,2114,"[66, 119, 96, 113, 129, 55, 57, 58, 73, 78, 53]","[53, 55, 57, 58, 66, 73, 78, 96, 113, 119, 129]","[202, 388, 390, 302, 254, 200, 435, 313, 255, 259, 12]"
1000,897,2114,"[66, 119, 96, 113, 129, 55, 57, 58, 73, 78, 53]","[53, 55, 57, 58, 66, 73, 78, 96, 113, 119, 129]","[202, 388, 390, 302, 254, 200, 435, 313, 255, 259, 12]"
